player,player_id,position,team_name,player_game_count,base_dropbacks,blitz_accuracy_percent,blitz_aimed_passes,blitz_attempts,blitz_avg_depth_of_target,blitz_avg_time_to_throw,blitz_bats,blitz_big_time_throws,blitz_btt_rate,blitz_completion_percent,blitz_completions,blitz_def_gen_pressures,blitz_drop_rate,blitz_dropbacks,blitz_dropbacks_percent,blitz_drops,blitz_first_downs,blitz_grades_hands_drop,blitz_grades_hands_fumble,blitz_grades_offense,blitz_grades_offense_penalty,blitz_grades_pass,blitz_grades_pass_route,blitz_grades_run,blitz_hit_as_threw,blitz_interceptions,blitz_passing_snaps,blitz_pressure_to_sack_rate,blitz_qb_rating,blitz_sack_percent,blitz_sacks,blitz_scrambles,blitz_spikes,blitz_thrown_aways,blitz_touchdowns,blitz_turnover_worthy_plays,blitz_twp_rate,blitz_yards,blitz_ypa,declined_penalties,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,no_blitz_accuracy_percent,no_blitz_aimed_passes,no_blitz_attempts,no_blitz_avg_depth_of_target,no_blitz_avg_time_to_throw,no_blitz_bats,no_blitz_big_time_throws,no_blitz_btt_rate,no_blitz_completion_percent,no_blitz_completions,no_blitz_def_gen_pressures,no_blitz_drop_rate,no_blitz_dropbacks,no_blitz_dropbacks_percent,no_blitz_drops,no_blitz_first_downs,no_blitz_grades_hands_drop,no_blitz_grades_hands_fumble,no_blitz_grades_offense,no_blitz_grades_offense_penalty,no_blitz_grades_pass,no_blitz_grades_pass_route,no_blitz_grades_run,no_blitz_hit_as_threw,no_blitz_interceptions,no_blitz_passing_snaps,no_blitz_pressure_to_sack_rate,no_blitz_qb_rating,no_blitz_sack_percent,no_blitz_sacks,no_blitz_scrambles,no_blitz_spikes,no_blitz_thrown_aways,no_blitz_touchdowns,no_blitz_turnover_worthy_plays,no_blitz_twp_rate,no_blitz_yards,no_blitz_ypa,no_pressure_accuracy_percent,no_pressure_aimed_passes,no_pressure_attempts,no_pressure_avg_depth_of_target,no_pressure_avg_time_to_throw,no_pressure_bats,no_pressure_big_time_throws,no_pressure_btt_rate,no_pressure_completion_percent,no_pressure_completions,no_pressure_def_gen_pressures,no_pressure_drop_rate,no_pressure_dropbacks,no_pressure_dropbacks_percent,no_pressure_drops,no_pressure_first_downs,no_pressure_grades_hands_drop,no_pressure_grades_hands_fumble,no_pressure_grades_offense,no_pressure_grades_offense_penalty,no_pressure_grades_pass,no_pressure_grades_pass_route,no_pressure_grades_run,no_pressure_hit_as_threw,no_pressure_interceptions,no_pressure_passing_snaps,no_pressure_pressure_to_sack_rate,no_pressure_qb_rating,no_pressure_sack_percent,no_pressure_sacks,no_pressure_scrambles,no_pressure_spikes,no_pressure_thrown_aways,no_pressure_touchdowns,no_pressure_turnover_worthy_plays,no_pressure_twp_rate,no_pressure_yards,no_pressure_ypa,penalties,pressure_accuracy_percent,pressure_aimed_passes,pressure_attempts,pressure_avg_depth_of_target,pressure_avg_time_to_throw,pressure_bats,pressure_big_time_throws,pressure_btt_rate,pressure_completion_percent,pressure_completions,pressure_def_gen_pressures,pressure_drop_rate,pressure_dropbacks,pressure_dropbacks_percent,pressure_drops,pressure_first_downs,pressure_grades_hands_drop,pressure_grades_hands_fumble,pressure_grades_offense,pressure_grades_offense_penalty,pressure_grades_pass,pressure_grades_pass_route,pressure_grades_run,pressure_hit_as_threw,pressure_interceptions,pressure_passing_snaps,pressure_pressure_to_sack_rate,pressure_qb_rating,pressure_sack_percent,pressure_sacks,pressure_scrambles,pressure_spikes,pressure_thrown_aways,pressure_touchdowns,pressure_turnover_worthy_plays,pressure_twp_rate,pressure_yards,pressure_ypa
Brett Favre,14,QB,GB,4,180,72.7,55,58,7.3,2.18,1,3,4.8,67.2,39,25,2.5,58,32.2,1,22,,81.7,78.3,78.8,76.6,,,1,2,62,0.0,88.4,0.0,0,0,0,1,2,5,8.1,461,7.9,0,12,89.9,80.3,81.4,49.4,73.4,109,112,6.4,2.65,1,5,4.3,65.2,73,37,8.8,122,67.8,7,38,,86.5,80.9,81.4,79.1,,61.2,0,0,126,21.6,101.9,6.6,8,2,0,2,6,2,1.6,744,6.6,78.4,111,116,6.4,2.19,2,7,5.8,69.8,81,0,6.9,118,65.6,6,40,,86.4,87.5,81.3,85.4,,61.2,0,0,123,,105.9,0.0,0,2,0,3,5,2,1.6,871,7.5,2,62.3,53,54,7.3,3.08,0,1,1.8,57.4,31,62,6.1,62,34.4,2,20,,81.9,67.6,78.9,66.8,,,1,2,65,12.9,78.8,12.9,8,0,0,0,3,5,7.7,334,6.2
Carson Palmer,1317,QB,CIN,4,166,63.9,36,37,11.5,2.35,1,2,5.0,56.8,21,14,8.7,39,23.5,2,20,,79.3,88.8,77.3,86.3,,,0,0,42,14.3,125.7,5.1,2,0,0,0,4,0,0.0,358,9.7,0,7,89.3,75.9,76.3,49.0,72.3,119,123,10.7,2.53,0,4,3.1,65.0,80,31,7.0,127,76.5,6,43,,87.0,70.7,81.6,68.7,,65.6,1,6,133,9.7,79.8,2.4,3,1,0,3,6,4,3.0,815,6.6,74.2,120,120,10.3,2.32,0,5,4.0,68.3,82,0,7.9,121,72.9,7,52,,86.5,83.3,81.4,80.4,,65.6,0,4,125,,100.3,0.0,0,1,0,0,8,3,2.4,950,7.9,1,57.1,35,40,12.8,2.93,1,1,2.2,47.5,19,45,5.0,45,27.1,1,11,,80.4,60.8,78.0,60.5,,,1,2,50,11.1,60.7,11.1,5,0,0,3,2,1,2.0,223,5.6
Donovan McNabb,438,QB,PHI,4,163,63.6,44,49,10.2,2.92,2,2,3.8,49.0,24,33,14.3,61,37.4,4,16,,81.9,67.4,0.0,69.2,,60.6,2,0,64,24.2,84.9,13.1,8,4,0,1,2,1,1.6,334,6.8,0,24,74.6,62.5,67.0,42.8,78.8,80,87,8.3,3.17,2,1,1.1,63.2,55,34,12.7,102,62.6,8,27,,85.1,62.9,80.7,63.6,,54.9,1,1,105,26.5,90.6,8.8,9,6,0,4,3,4,3.8,609,7.0,75.0,88,92,8.9,2.77,3,1,1.1,64.1,59,0,10.6,96,58.9,7,29,,84.8,65.1,0.0,67.6,,50.3,0,0,98,,102.7,0.0,0,4,0,1,4,4,4.1,722,7.8,3,69.4,36,44,9.2,3.53,1,2,4.3,45.5,20,67,20.0,67,41.1,5,14,,82.3,64.4,79.3,63.4,,62.9,3,1,71,25.4,59.0,25.4,17,6,0,4,1,1,1.4,221,5.0
Jon Kitna,217,QB,DET,4,161,70.0,30,33,9.9,2.65,1,1,2.8,63.6,21,20,0.0,42,26.1,0,14,,29.0,58.3,77.6,57.4,,63.0,0,0,45,35.0,104.6,16.7,7,2,0,2,1,1,2.2,312,9.5,0,11,48.8,76.6,76.0,58.0,82.2,101,105,8.5,2.94,2,4,3.6,73.3,77,41,7.2,119,73.9,6,44,,60.7,82.9,81.5,80.9,,63.1,0,4,128,29.3,105.9,10.1,12,2,0,2,7,6,4.7,915,8.7,84.0,94,98,9.0,2.48,3,4,3.9,76.5,75,0,5.1,100,62.1,4,46,,85.2,91.6,80.7,90.5,,66.4,0,2,104,,122.3,0.0,0,2,0,1,7,3,2.9,967,9.9,0,67.6,37,40,8.6,3.5,0,1,2.2,57.5,23,61,8.0,61,37.9,2,12,,25.1,44.7,79.2,45.1,,59.9,0,2,69,31.1,64.6,31.1,19,2,0,3,1,4,5.8,260,6.5
Philip Rivers,1725,QB,SD,4,149,69.0,29,31,8.7,2.31,2,1,3.1,58.1,18,19,10.0,35,23.5,2,11,,33.3,61.9,76.9,61.6,,,0,1,36,21.1,69.8,11.4,4,0,0,0,0,2,5.6,244,7.9,0,27,58.2,64.5,65.3,51.3,72.3,101,108,7.9,2.73,2,2,1.8,65.7,71,34,2.7,114,76.5,2,34,,67.3,66.2,81.1,65.9,,58.3,0,5,117,14.7,77.8,4.4,5,1,0,5,5,5,4.3,642,5.9,78.0,91,95,7.4,2.48,3,3,3.1,70.5,67,0,5.6,96,64.4,4,35,,84.8,88.6,80.5,86.6,,58.3,0,2,98,,99.9,0.0,0,1,0,1,5,2,2.0,690,7.3,2,56.4,39,44,9.7,2.89,1,0,0.0,50.0,22,53,0.0,53,35.6,0,10,,27.2,28.9,78.4,29.7,,,0,4,55,17.0,24.4,17.0,9,0,0,4,0,5,9.1,196,4.5
Trent Green,58,QB,MIA,4,147,73.5,34,37,10.2,2.32,1,2,5.0,67.6,25,12,0.0,40,27.2,0,18,,79.5,60.0,77.4,60.4,,58.3,1,3,43,16.7,84.1,5.0,2,1,0,1,2,3,7.0,368,9.9,0,17,88.4,51.4,54.3,36.6,68.8,93,102,8.6,2.81,4,3,2.8,57.8,59,34,7.8,107,72.8,5,33,,85.7,51.2,3.9,52.5,,,0,4,112,14.7,68.8,4.7,5,0,3,2,3,8,7.1,614,6.0,72.8,92,101,8.3,2.35,5,2,1.9,64.4,65,0,3.0,101,68.7,2,39,,85.4,63.7,0.8,64.0,,,0,3,107,,85.0,0.0,0,0,3,1,3,6,5.6,771,7.6,2,62.9,35,38,11.0,3.41,0,3,7.5,50.0,19,46,13.6,46,31.3,3,12,,80.1,36.7,77.8,38.6,,58.3,1,4,48,15.2,44.8,15.2,7,1,0,2,2,5,10.4,211,5.6
Marc Bulger,684,QB,SL,4,146,60.5,38,40,9.5,2.42,0,2,4.8,55.0,22,20,4.3,44,30.1,1,13,,79.9,67.1,77.7,66.4,,,1,1,46,20.0,63.5,9.1,4,0,0,1,0,3,6.5,250,6.3,0,26,65.9,56.7,57.0,55.6,64.8,88,93,8.7,2.49,1,3,3.1,55.9,52,32,8.8,102,69.9,5,30,,56.1,52.2,80.8,52.4,,60.6,0,3,106,21.9,65.5,6.9,7,2,1,3,2,6,5.7,515,5.5,72.0,93,94,7.2,2.17,0,3,3.0,64.9,61,0,9.0,94,64.4,6,29,,84.9,73.8,80.5,72.5,,,0,3,99,,74.2,0.0,0,0,1,0,2,3,3.0,546,5.8,1,39.4,33,39,13.7,3.02,1,2,5.0,33.3,13,52,0.0,52,35.6,0,14,,32.8,31.3,78.2,32.4,,60.6,1,1,53,21.2,42.6,21.2,11,2,0,4,0,6,11.3,219,5.6
Joey Harrington,1011,QB,ATL,4,144,73.7,38,39,6.9,2.47,1,3,7.0,69.2,27,26,3.6,47,32.6,1,15,,80.5,78.0,78.0,76.4,,,0,1,51,30.8,92.9,17.0,8,0,0,0,1,1,2.0,330,8.5,0,2,88.3,82.8,84.2,45.6,86.3,80,86,6.8,2.89,1,5,5.6,72.1,62,38,10.1,97,67.4,7,31,,85.1,82.8,80.6,83.0,,52.9,0,1,103,21.1,100.6,8.2,8,3,0,5,3,1,1.0,653,7.6,81.3,75,78,7.2,2.4,2,5,6.1,74.4,58,0,4.9,80,55.6,3,31,,83.8,87.8,79.9,86.3,,59.1,0,0,85,,113.7,0.0,0,2,0,1,3,1,1.2,689,8.8,0,83.7,43,47,6.2,3.19,0,3,5.9,66.0,31,64,13.9,64,44.4,5,15,,82.4,72.2,79.2,72.9,,51.9,0,2,69,25.0,72.5,25.0,16,1,0,4,1,1,1.4,294,6.3
Drew Brees,802,QB,NO,3,138,60.0,10,11,11.5,2.32,0,1,8.3,45.5,5,7,16.7,13,9.4,1,3,,73.2,70.7,73.5,69.6,,62.0,0,0,14,0.0,53.2,0.0,0,2,0,1,0,0,0.0,35,3.2,0,20,87.5,54.0,54.0,56.5,80.4,112,119,6.5,2.52,4,1,0.8,65.5,78,36,13.3,125,90.6,12,33,,86.7,51.1,81.5,51.6,,58.7,2,7,130,11.1,57.5,3.2,4,2,0,1,1,6,4.6,642,5.4,80.0,90,94,6.3,2.29,3,0,0.0,66.0,62,0,13.9,95,68.8,10,28,,84.7,55.1,80.4,54.5,,63.9,0,4,97,,65.3,0.0,0,1,0,1,1,4,4.1,506,5.4,0,75.0,32,36,8.6,2.97,1,2,5.0,58.3,21,43,12.5,43,31.2,3,8,,79.8,54.5,77.7,55.6,,55.3,2,3,47,9.3,35.8,9.3,4,3,0,1,0,2,4.3,171,4.8
Matt Hasselbeck,408,QB,SEA,4,138,75.0,32,35,8.4,2.29,0,1,2.8,51.4,18,18,25.0,39,28.3,6,11,,79.0,68.3,77.3,67.8,57.6,,0,2,40,22.2,57.8,10.3,4,0,0,3,1,2,5.0,228,6.5,0,29,65.1,85.2,88.7,38.9,81.1,90,93,9.0,2.64,2,9,9.6,73.1,68,21,6.8,99,71.7,5,38,,84.9,91.9,80.5,91.1,,59.1,0,1,100,14.3,116.1,3.0,3,3,0,1,6,1,1.0,804,8.6,78.9,95,97,8.4,2.29,2,6,6.1,69.1,67,0,10.7,99,71.7,8,35,,84.9,91.0,80.6,90.2,57.6,62.1,0,1,100,,106.9,0.0,0,2,0,0,6,2,2.0,719,7.4,2,81.5,27,31,10.5,3.16,0,4,12.5,61.3,19,39,13.6,39,28.3,3,14,,79.0,72.2,77.2,72.1,,57.9,0,2,40,17.9,79.1,17.9,7,1,0,4,1,1,2.5,313,10.1
