player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Joe Thuney,10712,G,NE,12,100.0,0,19,77.0,85.2,67.3,4,10,512,100.0,100.0,98.4,0,15,1,874,0,866,0,874,542,542,0,8,332,0
Jake Matthews,8641,T,ATL,12,100.0,0,2,73.4,82.0,54.3,3,16,567,100.0,100.0,96.9,6,27,8,863,0,1,862,863,617,617,0,0,246,0
Ali Marpet,9494,G,TB,12,100.0,1,30,72.5,78.6,65.3,7,12,531,100.0,100.0,97.8,3,21,2,862,0,862,0,862,570,570,0,0,292,0
Ryan Jensen,7985,C,TB,12,100.0,0,30,72.5,84.9,64.3,2,8,531,100.0,100.0,98.9,1,11,1,862,862,0,0,862,570,570,0,0,292,0
Donovan Smith,9467,T,TB,12,100.0,3,30,67.8,74.1,57.2,6,18,530,100.0,100.0,96.6,8,30,6,858,0,0,858,858,569,569,0,0,289,0
Alex Mack,4944,C,ATL,12,100.0,0,2,66.4,75.9,63.4,5,15,562,100.0,100.0,98.0,7,21,1,856,856,0,0,856,612,612,0,0,244,0
Jason Kelce,6343,C,PHI,12,100.0,0,24,76.7,70.8,76.9,2,22,490,100.0,100.0,97.3,2,25,1,852,851,0,0,852,526,526,0,0,326,0
Isaac Seumalo,10713,G,PHI,12,100.0,0,24,65.1,66.5,63.1,4,23,490,100.0,100.0,96.2,5,32,5,851,1,849,0,851,526,526,0,0,325,0
Bradley Bozeman,27934,G,BLT,12,100.0,1,3,58.4,50.4,62.7,3,15,396,100.0,100.0,96.7,5,22,4,842,0,841,0,842,420,420,0,0,422,0
Germain Ifedi,10665,T,SEA,12,100.0,1,29,56.0,55.9,57.9,2,37,449,100.0,100.0,95.0,8,42,3,842,0,0,0,842,492,492,0,841,350,1
Orlando Brown Jr.,46227,T,BLT,12,100.0,2,3,70.5,80.2,59.0,1,14,396,100.0,100.0,97.3,3,18,3,842,0,0,4,842,420,420,0,837,422,0
Ted Karras,10855,C,NE,12,100.0,1,19,60.3,52.2,62.9,1,11,488,100.0,100.0,98.4,3,14,2,841,841,0,0,841,512,512,0,0,329,0
Travis Frederick,7812,C,DAL,12,100.0,0,9,64.8,59.9,64.3,7,9,480,100.0,100.0,98.1,1,17,1,838,838,0,0,838,517,517,0,0,321,0
Braden Smith,46794,T,IND,12,100.0,3,14,77.2,66.7,83.7,8,25,438,100.0,100.0,95.1,5,38,5,837,0,0,0,837,475,475,0,837,362,0
Anthony Castonzo,6174,T,IND,12,100.0,0,14,83.0,86.0,73.1,3,17,438,100.0,100.0,97.0,2,23,3,837,0,0,834,837,475,475,0,0,362,3
Mark Glowinski,9567,G,IND,12,100.0,0,14,62.1,54.7,68.3,10,18,438,100.0,100.0,96.1,9,31,3,837,0,0,0,837,475,475,837,0,362,0
Andrew Norwell,9126,G,JAX,12,100.0,1,15,62.0,75.0,58.7,4,18,520,100.0,100.0,97.7,7,23,1,834,0,833,0,834,559,559,0,0,275,0
Quenton Nelson,12954,G,IND,12,99.8,0,14,91.5,81.8,90.4,2,15,436,99.8,99.8,98.1,2,17,0,834,0,834,0,836,473,474,0,0,361,0
