player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Michael Thomas,10681,WR,NO,15,172,0,20,0,-2.3,0,100.0,,0,0,0.0,0,2,0,91.6,52.3,0,9,0.0,0,71,9,94.4,67,122.7,9,5.2,1,41,62,6.9,4.6,0.61,7.8,5,83.6,57.1,4,7,1.9,1,34,0,91.6,91.9,0,49,0.0,0,195,51,89.2,174,123.2,61,35.5,3,587,229,4.5,11.5,3.37
DeAndre Hopkins,7808,WR,HST,15,146,0,13,0,-3.7,4,100.0,,0,0,0.0,0,2,0,91.8,78.6,0,13,0.0,0,37,9,97.3,36,79.2,9,6.2,0,27,60,6.7,3.0,0.75,9.4,5,75.4,37.5,3,8,4.4,2,27,0,80.2,91.0,0,34,0.0,0,227,43,93.0,211,103.4,57,39.0,1,446,187,4.3,10.4,2.11
Julian Edelman,5156,WR,NE,15,141,0,19,0,-2.1,1,70.0,,0,0,22.2,2,2,0,40.5,50.6,0,14,0.0,0,57,7,98.2,56,72.9,10,7.1,0,19,33,4.7,2.7,0.34,8.5,6,69.5,66.7,10,15,12.0,9,33,1,48.8,72.7,0,44,0.0,0,417,66,94.5,394,105.3,95,67.4,4,713,248,3.8,10.8,1.81
Allen Robinson II,8696,WR,CHI,15,141,0,6,0,-2.0,0,100.0,,0,0,0.0,0,1,0,90.9,48.9,0,9,0.0,0,75,6,96.0,72,89.6,6,4.3,0,33,45,7.5,5.5,0.46,10.4,2,72.4,62.5,10,16,0.0,0,28,0,89.3,84.7,2,49,0.8,2,265,42,93.2,247,108.7,58,41.1,4,524,150,3.6,12.5,2.12
Julio Jones,6158,WR,ATL,14,138,0,2,0,-0.3,1,90.0,0.0,0,1,0.0,0,2,0,91.8,63.2,0,54,0.0,0,40,9,90.0,36,130.4,10,7.2,1,73,81,9.0,8.1,2.03,11.3,1,65.6,37.5,3,8,8.7,2,13,0,89.7,90.3,1,48,0.0,0,125,21,93.6,117,81.0,32,23.2,0,286,75,3.6,13.6,2.44
Keenan Allen,7857,WR,LAC,15,137,0,27,0,-2.7,0,100.0,,0,0,0.0,0,0,0,91.1,51.5,0,5,0.0,0,45,6,93.3,42,79.2,6,4.4,0,16,32,5.3,2.7,0.38,9.2,3,73.8,40.0,4,10,5.9,3,29,0,87.9,83.0,2,45,0.6,2,310,48,91.3,283,95.2,65,47.4,2,532,165,3.4,11.1,1.88
Tyler Boyd,10689,WR,CIN,15,135,0,7,0,-3.7,3,100.0,,0,0,0.0,0,2,1,90.9,53.5,0,15,0.0,0,44,6,95.5,42,88.9,6,4.4,0,32,54,9.0,5.3,0.76,10.3,5,63.9,35.3,6,17,8.6,5,34,1,64.0,72.2,3,47,0.2,1,419,53,94.5,396,84.7,83,61.5,2,726,251,4.7,13.7,1.83
D.J. Moore,48267,WR,CAR,15,130,0,5,0,-1.8,3,100.0,,0,0,0.0,0,4,0,92.0,81.8,0,18,0.0,0,42,10,95.2,40,96.3,10,7.7,0,71,89,8.9,7.1,1.78,7.4,0,65.2,50.0,1,2,16.7,3,8,0,80.3,85.9,2,14,1.1,1,94,15,96.8,91,57.0,23,17.7,1,123,54,3.6,8.2,1.35
Zach Ertz,7816,TE,PHI,15,128,0,24,0,0.0,1,100.0,,0,0,0.0,0,0,0,78.7,39.0,0,10,6.7,4,60,1,91.7,55,108.3,1,0.8,0,10,10,10.0,10.0,0.18,9.0,2,63.3,41.7,5,12,6.1,2,20,0,77.3,73.2,0,27,0.8,2,259,31,91.1,236,82.8,49,38.3,0,329,95,3.1,10.6,1.39
Christian McCaffrey,11763,HB,CAR,15,127,0,5,0,-4.1,0,92.9,,0,0,7.1,1,3,0,69.2,72.3,0,15,16.7,7,42,13,83.3,35,92.0,14,11.0,0,85,138,10.6,6.5,2.43,3.0,2,94.1,100.0,3,3,5.9,1,10,0,90.0,94.2,0,18,0.0,0,57,16,98.2,56,118.1,17,13.4,1,130,85,5.3,8.1,2.32
