player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Michael Thomas,10681,WR,NO,14,155,0,20,7.5,6,86.4,92.3,12,13,5.0,3,34,0,75.9,90.4,0,34,0.0,0,176,57,92.6,163,125.1,66,42.6,4,606,206,3.6,10.6,3.72,0,8.3,5,86.6,75.0,6,8,2.7,2,41,1,86.8,85.0,0,49,0.0,0,350,71,95.1,333,120.4,82,52.9,2,898,315,4.4,12.6,2.7
DeAndre Hopkins,7808,WR,HST,14,138,0,13,8.8,1,72.5,45.5,5,11,5.1,2,25,0,73.2,82.7,0,34,0.0,0,206,37,93.2,192,97.8,51,37.0,1,351,145,3.9,9.5,1.83,0,12.6,8,70.7,41.7,5,12,5.4,3,36,0,73.7,87.5,0,43,0.0,0,324,53,94.1,305,119.4,75,54.3,4,731,217,4.1,13.8,2.4
Julian Edelman,5156,WR,NE,14,135,0,19,10.0,3,61.9,60.0,6,10,11.4,5,28,0,49.9,76.5,1,31,0.7,2,277,39,88.8,246,82.8,63,46.7,1,460,144,3.7,11.8,1.87,0,9.1,3,76.2,71.4,5,7,7.7,4,19,2,71.1,67.6,1,44,0.0,0,277,48,96.8,268,110.0,63,46.7,3,531,157,3.3,11.1,1.98
Allen Robinson II,8696,WR,CHI,14,130,0,6,11.2,1,56.4,66.7,8,12,0.0,0,16,0,84.9,73.2,2,34,1.1,2,186,22,87.6,163,71.7,39,30.0,2,252,56,2.5,11.5,1.55,0,12.4,5,70.2,54.2,13,24,4.8,3,36,0,76.6,81.3,3,49,0.0,0,353,59,96.6,341,95.1,84,64.6,3,756,181,3.1,12.8,2.22
D.J. Moore,48267,WR,CAR,14,128,0,5,12.1,2,68.9,38.5,5,13,3.1,1,24,0,77.8,84.2,1,52,0.5,1,189,31,95.2,180,114.9,45,35.2,3,458,155,5.0,14.8,2.54,0,11.8,11,65.8,64.3,9,14,7.1,4,38,2,66.8,74.4,3,52,0.3,1,384,52,96.1,369,77.6,79,61.7,0,692,234,4.5,13.3,1.88
Keenan Allen,7857,WR,LAC,14,127,0,27,11.3,4,65.6,50.0,6,12,4.8,2,28,0,75.3,89.8,3,34,0.0,0,208,40,92.3,192,80.2,61,48.0,2,484,169,4.2,12.1,2.52,0,10.0,3,76.7,28.6,2,7,6.1,3,22,0,69.2,69.3,3,45,0.7,2,303,46,93.1,282,93.2,60,47.2,2,532,151,3.3,11.6,1.89
Julio Jones,6158,WR,ATL,13,123,0,2,12.9,2,62.9,63.6,7,11,4.3,1,16,1,84.9,86.7,1,54,0.0,0,135,22,91.1,123,111.3,35,28.5,2,417,161,7.3,19.0,3.39,0,12.8,3,67.1,33.3,7,21,5.4,3,41,0,81.0,82.4,2,48,0.0,0,327,53,93.9,307,88.3,79,64.2,1,694,128,2.4,13.1,2.26
Zach Ertz,7816,TE,PHI,14,122,0,24,9.0,2,68.6,50.0,4,8,12.5,5,24,0,46.4,76.7,1,27,3.4,8,233,35,91.0,212,102.5,51,41.8,3,389,109,3.1,11.1,1.83,0,9.0,3,69.2,66.7,8,12,0.0,0,20,1,90.3,71.6,0,30,3.9,11,283,45,91.5,259,90.0,65,53.3,0,472,149,3.3,10.5,1.82
Tyler Boyd,10689,WR,CIN,14,121,0,7,11.2,3,55.1,50.0,6,12,12.9,4,17,1,46.5,70.1,2,47,0.4,1,236,27,92.4,218,75.5,49,40.5,2,363,89,3.3,13.4,1.67,0,9.0,3,68.6,35.7,5,14,2.0,1,23,1,85.6,69.9,4,47,0.0,0,311,48,94.9,295,69.7,70,57.9,1,496,200,4.2,10.3,1.68
Odell Beckham Jr.,8647,WR,CLV,14,118,0,8,10.9,1,48.8,46.7,7,15,13.0,3,12,0,49.1,63.1,2,39,0.0,0,168,20,89.3,150,47.9,41,34.7,0,251,96,4.8,12.6,1.67,0,14.2,2,64.3,54.5,6,11,8.2,4,25,0,63.3,72.5,3,89,0.0,0,332,45,91.9,305,85.6,70,59.3,2,643,200,4.4,14.3,2.11
Cooper Kupp,11824,WR,LA,14,118,0,26,9.2,4,63.2,40.0,2,5,0.0,0,15,1,85.3,83.1,1,66,3.5,5,142,24,86.6,123,118.2,38,32.2,3,439,253,10.5,18.3,3.57,0,6.6,2,75.7,50.0,2,4,3.6,2,26,1,81.2,68.4,1,31,2.2,8,368,53,90.5,333,101.7,70,59.3,2,553,233,4.4,10.4,1.66
Jarvis Landry,8698,WR,CLV,14,117,0,8,10.4,5,57.9,40.0,6,15,15.4,4,18,0,41.7,73.4,1,34,0.0,0,165,22,90.3,149,90.9,38,32.5,2,310,140,6.4,14.1,2.08,0,10.5,7,69.2,50.0,6,12,2.2,1,29,0,84.7,78.6,4,65,0.0,0,332,45,92.2,306,82.1,65,55.6,1,668,227,5.0,14.8,2.18
Travis Kelce,7844,TE,KC,14,115,0,16,9.8,8,77.4,55.6,5,9,2.4,1,28,1,84.3,90.1,0,41,10.4,28,270,41,77.8,210,120.5,53,46.1,2,526,176,4.3,12.8,2.5,0,10.4,6,75.4,50.0,5,10,6.5,3,30,0,60.4,83.9,0,47,7.9,23,290,43,84.8,246,113.9,57,49.6,1,590,163,3.8,13.7,2.4
Mike Evans,8642,WR,TB,13,114,0,30,14.3,0,69.4,72.7,8,11,3.8,1,25,0,75.5,89.2,1,67,0.6,1,165,25,89.7,148,138.1,36,31.6,5,433,97,3.9,17.3,2.93,0,16.7,2,56.3,40.0,6,15,11.1,5,27,0,52.6,79.1,4,61,0.0,0,329,40,95.7,315,72.3,71,62.3,1,717,169,4.2,17.9,2.28
Chris Godwin,11839,WR,TB,14,114,0,30,9.2,3,69.2,57.1,4,7,0.0,0,16,0,82.7,70.2,2,33,0.0,0,196,18,91.8,180,77.7,26,22.8,1,232,68,3.8,12.9,1.29,0,11.6,13,78.2,76.9,10,13,1.6,1,44,0,89.9,91.4,3,71,0.8,3,387,61,95.9,371,124.1,78,68.4,5,1063,486,8.0,17.4,2.87
Christian McCaffrey,11763,HB,CAR,14,112,0,5,0.9,9,77.8,25.0,1,4,4.5,1,17,0,72.1,93.7,1,24,28.9,56,194,21,68.0,132,111.9,27,24.1,2,233,232,11.0,11.1,1.77,0,0.4,10,87.0,50.0,2,4,5.6,4,29,0,74.5,82.7,1,25,11.5,44,382,67,85.1,325,95.2,77,68.8,1,547,540,8.1,8.2,1.68
