player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Michael Thomas,10681,WR,NO,10,111,0,20,0,-1.8,0,100.0,,0,0,0.0,0,2,0,90.9,57.7,0,9,0.0,0,46,6,93.5,43,126.4,6,5.4,1,29,40,6.7,4.8,0.67,7.2,4,86.5,75.0,3,4,3.0,1,22,0,89.5,90.9,0,26,0.0,0,117,32,90.6,106,125.6,37,33.3,2,363,142,4.4,11.3,3.42
Keenan Allen,7857,WR,LAC,11,105,0,27,0,-3.0,0,100.0,,0,0,0.0,0,0,0,90.6,53.9,0,5,0.0,0,33,4,90.9,30,81.3,4,3.8,0,14,26,6.5,3.5,0.47,9.2,2,72.9,20.0,1,5,7.9,3,19,0,74.5,79.4,2,27,0.0,0,244,35,91.4,223,89.6,48,45.7,2,348,87,2.5,9.9,1.56
DeAndre Hopkins,7808,WR,HST,10,102,0,13,0,-3.5,1,100.0,,0,0,0.0,0,2,0,90.6,77.5,0,13,0.0,0,26,4,96.2,25,91.7,4,3.9,0,24,38,9.5,6.0,0.96,8.7,4,82.9,50.0,3,6,5.6,2,20,0,72.5,90.4,0,34,0.0,0,152,34,91.4,139,108.0,41,40.2,1,327,140,4.1,9.6,2.35
Julian Edelman,5156,WR,NE,10,98,0,19,0,-2.1,1,66.7,,0,0,25.0,2,2,0,33.2,52.5,0,14,0.0,0,46,6,97.8,45,70.1,9,9.2,0,21,33,5.5,3.5,0.47,8.0,5,69.8,57.1,4,7,13.7,7,20,1,47.1,69.3,0,29,0.0,0,281,44,95.4,268,105.5,63,64.3,3,444,166,3.8,10.1,1.66
Mike Evans,8642,WR,TB,10,94,0,30,0,-0.8,0,75.0,0.0,0,1,0.0,0,1,0,88.7,51.7,0,5,0.0,0,38,3,100.0,38,116.7,4,4.3,1,8,10,3.3,2.7,0.21,14.8,1,85.7,85.7,6,7,0.0,0,13,0,58.4,82.7,0,43,0.0,0,126,18,92.9,117,158.3,21,22.3,3,290,45,2.5,16.1,2.48
Cooper Kupp,11824,WR,LA,10,92,0,26,0,-2.6,0,100.0,,0,0,0.0,0,2,1,91.6,57.0,0,12,0.0,0,40,9,90.0,36,83.3,9,9.8,0,36,59,6.6,4.0,1.0,7.7,4,66.2,28.6,2,7,2.1,1,23,2,90.3,80.7,1,66,3.2,9,283,47,90.1,255,108.3,71,77.2,4,650,336,7.1,13.8,2.55
Tyler Boyd,10689,WR,CIN,10,90,0,7,0,-3.8,1,100.0,,0,0,0.0,0,1,1,90.6,47.1,0,15,0.0,0,37,5,97.3,36,81.7,5,5.6,0,18,37,7.4,3.6,0.5,9.8,2,63.0,33.3,4,12,10.5,4,21,0,53.5,61.5,2,47,0.3,1,304,34,94.1,286,78.0,54,60.0,1,424,154,4.5,12.5,1.48
D.J. Moore,48267,WR,CAR,10,90,0,5,0,-1.7,2,100.0,,0,0,0.0,0,2,0,91.4,75.2,0,18,0.0,0,30,7,93.3,28,98.2,7,7.8,0,53,65,9.3,7.6,1.89,7.8,0,66.7,100.0,1,1,11.1,1,3,0,82.2,83.8,2,13,1.5,1,66,8,97.0,64,39.6,12,13.3,0,62,21,2.6,7.8,0.97
Julio Jones,6158,WR,ATL,10,89,0,2,0,0.5,0,83.3,0.0,0,1,0.0,0,2,0,90.9,65.9,0,54,0.0,0,29,5,86.2,25,150.7,6,6.7,1,64,66,13.2,12.8,2.56,12.6,0,71.4,50.0,2,4,6.3,1,8,0,91.5,88.9,1,48,0.0,0,83,15,92.8,77,80.7,21,23.6,0,196,43,2.9,13.1,2.55
Chris Godwin,11839,WR,TB,10,86,0,30,0,-2.2,1,91.7,,0,0,0.0,0,3,0,92.0,90.2,0,13,0.0,0,45,11,100.0,45,124.0,12,14.0,1,85,109,9.9,7.7,1.89,11.2,7,72.0,64.3,9,14,2.7,1,29,0,90.6,90.0,5,49,0.0,0,308,36,93.2,287,88.8,50,58.1,3,556,201,5.6,15.4,1.94
