player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Terrell Suggs,1326,ED,ARZ,8,4,1.3,0,0,1,37.3,68.8,18.8,74.5,69.2,43.0,20.0,4,4,128,137,7.8,10,12
Mike Adams,1972,S,HST,1,0,,0,0,13,51.8,52.9,74.1,,60.3,70.2,,0,0,6,7,0.0,0,0
Thomas Davis Sr.,2231,LB,LAC,8,10,3.0,0,0,27,47.3,53.2,0.0,69.6,63.7,64.4,7.3,3,3,203,213,7.9,16,28
Lorenzo Alexander,2476,ED,BUF,7,5,4.9,0,0,4,56.6,67.2,49.6,75.3,57.5,65.2,11.1,2,1,86,92,4.7,4,11
Johnathan Joseph,2969,CB,HST,6,0,19.5,1,0,13,55.3,58.9,83.7,75.9,72.5,39.7,0.0,0,2,94,98,0.0,0,2
Antoine Bethea,3152,S,NYG,8,7,10.3,0,0,21,55.0,61.3,84.0,65.9,72.0,70.6,10.7,3,0,230,237,3.0,7,18
Tramon Williams,3558,CB,GB,8,2,8.5,0,0,12,79.2,73.1,0.0,55.7,52.0,75.1,0.0,0,3,110,113,0.0,0,2
Eric Weddle,3653,S,LA,8,7,5.1,0,0,26,79.1,82.2,85.9,68.2,77.8,74.0,4.8,1,0,193,198,3.1,6,13
Brandon Mebane,3701,DI,LAC,6,2,3.1,0,0,27,59.3,56.5,85.1,56.5,57.2,58.5,0.0,0,0,98,106,6.1,6,10
Dominique Rodgers-Cromartie,4330,CB,WAS,2,0,13.5,0,0,32,41.5,42.6,77.7,,51.3,32.2,33.3,1,0,27,29,0.0,0,2
Aqib Talib,4334,CB,LA,5,1,13.0,2,0,26,55.8,55.4,82.7,,52.4,33.2,60.0,3,2,126,129,0.0,0,1
Calais Campbell,4364,DI,JAX,8,7,1.6,0,1,15,63.2,91.8,54.9,87.8,91.4,53.8,16.1,5,3,135,138,8.9,12,19
Brandon Carr,4454,CB,BLT,7,0,8.3,1,0,3,63.0,63.0,84.3,65.6,54.7,48.8,40.0,2,3,114,119,1.8,2,3
Orlando Scandrick,4457,CB,PHI,3,0,4.5,0,0,24,64.3,91.7,78.2,99.9,73.8,56.4,33.3,1,0,22,22,4.5,1,2
