player,player_id,position,team_name,player_game_count,base_dropbacks,blitz_accuracy_percent,blitz_aimed_passes,blitz_attempts,blitz_avg_depth_of_target,blitz_avg_time_to_throw,blitz_bats,blitz_big_time_throws,blitz_btt_rate,blitz_completion_percent,blitz_completions,blitz_def_gen_pressures,blitz_drop_rate,blitz_dropbacks,blitz_dropbacks_percent,blitz_drops,blitz_first_downs,blitz_grades_coverage_defense,blitz_grades_defense,blitz_grades_defense_penalty,blitz_grades_hands_drop,blitz_grades_hands_fumble,blitz_grades_offense,blitz_grades_offense_penalty,blitz_grades_pass,blitz_grades_pass_route,blitz_grades_run,blitz_hit_as_threw,blitz_interceptions,blitz_passing_snaps,blitz_pressure_to_sack_rate,blitz_qb_rating,blitz_sack_percent,blitz_sacks,blitz_scrambles,blitz_spikes,blitz_thrown_aways,blitz_touchdowns,blitz_turnover_worthy_plays,blitz_twp_rate,blitz_yards,blitz_ypa,declined_penalties,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,no_blitz_accuracy_percent,no_blitz_aimed_passes,no_blitz_attempts,no_blitz_avg_depth_of_target,no_blitz_avg_time_to_throw,no_blitz_bats,no_blitz_big_time_throws,no_blitz_btt_rate,no_blitz_completion_percent,no_blitz_completions,no_blitz_def_gen_pressures,no_blitz_drop_rate,no_blitz_dropbacks,no_blitz_dropbacks_percent,no_blitz_drops,no_blitz_first_downs,no_blitz_grades_coverage_defense,no_blitz_grades_defense,no_blitz_grades_defense_penalty,no_blitz_grades_hands_drop,no_blitz_grades_hands_fumble,no_blitz_grades_offense,no_blitz_grades_offense_penalty,no_blitz_grades_pass,no_blitz_grades_pass_route,no_blitz_grades_run,no_blitz_hit_as_threw,no_blitz_interceptions,no_blitz_passing_snaps,no_blitz_pressure_to_sack_rate,no_blitz_qb_rating,no_blitz_sack_percent,no_blitz_sacks,no_blitz_scrambles,no_blitz_spikes,no_blitz_thrown_aways,no_blitz_touchdowns,no_blitz_turnover_worthy_plays,no_blitz_twp_rate,no_blitz_yards,no_blitz_ypa,no_pressure_accuracy_percent,no_pressure_aimed_passes,no_pressure_attempts,no_pressure_avg_depth_of_target,no_pressure_avg_time_to_throw,no_pressure_bats,no_pressure_big_time_throws,no_pressure_btt_rate,no_pressure_completion_percent,no_pressure_completions,no_pressure_def_gen_pressures,no_pressure_drop_rate,no_pressure_dropbacks,no_pressure_dropbacks_percent,no_pressure_drops,no_pressure_first_downs,no_pressure_grades_coverage_defense,no_pressure_grades_defense,no_pressure_grades_defense_penalty,no_pressure_grades_hands_drop,no_pressure_grades_hands_fumble,no_pressure_grades_offense,no_pressure_grades_offense_penalty,no_pressure_grades_pass,no_pressure_grades_pass_route,no_pressure_grades_run,no_pressure_hit_as_threw,no_pressure_interceptions,no_pressure_passing_snaps,no_pressure_pressure_to_sack_rate,no_pressure_qb_rating,no_pressure_sack_percent,no_pressure_sacks,no_pressure_scrambles,no_pressure_spikes,no_pressure_thrown_aways,no_pressure_touchdowns,no_pressure_turnover_worthy_plays,no_pressure_twp_rate,no_pressure_yards,no_pressure_ypa,penalties,pressure_accuracy_percent,pressure_aimed_passes,pressure_attempts,pressure_avg_depth_of_target,pressure_avg_time_to_throw,pressure_bats,pressure_big_time_throws,pressure_btt_rate,pressure_completion_percent,pressure_completions,pressure_def_gen_pressures,pressure_drop_rate,pressure_dropbacks,pressure_dropbacks_percent,pressure_drops,pressure_first_downs,pressure_grades_coverage_defense,pressure_grades_defense,pressure_grades_defense_penalty,pressure_grades_hands_drop,pressure_grades_hands_fumble,pressure_grades_offense,pressure_grades_offense_penalty,pressure_grades_pass,pressure_grades_pass_route,pressure_grades_run,pressure_hit_as_threw,pressure_interceptions,pressure_passing_snaps,pressure_pressure_to_sack_rate,pressure_qb_rating,pressure_sack_percent,pressure_sacks,pressure_scrambles,pressure_spikes,pressure_thrown_aways,pressure_touchdowns,pressure_turnover_worthy_plays,pressure_twp_rate,pressure_yards,pressure_ypa
Peyton Manning,327,QB,IND,15,654,71.1,152,155,9.2,0.0,1,5,3.2,61.3,95,46,12.0,163,24.9,13,61,,,,,88.6,76.5,82.4,75.0,,,1,3,165,17.4,86.1,4.9,8,0,0,1,8,5,3.0,887,5.7,0,14,90.9,87.0,86.5,41.2,75.4,471,483,8.9,0.0,5,25,5.0,67.9,328,122,7.6,491,75.1,27,180,,,,,89.4,89.4,86.9,86.6,,63.9,3,14,509,5.7,93.1,1.4,7,1,0,4,23,14,2.8,3549,7.3,76.9,481,486,8.1,0.0,3,21,4.2,69.5,338,0,8.6,486,74.3,32,184,,,,,91.6,90.3,86.8,88.0,,,0,9,502,,99.4,0.0,0,0,0,2,26,12,2.4,3413,7.0,3,65.5,142,152,12.0,0.0,3,9,5.8,55.9,85,168,8.6,168,25.7,8,57,,,,,68.6,73.9,82.6,72.1,,63.9,4,8,172,8.9,65.8,8.9,15,1,0,3,5,7,4.1,1023,6.7
Drew Brees,802,QB,NO,15,644,81.9,166,180,7.8,0.0,3,12,6.4,70.0,126,67,7.4,192,29.8,10,64,,,,,64.4,84.6,83.2,82.5,,,1,4,199,17.9,96.5,6.3,12,0,0,10,8,5,2.5,1320,7.3,0,20,79.2,87.3,87.5,33.2,76.2,421,440,8.0,0.0,6,29,6.4,68.2,300,116,6.5,452,70.2,21,161,,,,,81.3,86.6,86.6,84.5,,54.5,1,17,468,8.6,90.4,2.2,10,2,3,9,24,14,3.0,3104,7.1,81.1,444,460,7.6,0.0,9,27,5.7,73.0,336,0,6.7,461,71.6,24,173,,,,,84.4,92.9,86.6,91.8,,58.3,0,12,474,,101.8,0.0,0,1,3,4,26,8,1.7,3413,7.4,4,67.8,143,160,9.3,0.0,0,14,8.2,56.3,90,183,7.2,183,28.4,7,52,,,,,58.0,60.5,83.0,60.4,,58.3,2,9,193,12.0,64.3,12.0,22,1,0,15,6,11,5.7,1011,6.3
Sam Bradford,5526,QB,SL,15,601,70.5,176,206,6.6,0.0,10,13,6.0,55.8,115,106,7.3,228,37.9,9,74,,,,,59.6,70.4,83.9,69.3,,60.8,12,2,240,17.0,83.7,7.9,18,4,0,8,8,8,3.3,1297,6.3,0,26,72.8,65.9,66.5,41.0,74.2,326,348,6.9,0.0,4,9,2.5,63.2,220,98,9.1,373,62.1,22,102,,,,,85.0,63.5,85.9,63.0,,60.0,5,12,394,13.3,74.7,3.5,13,12,3,10,10,13,3.3,2069,5.9,77.0,378,392,6.6,0.0,8,12,2.9,67.6,265,0,8.9,397,66.1,26,134,,,,,91.3,78.8,86.1,77.2,,59.8,0,7,415,,90.5,0.0,0,5,3,3,14,9,2.2,2601,6.6,1,60.5,124,162,7.3,0.0,6,10,5.7,43.2,70,204,6.7,204,33.9,5,42,,,,,39.6,44.5,83.5,44.5,,60.6,17,7,219,15.2,48.0,15.2,31,11,0,15,4,12,5.5,765,4.7
Matt Schaub,1811,QB,HST,15,589,73.0,174,190,8.1,0.0,4,4,2.0,60.5,115,78,9.4,204,34.6,12,75,,,,,73.0,74.8,38.3,73.9,,,5,4,215,17.9,85.5,6.9,14,0,0,7,5,7,3.3,1503,7.9,0,13,72.4,83.5,83.0,43.6,75.9,328,362,8.0,0.0,6,21,5.5,64.1,232,106,6.8,385,65.4,17,141,,,,,67.4,85.7,86.0,83.5,,63.8,7,8,407,17.0,93.0,4.7,18,5,4,17,18,8,2.0,2616,7.2,79.7,380,400,7.8,0.0,8,19,4.5,69.8,279,0,7.9,405,68.8,24,175,,,,,91.3,92.9,60.9,91.9,,63.8,0,7,429,,102.6,0.0,0,5,4,8,18,5,1.2,3331,8.3,1,59.8,122,152,8.8,0.0,2,6,3.7,44.7,68,184,6.8,184,31.2,5,41,,,,,28.1,47.9,83.0,48.5,,,12,5,193,17.4,58.2,17.4,32,0,0,16,5,10,5.2,788,5.2
Matt Ryan,4317,QB,ATL,15,582,71.3,181,192,9.0,0.0,4,14,6.8,64.1,123,68,4.7,201,34.5,6,75,,,,,73.7,89.7,83.5,87.6,,56.9,4,4,216,8.8,98.4,3.0,6,3,0,3,12,3,1.4,1419,7.4,0,2,86.1,84.2,86.1,36.3,71.3,324,347,8.6,0.0,1,16,4.3,61.1,212,108,8.2,381,65.5,19,115,,,,,85.6,78.6,86.0,78.9,,46.7,5,5,406,14.8,85.1,4.2,16,18,1,16,14,7,1.7,2050,5.9,75.0,376,389,8.0,0.0,5,16,3.9,66.3,258,0,8.5,406,69.8,24,148,,,,,86.7,90.2,86.2,90.0,,46.3,0,8,432,,90.7,0.2,1,16,1,7,16,6,1.4,2636,6.8,2,60.5,129,150,11.0,0.0,0,14,8.7,51.3,77,176,1.3,176,30.2,1,42,,,,,70.9,68.1,83.0,67.9,,55.9,9,1,190,11.9,87.4,11.9,21,5,0,12,10,4,2.1,833,5.6
Carson Palmer,1317,QB,CIN,15,575,70.1,164,178,9.9,0.0,4,10,5.2,59.0,105,72,8.7,193,33.6,10,68,,,,,90.0,78.0,83.4,76.3,,62.9,4,4,209,18.1,95.8,6.7,13,2,0,6,12,6,2.9,1344,7.6,0,7,87.8,72.5,74.2,35.2,70.9,344,363,8.8,0.0,7,16,4.2,62.0,225,93,7.8,382,66.4,19,124,,,,,85.3,70.6,59.2,69.6,,64.1,1,13,400,14.0,77.4,3.4,13,6,1,10,13,17,4.3,2321,6.4,72.9,388,406,8.9,0.0,9,18,4.2,64.0,260,0,8.1,410,71.3,23,147,,,,,86.7,75.9,86.2,74.8,,49.8,0,13,432,,88.2,0.0,0,4,1,8,20,17,3.9,2887,7.1,3,63.3,120,135,10.0,0.0,2,8,5.5,51.9,70,165,7.9,165,28.7,6,45,,,,,89.0,68.8,29.6,67.0,,77.8,5,4,177,15.8,69.3,15.8,26,4,0,8,5,6,3.4,778,5.8
Philip Rivers,1725,QB,SD,15,548,68.3,126,137,9.9,0.0,1,9,6.2,59.1,81,62,5.8,150,27.4,5,65,,,,,88.3,82.6,82.3,80.5,,62.5,4,6,159,17.7,85.3,7.3,11,2,0,6,6,3,1.9,1235,9.0,0,27,64.6,92.2,93.5,32.3,79.5,342,367,8.2,0.0,5,24,6.3,69.5,255,128,6.3,398,72.6,17,161,,,,,75.2,95.2,59.8,94.0,57.6,72.1,3,6,410,17.2,110.9,5.5,22,9,1,16,24,6,1.5,3162,8.6,78.7,342,352,8.3,0.0,6,21,5.8,71.9,253,0,5.9,358,65.3,16,175,,,,,91.1,97.6,85.6,96.1,57.6,72.4,0,7,369,,116.0,0.0,0,6,1,3,24,3,0.8,3347,9.5,12,70.6,126,152,9.6,0.0,0,12,7.5,54.6,83,190,6.7,190,34.7,6,51,,,,,54.2,69.3,35.2,68.6,,65.0,7,5,200,17.4,75.8,17.4,33,5,0,19,6,6,3.0,1050,6.9
Mark Sanchez,4928,QB,NYJ,15,545,63.7,182,195,11.0,0.0,6,13,6.4,52.8,103,67,11.2,211,38.7,13,71,,,,,45.6,75.0,83.6,74.2,,55.7,4,3,220,14.9,84.6,4.7,10,6,0,3,10,9,4.1,1301,6.7,0,22,69.9,70.0,70.3,48.8,69.2,289,311,8.8,0.0,9,12,3.7,56.3,175,85,12.5,334,61.3,25,98,,,,,82.7,64.8,57.0,64.6,59.1,59.0,1,10,346,20.0,69.7,5.1,17,6,5,7,7,15,4.3,1990,6.4,72.3,365,386,8.8,0.0,15,17,4.3,60.4,233,0,11.7,393,72.1,31,137,,,,,91.2,79.1,86.0,78.8,59.1,42.2,0,9,402,,82.3,0.0,0,7,5,1,12,16,4.0,2709,7.0,3,49.1,106,120,12.5,0.0,0,8,6.1,37.5,45,152,13.5,152,27.9,7,32,,,,,26.7,49.3,29.5,48.4,,76.6,5,4,164,17.8,53.5,17.8,27,5,0,9,5,8,4.9,582,4.9
Kyle Orton,2323,QB,DEN,13,545,54.4,160,176,12.0,0.0,5,9,4.8,46.0,81,65,6.9,190,34.9,6,65,,,,,72.1,53.3,0.0,57.2,,28.7,2,4,200,16.9,71.3,5.8,11,3,0,9,7,12,6.0,1144,6.5,0,10,77.9,68.0,70.7,36.2,73.8,309,322,8.7,0.0,4,18,5.3,65.8,212,106,7.0,355,65.1,16,115,,,,,76.1,78.4,85.6,77.3,,57.5,3,5,374,21.7,96.5,6.5,23,10,2,4,13,7,1.9,2514,7.8,69.1,359,371,9.3,0.0,8,17,4.4,62.3,231,0,6.9,374,68.6,17,139,,,,,91.1,79.1,58.4,77.1,,74.3,0,3,389,,96.5,0.0,0,3,2,2,16,9,2.3,2804,7.6,7,60.9,110,127,11.6,0.0,1,10,7.1,48.8,62,171,7.5,171,31.4,5,41,,,,,37.8,47.9,31.7,53.6,,29.6,5,6,185,19.9,61.6,19.9,34,10,0,11,4,10,5.4,854,6.7
Eli Manning,1722,QB,NYG,15,535,69.4,157,168,10.3,0.0,5,16,8.8,57.7,97,64,11.0,179,33.5,12,67,,,,,58.2,71.1,83.0,72.3,,33.4,1,6,192,10.9,88.2,3.9,7,4,0,5,11,8,4.2,1252,7.5,0,21,78.0,78.8,80.1,38.2,76.6,329,342,9.1,0.0,1,17,4.7,65.8,225,97,10.7,356,66.5,27,120,,,,,84.0,82.6,85.6,80.2,,68.0,4,18,374,9.3,84.0,2.5,9,5,1,7,19,15,4.0,2507,7.3,80.3,361,370,8.3,0.0,6,17,4.3,70.0,259,0,10.7,374,69.9,31,146,,,,,85.3,83.9,85.9,82.4,,47.4,0,16,398,,94.9,0.0,0,4,1,2,21,14,3.5,2984,8.1,4,56.8,125,140,13.0,0.0,0,16,10.9,45.0,63,161,11.3,161,30.1,8,41,,,,,53.3,67.5,82.5,67.3,,54.9,5,8,168,9.9,60.3,9.9,16,5,0,10,9,9,5.4,775,5.5
