player,player_id,position,team_name,player_game_count,base_dropbacks,blitz_accuracy_percent,blitz_aimed_passes,blitz_attempts,blitz_avg_depth_of_target,blitz_avg_time_to_throw,blitz_bats,blitz_big_time_throws,blitz_btt_rate,blitz_completion_percent,blitz_completions,blitz_def_gen_pressures,blitz_drop_rate,blitz_dropbacks,blitz_dropbacks_percent,blitz_drops,blitz_first_downs,blitz_grades_coverage_defense,blitz_grades_defense,blitz_grades_defense_penalty,blitz_grades_hands_drop,blitz_grades_hands_fumble,blitz_grades_offense,blitz_grades_offense_penalty,blitz_grades_pass,blitz_grades_pass_route,blitz_grades_run,blitz_hit_as_threw,blitz_interceptions,blitz_passing_snaps,blitz_pressure_to_sack_rate,blitz_qb_rating,blitz_sack_percent,blitz_sacks,blitz_scrambles,blitz_spikes,blitz_thrown_aways,blitz_touchdowns,blitz_turnover_worthy_plays,blitz_twp_rate,blitz_yards,blitz_ypa,declined_penalties,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,no_blitz_accuracy_percent,no_blitz_aimed_passes,no_blitz_attempts,no_blitz_avg_depth_of_target,no_blitz_avg_time_to_throw,no_blitz_bats,no_blitz_big_time_throws,no_blitz_btt_rate,no_blitz_completion_percent,no_blitz_completions,no_blitz_def_gen_pressures,no_blitz_drop_rate,no_blitz_dropbacks,no_blitz_dropbacks_percent,no_blitz_drops,no_blitz_first_downs,no_blitz_grades_coverage_defense,no_blitz_grades_defense,no_blitz_grades_defense_penalty,no_blitz_grades_hands_drop,no_blitz_grades_hands_fumble,no_blitz_grades_offense,no_blitz_grades_offense_penalty,no_blitz_grades_pass,no_blitz_grades_pass_route,no_blitz_grades_run,no_blitz_hit_as_threw,no_blitz_interceptions,no_blitz_passing_snaps,no_blitz_pressure_to_sack_rate,no_blitz_qb_rating,no_blitz_sack_percent,no_blitz_sacks,no_blitz_scrambles,no_blitz_spikes,no_blitz_thrown_aways,no_blitz_touchdowns,no_blitz_turnover_worthy_plays,no_blitz_twp_rate,no_blitz_yards,no_blitz_ypa,no_pressure_accuracy_percent,no_pressure_aimed_passes,no_pressure_attempts,no_pressure_avg_depth_of_target,no_pressure_avg_time_to_throw,no_pressure_bats,no_pressure_big_time_throws,no_pressure_btt_rate,no_pressure_completion_percent,no_pressure_completions,no_pressure_def_gen_pressures,no_pressure_drop_rate,no_pressure_dropbacks,no_pressure_dropbacks_percent,no_pressure_drops,no_pressure_first_downs,no_pressure_grades_coverage_defense,no_pressure_grades_defense,no_pressure_grades_defense_penalty,no_pressure_grades_hands_drop,no_pressure_grades_hands_fumble,no_pressure_grades_offense,no_pressure_grades_offense_penalty,no_pressure_grades_pass,no_pressure_grades_pass_route,no_pressure_grades_run,no_pressure_hit_as_threw,no_pressure_interceptions,no_pressure_passing_snaps,no_pressure_pressure_to_sack_rate,no_pressure_qb_rating,no_pressure_sack_percent,no_pressure_sacks,no_pressure_scrambles,no_pressure_spikes,no_pressure_thrown_aways,no_pressure_touchdowns,no_pressure_turnover_worthy_plays,no_pressure_twp_rate,no_pressure_yards,no_pressure_ypa,penalties,pressure_accuracy_percent,pressure_aimed_passes,pressure_attempts,pressure_avg_depth_of_target,pressure_avg_time_to_throw,pressure_bats,pressure_big_time_throws,pressure_btt_rate,pressure_completion_percent,pressure_completions,pressure_def_gen_pressures,pressure_drop_rate,pressure_dropbacks,pressure_dropbacks_percent,pressure_drops,pressure_first_downs,pressure_grades_coverage_defense,pressure_grades_defense,pressure_grades_defense_penalty,pressure_grades_hands_drop,pressure_grades_hands_fumble,pressure_grades_offense,pressure_grades_offense_penalty,pressure_grades_pass,pressure_grades_pass_route,pressure_grades_run,pressure_hit_as_threw,pressure_interceptions,pressure_passing_snaps,pressure_pressure_to_sack_rate,pressure_qb_rating,pressure_sack_percent,pressure_sacks,pressure_scrambles,pressure_spikes,pressure_thrown_aways,pressure_touchdowns,pressure_turnover_worthy_plays,pressure_twp_rate,pressure_yards,pressure_ypa
Peyton Manning,327,QB,IND,11,500,71.1,121,124,10.3,0.0,1,4,3.2,59.7,74,38,14.0,130,26.0,12,51,,,,,86.8,79.0,81.6,77.2,,,1,3,131,15.8,82.7,4.6,6,0,0,1,6,4,3.1,740,6.0,0,14,90.0,87.2,86.6,42.6,75.6,352,362,8.6,0.0,3,18,4.8,67.1,243,95,8.6,370,74.0,23,133,,,,,84.5,88.5,85.7,85.8,,63.9,3,8,382,7.4,93.5,1.9,7,1,0,4,16,9,2.4,2604,7.2,78.0,363,367,7.9,0.0,2,15,4.0,69.5,255,0,9.9,367,73.4,28,142,,,,,91.1,90.6,85.7,88.9,,,0,4,377,,102.8,0.0,0,0,0,2,20,7,1.9,2569,7.0,2,62.7,110,119,12.5,0.0,2,7,5.7,52.1,62,133,10.1,133,26.6,7,42,,,,,62.9,72.5,81.7,70.7,,63.9,4,7,136,9.8,53.7,9.8,13,1,0,3,2,6,4.4,775,6.5
Drew Brees,802,QB,NO,11,472,83.8,111,120,7.8,0.0,2,7,5.6,71.7,86,47,7.5,129,27.3,7,48,,,,,52.6,87.3,81.6,84.9,,,1,2,134,19.1,100.8,7.0,9,0,0,6,5,3,2.2,924,7.7,0,20,70.4,82.4,83.2,35.3,75.5,322,336,7.9,0.0,6,21,6.0,67.6,227,85,6.6,343,72.7,16,121,,,,,75.1,79.6,85.5,77.9,,58.3,0,13,357,7.1,89.8,1.7,6,1,3,5,18,13,3.6,2397,7.1,80.9,325,339,7.3,0.0,8,19,5.4,72.6,246,0,6.5,340,72.0,17,128,,,,,78.1,90.7,85.4,89.3,,58.3,0,8,350,,101.5,0.0,0,1,3,3,18,6,1.7,2531,7.5,3,67.6,108,117,9.7,0.0,0,9,7.1,57.3,67,132,8.2,132,28.0,6,41,,,,,47.3,61.7,81.8,61.3,,,1,7,141,11.4,67.3,11.4,15,0,0,8,5,10,7.1,790,6.8
Kyle Orton,2323,QB,DEN,11,470,58.2,134,147,11.8,0.0,5,8,5.1,49.7,73,54,6.4,159,33.8,5,58,,,,,68.4,64.0,0.0,67.7,,28.7,1,2,169,16.7,83.2,5.7,9,3,0,7,7,7,4.1,1043,7.1,0,10,73.9,75.0,78.0,32.9,75.9,270,282,8.9,0.0,3,18,6.1,68.1,192,98,6.3,311,66.2,13,106,,,,,72.8,81.3,85.1,80.5,,52.0,3,4,325,20.4,102.7,6.4,20,9,2,4,13,6,1.8,2332,8.3,71.7,304,315,9.4,0.0,7,16,4.9,64.8,204,0,6.4,318,67.7,14,124,,,,,90.8,85.0,53.5,82.5,,74.3,0,2,329,,103.8,0.0,0,3,2,2,16,6,1.8,2532,8.0,6,65.0,100,114,11.0,0.0,1,10,7.9,53.5,61,152,6.2,152,32.3,4,40,,,,,32.6,55.6,26.2,62.4,,28.0,4,4,165,19.1,74.6,19.1,29,9,0,9,4,7,4.2,843,7.4
Carson Palmer,1317,QB,CIN,11,460,68.8,112,124,9.9,0.0,3,5,3.6,55.6,69,55,10.4,135,29.3,8,44,,,,,87.8,72.7,82.1,71.3,,62.9,3,3,150,16.4,91.4,6.7,9,2,0,6,9,5,3.3,859,6.9,0,7,82.9,70.2,71.1,42.6,70.0,290,308,8.8,0.0,6,14,4.3,61.0,188,85,7.4,325,70.7,15,105,,,,,82.4,69.4,54.5,68.6,,64.1,1,11,339,12.9,74.6,3.4,11,6,1,10,10,15,4.4,1901,6.2,73.0,300,316,8.8,0.0,7,12,3.6,63.6,201,0,8.2,320,69.6,18,115,,,,,82.4,74.3,85.3,73.5,,49.8,0,10,338,,87.0,0.0,0,4,1,8,16,14,4.1,2142,6.8,2,59.8,102,116,10.1,0.0,2,7,5.6,48.3,56,140,8.2,140,30.4,5,34,,,,,87.8,63.5,21.6,61.8,,77.8,4,4,151,14.3,58.8,14.3,20,4,0,8,3,6,4.0,618,5.3
Sam Bradford,5526,QB,SL,11,446,72.0,125,143,6.4,0.0,5,11,7.1,58.7,84,64,6.7,159,35.7,6,56,,,,,68.7,75.3,82.6,74.1,,60.8,9,1,171,18.8,91.9,7.5,12,4,0,4,7,4,2.3,942,6.6,0,26,82.1,70.4,70.8,44.2,74.3,249,270,6.8,0.0,4,6,2.1,61.5,166,76,10.3,287,64.3,19,80,,,,,90.7,67.5,84.8,66.2,,66.5,5,8,303,13.2,77.0,3.5,10,7,2,10,10,8,2.6,1533,5.7,77.3,291,302,6.2,0.0,6,8,2.5,67.2,203,0,9.8,306,68.6,22,109,,,,,90.8,80.1,85.0,78.0,,66.6,0,4,321,,94.9,0.0,0,4,2,3,14,6,1.9,1948,6.5,0,60.2,83,111,8.2,0.0,3,9,7.3,42.3,47,140,6.0,140,31.4,3,27,,,,,66.0,52.9,82.1,52.4,,62.3,14,5,153,15.7,47.4,15.7,22,7,0,11,3,6,3.9,527,4.7
Matt Ryan,4317,QB,ATL,11,438,70.1,144,152,8.8,0.0,3,10,6.3,62.5,95,52,5.9,159,36.3,6,57,,,,,68.3,89.8,82.5,87.6,,59.2,3,3,168,9.6,94.1,3.1,5,2,0,2,8,3,1.8,1116,7.3,0,2,79.3,90.2,90.7,40.4,76.6,235,253,8.1,0.0,1,10,3.7,66.0,167,71,7.2,279,63.7,13,88,,,,,80.0,86.7,84.8,87.0,,47.1,3,2,299,16.9,94.6,4.3,12,14,1,13,11,3,1.0,1599,6.3,76.4,292,301,7.9,0.0,4,11,3.4,68.1,205,0,8.1,315,71.9,18,115,,,,,82.1,92.0,85.2,91.6,,50.5,0,5,333,,94.2,0.3,1,13,1,4,12,4,1.2,2092,7.0,2,66.7,87,104,10.0,0.0,0,9,8.0,54.8,57,123,1.7,123,28.1,1,30,,,,,62.8,72.8,81.6,73.0,,52.0,6,0,134,13.0,95.2,13.0,16,3,0,11,7,2,1.5,623,6.0
Donovan McNabb,438,QB,WAS,11,438,68.3,123,140,9.1,0.0,6,5,3.4,55.7,78,79,7.1,156,35.6,6,49,,,,,74.2,63.8,82.5,60.8,,81.3,4,5,167,13.9,77.2,7.1,11,5,0,7,6,5,3.0,985,7.0,0,32,55.3,67.1,68.6,47.5,69.4,242,253,9.7,0.0,6,13,4.9,58.9,149,111,11.3,282,64.4,19,84,,,,,51.4,72.7,84.7,71.4,,63.2,3,8,296,18.0,75.3,7.1,20,9,2,0,5,8,2.7,1868,7.4,77.2,232,239,9.2,0.0,5,11,4.4,67.8,162,0,9.5,248,56.6,17,95,,,,,81.9,88.0,84.2,85.3,,69.3,0,6,261,,95.7,0.0,0,9,2,0,9,3,1.1,2012,8.4,4,54.9,133,154,10.0,0.0,7,7,4.3,42.2,65,190,11.0,190,43.4,8,38,,,,,34.6,44.7,83.2,43.8,,72.5,7,7,202,16.3,45.4,16.3,31,5,0,7,2,10,5.0,841,5.5
Aaron Rodgers,2241,QB,GB,11,420,75.2,137,145,9.9,0.0,1,13,8.5,63.4,92,42,10.7,159,37.9,11,64,,,,,88.7,88.1,82.5,83.8,,82.3,1,4,167,19.0,94.8,5.0,8,6,0,6,8,5,3.0,1147,7.9,0,12,88.0,85.4,87.6,50.7,76.1,209,224,9.3,0.0,4,19,8.1,66.1,148,76,6.9,261,62.1,11,96,,,,,90.5,83.7,47.3,83.3,,62.2,1,5,272,17.1,99.4,5.0,13,24,2,8,12,11,4.0,1811,8.1,78.8,274,282,8.7,0.0,5,21,7.2,70.2,198,0,8.3,302,71.9,18,127,,,,,90.7,90.6,84.9,89.8,,64.2,0,4,311,,111.1,0.0,0,20,2,1,18,9,2.9,2379,8.4,3,63.9,72,87,12.7,0.0,0,11,11.5,48.3,42,118,8.7,118,28.1,4,33,,,,,86.7,73.8,12.3,71.2,,74.0,2,5,128,17.8,53.8,17.8,21,10,0,13,2,7,5.5,579,6.7
Philip Rivers,1725,QB,SD,11,409,68.3,101,110,10.2,0.0,1,8,6.8,60.0,66,51,4.3,122,29.8,3,54,,,,,86.7,84.2,81.5,82.0,,62.5,2,3,129,19.6,99.1,8.2,10,2,0,6,6,1,0.8,1062,9.7,0,27,63.6,91.0,92.5,32.7,79.2,250,266,7.9,0.0,3,15,5.4,68.8,183,88,7.6,287,70.2,15,113,,,,,80.0,93.9,50.5,92.6,57.6,77.6,2,6,298,17.0,107.3,5.2,15,6,1,10,17,5,1.7,2300,8.6,79.9,259,266,7.9,0.0,4,14,5.1,72.9,194,0,6.3,270,66.0,13,132,,,,,90.6,96.9,84.5,95.4,57.6,76.3,0,4,280,,122.4,0.0,0,4,1,2,20,1,0.4,2604,9.8,9,65.2,92,110,10.4,0.0,0,9,7.7,50.0,55,139,8.3,139,34.0,5,35,,,,,65.2,66.6,20.2,65.8,,67.6,4,5,147,18.0,62.6,18.0,25,4,0,14,3,5,3.4,758,6.9
Eli Manning,1722,QB,NYG,11,396,71.6,109,117,9.9,0.0,3,15,11.6,59.8,70,47,10.3,126,31.8,8,47,,,,,47.1,77.5,81.8,79.9,,28.3,1,4,138,12.8,95.1,4.8,6,3,0,4,9,3,2.2,893,7.6,0,21,70.0,81.7,84.1,35.4,76.8,250,259,9.5,0.0,1,14,5.1,67.6,175,77,8.9,270,68.2,17,91,,,,,78.9,83.5,84.6,81.1,,68.0,3,12,284,7.8,88.1,2.2,6,5,0,5,14,9,3.2,1928,7.4,82.1,262,268,8.3,0.0,4,15,5.2,72.4,194,0,9.8,272,68.7,21,105,,,,,79.7,85.3,84.7,84.0,,47.4,0,11,292,,99.6,0.0,0,4,0,2,16,6,2.1,2211,8.3,4,56.7,97,108,13.1,0.0,0,14,12.3,47.2,51,124,7.3,124,31.3,4,33,,,,,43.9,74.1,81.5,74.6,,46.6,4,5,130,9.7,67.3,9.7,12,4,0,7,7,6,4.6,610,5.6
