player,player_id,position,team_name,player_game_count,base_dropbacks,blitz_accuracy_percent,blitz_aimed_passes,blitz_attempts,blitz_avg_depth_of_target,blitz_avg_time_to_throw,blitz_bats,blitz_big_time_throws,blitz_btt_rate,blitz_completion_percent,blitz_completions,blitz_def_gen_pressures,blitz_drop_rate,blitz_dropbacks,blitz_dropbacks_percent,blitz_drops,blitz_first_downs,blitz_grades_coverage_defense,blitz_grades_defense,blitz_grades_defense_penalty,blitz_grades_hands_drop,blitz_grades_hands_fumble,blitz_grades_offense,blitz_grades_offense_penalty,blitz_grades_pass,blitz_grades_pass_route,blitz_grades_run,blitz_hit_as_threw,blitz_interceptions,blitz_passing_snaps,blitz_pressure_to_sack_rate,blitz_qb_rating,blitz_sack_percent,blitz_sacks,blitz_scrambles,blitz_spikes,blitz_thrown_aways,blitz_touchdowns,blitz_turnover_worthy_plays,blitz_twp_rate,blitz_yards,blitz_ypa,declined_penalties,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,no_blitz_accuracy_percent,no_blitz_aimed_passes,no_blitz_attempts,no_blitz_avg_depth_of_target,no_blitz_avg_time_to_throw,no_blitz_bats,no_blitz_big_time_throws,no_blitz_btt_rate,no_blitz_completion_percent,no_blitz_completions,no_blitz_def_gen_pressures,no_blitz_drop_rate,no_blitz_dropbacks,no_blitz_dropbacks_percent,no_blitz_drops,no_blitz_first_downs,no_blitz_grades_coverage_defense,no_blitz_grades_defense,no_blitz_grades_defense_penalty,no_blitz_grades_hands_drop,no_blitz_grades_hands_fumble,no_blitz_grades_offense,no_blitz_grades_offense_penalty,no_blitz_grades_pass,no_blitz_grades_pass_route,no_blitz_grades_run,no_blitz_hit_as_threw,no_blitz_interceptions,no_blitz_passing_snaps,no_blitz_pressure_to_sack_rate,no_blitz_qb_rating,no_blitz_sack_percent,no_blitz_sacks,no_blitz_scrambles,no_blitz_spikes,no_blitz_thrown_aways,no_blitz_touchdowns,no_blitz_turnover_worthy_plays,no_blitz_twp_rate,no_blitz_yards,no_blitz_ypa,no_pressure_accuracy_percent,no_pressure_aimed_passes,no_pressure_attempts,no_pressure_avg_depth_of_target,no_pressure_avg_time_to_throw,no_pressure_bats,no_pressure_big_time_throws,no_pressure_btt_rate,no_pressure_completion_percent,no_pressure_completions,no_pressure_def_gen_pressures,no_pressure_drop_rate,no_pressure_dropbacks,no_pressure_dropbacks_percent,no_pressure_drops,no_pressure_first_downs,no_pressure_grades_coverage_defense,no_pressure_grades_defense,no_pressure_grades_defense_penalty,no_pressure_grades_hands_drop,no_pressure_grades_hands_fumble,no_pressure_grades_offense,no_pressure_grades_offense_penalty,no_pressure_grades_pass,no_pressure_grades_pass_route,no_pressure_grades_run,no_pressure_hit_as_threw,no_pressure_interceptions,no_pressure_passing_snaps,no_pressure_pressure_to_sack_rate,no_pressure_qb_rating,no_pressure_sack_percent,no_pressure_sacks,no_pressure_scrambles,no_pressure_spikes,no_pressure_thrown_aways,no_pressure_touchdowns,no_pressure_turnover_worthy_plays,no_pressure_twp_rate,no_pressure_yards,no_pressure_ypa,penalties,pressure_accuracy_percent,pressure_aimed_passes,pressure_attempts,pressure_avg_depth_of_target,pressure_avg_time_to_throw,pressure_bats,pressure_big_time_throws,pressure_btt_rate,pressure_completion_percent,pressure_completions,pressure_def_gen_pressures,pressure_drop_rate,pressure_dropbacks,pressure_dropbacks_percent,pressure_drops,pressure_first_downs,pressure_grades_coverage_defense,pressure_grades_defense,pressure_grades_defense_penalty,pressure_grades_hands_drop,pressure_grades_hands_fumble,pressure_grades_offense,pressure_grades_offense_penalty,pressure_grades_pass,pressure_grades_pass_route,pressure_grades_run,pressure_hit_as_threw,pressure_interceptions,pressure_passing_snaps,pressure_pressure_to_sack_rate,pressure_qb_rating,pressure_sack_percent,pressure_sacks,pressure_scrambles,pressure_spikes,pressure_thrown_aways,pressure_touchdowns,pressure_turnover_worthy_plays,pressure_twp_rate,pressure_yards,pressure_ypa
Peyton Manning,327,QB,IND,10,451,71.9,114,117,10.3,0.0,1,4,3.4,59.8,70,34,14.6,123,27.3,12,48,,,,,86.4,78.6,81.3,76.9,,,1,2,124,17.6,86.8,4.9,6,0,0,1,6,4,3.2,699,6.0,0,14,88.5,87.2,86.8,42.6,75.9,311,321,8.6,0.0,3,17,5.1,67.3,216,83,8.5,328,72.7,20,120,,,,,82.3,89.0,85.3,86.2,,63.9,3,5,339,7.2,96.8,1.8,6,1,0,4,14,8,2.4,2360,7.4,77.3,330,334,8.1,0.0,2,14,4.1,68.9,230,0,9.8,334,74.1,25,130,,,,,90.9,89.6,85.3,86.9,,,0,3,343,,103.0,0.0,0,0,0,2,18,7,2.0,2346,7.0,2,66.3,95,104,12.5,0.0,2,7,6.5,53.8,56,117,11.1,117,25.9,7,38,,,,,59.7,77.2,81.2,75.1,,63.9,4,4,120,10.3,65.9,10.3,12,1,0,3,2,5,4.2,713,6.9
Drew Brees,802,QB,NO,10,431,85.0,100,108,7.5,0.0,1,5,4.5,72.2,78,43,8.2,116,26.9,7,43,,,,,48.9,83.9,81.2,81.8,,,1,2,120,18.6,99.4,6.9,8,0,0,6,4,3,2.5,842,7.8,0,20,67.2,75.8,76.6,37.4,75.7,296,309,7.4,0.0,6,16,5.0,68.6,212,76,5.4,315,73.1,12,110,,,,,72.9,72.0,85.1,70.9,,58.3,0,12,327,6.6,91.2,1.6,5,1,3,4,18,13,4.0,2127,6.9,81.9,299,311,6.8,0.0,7,14,4.4,73.6,229,0,6.5,312,72.4,16,116,,,,,76.2,86.8,85.0,84.6,,58.3,0,8,321,,101.7,0.0,0,1,3,2,17,6,1.9,2293,7.4,3,66.0,97,106,9.3,0.0,0,7,6.2,57.5,61,119,4.7,119,27.6,3,37,,,,,43.0,52.7,81.4,53.0,,,1,6,126,10.9,68.8,10.9,13,0,0,8,5,10,7.9,676,6.4
Kyle Orton,2323,QB,DEN,10,426,57.6,118,129,11.8,0.0,4,6,4.4,48.8,63,50,7.4,140,32.9,5,52,,,,,65.2,61.3,20.2,65.0,,28.7,1,2,147,16.0,78.2,5.7,8,3,0,6,5,6,4.1,897,7.0,0,10,71.1,73.1,76.3,32.9,75.6,250,259,8.6,0.0,2,18,6.6,68.7,178,90,5.8,286,67.1,11,96,,,,,70.8,80.2,84.8,79.6,,52.0,2,4,300,20.0,102.6,6.3,18,9,2,3,12,6,2.0,2131,8.2,71.5,274,283,9.1,0.0,5,14,4.8,65.0,184,0,6.1,286,67.1,12,111,,,,,90.7,83.5,84.7,80.7,,74.3,0,2,296,,101.6,0.0,0,3,2,2,13,5,1.7,2242,7.9,6,64.9,94,105,11.2,0.0,1,10,8.7,54.3,57,140,6.6,140,32.9,4,37,,,,,29.7,54.3,21.6,61.5,,28.0,3,4,151,18.6,75.3,18.6,26,9,0,7,4,7,4.6,786,7.5
Carson Palmer,1317,QB,CIN,10,418,70.4,98,109,9.7,0.0,2,5,4.1,57.8,63,46,8.7,117,28.0,6,40,,,,,86.8,75.6,81.6,73.3,,65.6,3,2,131,15.2,101.2,6.0,7,1,0,6,9,4,3.1,813,7.5,0,7,80.8,72.2,72.8,45.6,71.0,269,285,9.0,0.0,6,14,4.7,62.1,177,80,7.3,301,72.0,14,99,,,,,80.9,70.7,52.0,69.8,,64.1,1,10,313,12.5,76.2,3.3,10,6,1,8,9,14,4.5,1812,6.4,74.2,275,289,8.9,0.0,6,12,3.9,65.1,188,0,7.8,292,69.9,16,108,,,,,80.7,76.5,84.9,75.3,,54.6,0,8,308,,91.5,0.0,0,3,1,7,15,12,3.9,2041,7.1,2,60.9,92,105,10.1,0.0,2,7,6.1,49.5,52,126,7.1,126,30.1,4,31,,,,,87.0,64.4,15.9,62.6,,77.8,4,4,136,13.5,60.2,13.5,17,4,0,7,3,6,4.4,584,5.6
Matt Ryan,4317,QB,ATL,10,408,68.4,133,140,9.1,0.0,3,10,6.8,60.7,85,46,6.6,147,36.0,6,54,,,,,66.6,88.9,82.2,86.8,,59.2,3,3,156,10.9,94.5,3.4,5,2,0,1,8,3,1.9,1065,7.6,0,2,77.8,87.6,89.2,40.4,75.8,219,237,8.1,0.0,1,8,3.1,64.6,153,66,7.8,261,64.0,13,79,,,,,78.8,83.1,84.5,83.7,,47.1,3,2,280,15.2,92.0,3.8,10,14,1,13,10,3,1.1,1453,6.1,75.5,273,282,7.9,0.0,4,9,3.0,66.7,188,0,8.7,296,72.5,18,107,,,,,81.0,91.0,84.9,90.7,,50.5,0,5,313,,92.0,0.3,1,13,1,4,11,4,1.3,1946,6.9,2,64.6,79,95,10.3,0.0,0,9,8.7,52.6,50,112,2.0,112,27.5,1,26,,,,,60.6,70.4,81.3,70.8,,52.0,6,0,123,12.5,95.6,12.5,14,3,0,10,7,2,1.6,572,6.0
Sam Bradford,5526,QB,SL,10,407,71.2,111,125,6.2,0.0,2,10,7.4,60.0,75,60,5.1,140,34.4,4,49,,,,,65.8,73.7,82.1,72.6,,60.8,9,1,151,18.3,88.4,7.9,11,4,0,3,5,4,2.6,788,6.3,0,26,80.1,68.1,68.5,45.4,74.1,232,251,6.7,0.0,4,5,1.9,61.0,153,73,11.0,267,65.6,19,71,,,,,90.6,65.3,84.5,64.0,,66.5,5,8,283,12.3,74.4,3.4,9,7,2,8,9,7,2.5,1379,5.5,77.5,262,270,6.0,0.0,3,6,2.1,67.4,182,0,10.3,274,67.3,21,94,,,,,90.6,77.5,84.6,75.6,,66.6,0,4,288,,91.1,0.0,0,4,2,3,11,5,1.7,1648,6.1,0,59.3,81,106,8.3,0.0,3,9,7.6,43.4,46,133,4.2,133,32.7,2,26,,,,,64.9,52.8,82.0,52.3,,62.3,14,5,146,15.0,48.4,15.0,20,7,0,8,3,6,4.1,519,4.9
Donovan McNabb,438,QB,WAS,10,397,67.2,116,131,9.2,0.0,4,5,3.6,55.0,72,75,7.7,146,36.8,6,47,,,,,73.1,62.5,82.2,59.5,,81.3,4,5,157,13.3,76.2,6.8,10,5,0,7,6,5,3.2,910,6.9,0,32,58.7,66.1,67.8,46.5,69.0,216,227,10.2,0.0,6,12,5.0,59.0,134,101,10.1,251,63.2,15,76,,,,,57.2,72.5,84.3,71.2,,62.9,3,7,265,16.8,76.1,6.8,17,7,2,0,4,8,3.0,1732,7.6,77.3,207,213,9.7,0.0,4,11,4.9,68.1,145,0,9.4,221,55.7,15,87,,,,,80.1,88.0,83.8,85.4,,67.4,0,5,234,,98.2,0.0,0,8,2,0,8,3,1.3,1874,8.8,4,53.6,125,145,10.0,0.0,6,6,3.9,42.1,61,176,9.0,176,44.3,6,36,,,,,44.3,43.9,82.9,42.7,,75.7,7,7,188,15.3,43.7,15.3,27,4,0,7,2,10,5.3,768,5.3
Philip Rivers,1725,QB,SD,10,383,68.3,101,110,10.2,0.0,1,8,6.8,60.0,66,50,4.3,121,31.6,3,54,,,,,86.7,84.4,81.5,82.3,,62.5,2,3,128,18.0,99.1,7.4,9,2,0,6,6,1,0.8,1062,9.7,0,27,61.2,90.8,92.5,29.6,78.9,227,243,8.2,0.0,3,14,5.6,67.5,164,82,8.4,262,68.4,15,103,,,,,78.3,93.8,47.4,92.7,57.6,72.3,2,6,272,17.1,107.6,5.3,14,5,1,10,17,5,1.8,2115,8.7,79.3,241,248,8.2,0.0,4,14,5.4,71.8,178,0,6.8,251,65.5,13,123,,,,,90.4,97.1,84.2,95.7,57.6,69.2,0,4,261,,123.2,0.0,0,3,1,2,20,1,0.4,2449,9.9,8,65.5,87,105,10.5,0.0,0,8,7.2,49.5,52,132,8.8,132,34.5,5,34,,,,,63.8,64.7,17.1,64.0,,67.6,4,5,139,17.4,61.9,17.4,23,4,0,14,3,5,3.6,728,6.9
Aaron Rodgers,2241,QB,GB,10,377,74.0,127,134,10.4,0.0,1,11,7.7,62.7,84,38,10.6,148,39.3,10,59,,,,,88.1,86.3,82.2,81.9,,82.3,0,4,156,21.1,94.3,5.4,8,6,0,6,8,5,3.2,1046,7.8,0,12,91.3,86.3,86.1,61.4,76.2,185,200,9.4,0.0,4,15,7.1,65.0,130,67,7.8,229,60.7,11,83,,,,,90.3,84.6,42.7,82.4,,71.0,1,5,240,17.9,96.8,5.2,12,17,2,8,11,10,4.2,1568,7.8,78.6,248,256,8.9,0.0,5,18,6.8,69.1,177,0,9.2,272,72.1,18,113,,,,,90.6,91.1,84.5,89.5,,74.2,0,4,281,,109.8,0.0,0,16,2,1,17,9,3.2,2118,8.3,3,62.5,64,78,13.0,0.0,0,8,9.2,47.4,37,105,7.5,105,27.9,3,29,,,,,85.9,70.4,5.6,67.8,,75.8,1,5,115,19.0,49.9,19.0,20,7,0,13,2,6,5.2,496,6.4
Eli Manning,1722,QB,NYG,10,371,71.7,99,107,10.0,0.0,3,14,11.8,60.7,65,44,8.5,115,31.0,6,43,,,,,43.9,78.4,81.4,80.2,,29.3,1,4,127,13.6,93.6,5.2,6,2,0,4,8,3,2.4,810,7.6,0,21,67.9,79.5,81.4,38.8,76.8,237,245,9.3,0.0,1,11,4.3,67.8,166,73,8.8,256,69.0,16,84,,,,,77.8,79.5,84.3,77.3,,68.0,2,12,268,8.2,86.2,2.3,6,5,0,5,13,9,3.4,1785,7.3,82.0,244,250,8.3,0.0,4,13,4.8,72.8,182,0,9.0,254,68.5,18,96,,,,,78.4,82.9,84.4,81.9,,47.4,0,11,273,,96.8,0.0,0,4,0,2,14,6,2.2,2020,8.1,4,57.6,92,102,12.9,0.0,0,12,11.2,48.0,49,117,7.5,117,31.5,4,31,,,,,41.4,72.2,81.3,72.1,,51.9,3,5,122,10.3,68.1,10.3,12,3,0,7,7,6,4.9,575,5.6
