player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Julius Peppers,1010,ED,GB,12,1,2,50.0,0,1,12,57.9,73.4,55.8,75.4,62.8,52.0,4,19,0,5,25.0,3,1,2,56.3,1,7,9,0,13,402,391,2,52,272,65,0,11,270,119,2,13,8,2,30,0,5,9,5.0
Dwight Freeney,1019,ED,ATL,11,1,0,,0,0,2,60.0,65.7,89.0,66.5,46.6,55.4,5,27,0,,25.0,1,0,1,0.0,0,4,0,0,1,296,296,0,4,282,10,0,0,250,45,0,4,2,0,36,0,0,0,
James Harrison,1251,ED,PIT,12,5,0,87.5,0,2,25,71.6,87.8,85.5,84.3,75.0,74.6,5,20,1,18,7.7,2,0,0,55.7,7,5,61,0,90,402,329,0,0,329,0,0,73,184,128,12,16,19,8,30,0,55,15,7.9
Terence Newman,1321,CB,MIN,11,2,0,52.2,0,0,18,82.3,80.4,85.6,53.9,63.1,62.2,0,0,1,24,10.0,3,6,3,61.4,24,0,35,443,344,561,9,0,0,9,0,0,552,4,213,74,7,25,46,0,1,195,23,8.1
Terrell Suggs,1326,ED,BLT,11,4,2,100.0,1,3,3,49.4,77.5,28.9,74.4,80.6,76.4,9,23,0,1,4.8,1,0,4,79.2,1,8,8,0,9,497,489,0,0,485,4,0,8,338,150,0,20,16,1,40,0,1,1,1.0
Robert Mathis,1447,ED,IND,11,2,0,100.0,0,1,14,49.5,49.8,88.5,55.5,43.3,44.3,1,16,0,14,16.7,3,0,0,105.6,3,3,3,0,27,439,430,0,1,429,0,0,9,282,130,6,11,13,3,20,0,28,7,9.3
Cullen Jenkins,1637,DI,WAS,11,1,0,,0,0,32,57.2,57.8,56.3,63.2,55.4,57.7,1,6,0,,7.1,1,0,1,0.0,0,0,0,0,2,213,212,48,120,18,26,0,1,128,83,0,9,12,0,7,0,0,0,
DeAngelo Hall,1729,S,WAS,3,0,0,85.7,0,0,32,53.2,55.4,79.3,54.9,64.9,57.1,0,0,0,29,14.3,2,1,0,113.7,6,0,40,0,90,166,3,0,0,3,0,109,163,3,73,14,3,12,7,0,0,79,48,13.2
Vince Wilfork,1742,DI,HST,11,5,0,,0,0,13,59.5,53.6,53.6,57.6,54.4,76.1,1,9,0,,5.0,1,0,2,0.0,0,0,0,0,1,399,399,187,204,0,8,0,0,193,205,0,13,14,0,10,0,0,0,
Karlos Dansby,1754,LB,CIN,12,9,1,81.8,1,0,7,51.2,59.2,56.0,57.8,71.5,61.0,2,2,0,44,11.7,9,1,2,118.2,36,0,429,4,304,563,75,0,0,75,0,1,488,44,215,54,32,59,44,4,2,384,220,10.7
