player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Julius Peppers,1010,ED,GB,8,0,1,50.0,0,1,12,57.3,73.2,63.0,78.8,54.8,31.9,3,14,0,5,40.0,2,1,1,56.3,1,4,2,0,7,256,254,1,36,176,41,0,2,175,74,0,5,3,2,21,0,5,9,5.0
Dwight Freeney,1019,ED,ATL,8,1,0,,0,0,2,60.0,68.1,87.7,66.9,53.0,52.7,4,20,0,,33.3,1,0,0,0.0,0,4,0,0,1,217,217,0,4,204,9,0,0,185,31,0,3,1,0,28,0,0,0,
James Harrison,1251,ED,PIT,8,4,0,75.0,0,2,25,76.6,85.6,84.0,81.0,69.8,82.6,3,9,1,9,5.3,1,0,0,49.0,3,2,34,0,55,265,225,0,0,225,0,0,40,124,86,6,9,14,4,14,0,23,11,7.7
Terence Newman,1321,CB,MIN,8,1,0,47.5,0,0,18,81.9,82.4,85.1,55.8,76.2,65.7,0,0,1,24,12.0,3,5,3,55.2,19,0,26,404,292,466,8,0,0,8,0,0,458,2,172,28,6,21,40,0,1,150,17,7.9
Terrell Suggs,1326,ED,BLT,7,3,1,100.0,1,0,3,66.8,65.4,6.6,59.7,83.0,81.2,4,10,0,1,0.0,0,0,4,79.2,1,5,4,0,3,301,297,0,0,294,3,0,4,207,91,0,13,12,1,19,0,1,1,1.0
Robert Mathis,1447,ED,IND,9,1,0,100.0,0,1,14,46.3,51.6,87.8,56.8,46.7,49.3,1,15,0,14,12.5,2,0,0,105.6,3,2,3,0,22,368,361,0,1,360,0,0,7,246,100,4,10,13,3,18,0,28,7,9.3
Cullen Jenkins,1637,DI,WAS,7,1,0,,0,0,32,57.2,55.0,82.8,57.6,54.2,51.9,0,3,0,,10.0,1,0,0,0.0,0,0,0,0,2,141,140,32,74,12,22,0,1,77,62,0,5,8,0,3,0,0,0,
DeAngelo Hall,1729,S,WAS,3,0,0,85.7,0,0,32,53.2,55.4,79.3,54.9,64.9,57.1,0,0,0,29,14.3,2,1,0,113.7,6,0,40,0,90,166,3,0,0,3,0,109,163,3,73,14,3,12,7,0,0,79,48,13.2
Vince Wilfork,1742,DI,HST,8,5,0,,0,0,13,60.0,58.1,64.7,61.6,56.0,75.8,1,7,0,,5.3,1,0,1,0.0,0,0,0,0,0,307,307,133,166,0,8,0,0,148,159,0,12,13,0,8,0,0,0,
Karlos Dansby,1754,LB,CIN,8,5,0,86.2,0,0,7,51.8,58.2,43.6,53.6,71.2,53.0,0,1,0,44,12.5,7,1,1,134.9,25,0,281,4,202,376,57,0,0,57,0,1,319,31,143,33,26,44,29,1,2,315,192,12.6
