player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Julius Peppers,1010,ED,CAR,10,2,3,50.0,1,2,5,71.0,76.1,52.5,68.0,71.8,78.4,4,13,0,18,0.0,0,1,2,81.3,1,4,1,0,10,327,326,2,12,291,21,0,1,233,84,0,8,6,2,21,0,18,11,18.0
Terrell Suggs,1326,ED,BLT,10,4,3,60.0,1,1,3,53.5,64.9,40.2,67.7,64.7,61.9,3,20,0,15,15.0,3,0,3,75.4,3,6,2,1,42,446,440,0,1,435,4,0,6,262,142,3,16,13,5,29,0,28,25,9.3
Mike Adams,1972,S,CAR,10,12,0,74.1,0,0,5,53.8,57.4,56.9,70.9,63.3,75.3,2,4,3,33,6.7,4,2,1,93.8,20,0,169,9,391,628,76,0,0,76,0,288,552,26,211,86,17,44,27,6,2,291,100,14.6
Adam Jones,2223,CB,DEN,6,1,0,66.7,0,0,10,62.8,64.2,81.3,,68.0,44.0,0,0,1,30,23.1,3,2,1,54.9,10,0,9,133,102,148,0,0,0,0,0,0,148,0,46,6,2,9,15,0,0,90,62,9.0
Thomas Davis Sr.,2231,LB,CAR,6,6,0,66.7,0,0,5,73.8,75.8,82.8,77.4,64.4,58.8,2,4,0,21,12.1,4,4,0,102.8,16,0,246,10,173,326,52,0,0,52,0,0,274,36,117,18,12,23,24,6,1,180,148,11.3
Derrick Johnson,2232,LB,OAK,6,1,0,100.0,0,0,23,68.6,65.2,79.6,46.7,60.1,42.6,0,1,0,11,21.1,4,0,0,106.9,3,0,130,3,89,152,2,0,0,2,0,3,150,12,51,14,6,14,3,1,0,29,3,9.7
Lorenzo Alexander,2476,LB,BUF,10,7,2,77.8,0,1,4,83.2,85.6,86.3,70.7,78.0,81.0,2,20,1,22,3.4,1,1,0,49.8,7,5,119,0,53,343,216,0,1,215,0,0,127,168,122,8,16,21,9,27,0,49,42,7.0
Haloti Ngata,2957,DI,PHI,7,1,0,,0,0,24,59.7,59.3,82.8,51.0,64.7,45.1,1,2,0,,10.0,1,0,0,0.0,0,1,0,0,1,213,213,2,196,1,14,0,0,123,89,0,7,8,0,4,0,0,0,
Johnathan Joseph,2969,CB,HST,9,3,0,53.1,0,0,13,81.0,79.8,86.2,,62.0,47.6,0,0,1,42,15.6,7,4,1,71.0,34,0,37,485,354,549,1,0,0,1,0,0,548,0,195,26,13,35,64,0,1,399,131,11.7
Frostee Rucker,3036,ED,OAK,9,3,1,,0,0,23,60.7,67.3,88.3,53.6,70.4,54.0,3,5,0,,16.7,4,0,0,0.0,0,0,0,0,3,313,313,1,14,272,26,0,0,126,184,0,11,17,0,8,0,0,0,
