player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Julius Peppers,1010,ED,CAR,12,2,3,50.0,1,2,5,71.0,73.4,57.8,66.1,69.4,79.0,5,15,0,18,0.0,0,1,2,81.3,1,4,2,0,10,390,388,2,15,337,34,0,2,272,108,0,9,7,2,24,0,18,11,18.0
Terrell Suggs,1326,ED,BLT,12,4,4,60.0,1,1,3,55.6,65.3,47.3,67.1,64.4,47.7,5,22,0,15,20.8,5,0,3,75.4,3,7,2,1,51,536,527,0,1,522,4,0,9,317,168,6,19,15,5,34,0,28,25,9.3
Mike Adams,1972,S,CAR,12,13,0,77.4,0,0,5,50.7,56.4,61.6,69.0,66.5,78.9,2,5,3,33,5.9,4,2,1,111.2,24,0,201,11,462,753,86,0,0,86,0,350,667,30,261,105,18,51,31,7,4,332,104,13.8
Adam Jones,2223,CB,DEN,6,1,0,66.7,0,0,10,62.8,64.2,81.3,,68.0,44.0,0,0,1,30,23.1,3,2,1,54.9,10,0,9,133,102,148,0,0,0,0,0,0,148,0,46,6,2,9,15,0,0,90,62,9.0
Thomas Davis Sr.,2231,LB,CAR,8,12,1,72.4,0,0,5,73.2,78.4,84.7,74.5,72.4,69.7,2,5,0,21,8.3,4,4,0,115.3,21,0,337,10,228,453,83,0,0,83,0,0,370,56,169,23,17,32,29,7,2,208,163,9.9
Derrick Johnson,2232,LB,OAK,6,1,0,100.0,0,0,23,68.6,65.2,79.6,46.7,60.1,42.6,0,1,0,11,21.1,4,0,0,106.9,3,0,130,3,89,152,2,0,0,2,0,3,150,12,51,14,6,14,3,1,0,29,3,9.7
Lorenzo Alexander,2476,LB,BUF,12,7,3,84.6,0,1,4,76.2,82.9,87.1,72.5,75.1,83.5,2,23,1,22,2.9,1,2,0,60.6,11,7,153,0,63,414,252,0,1,251,0,0,162,202,149,9,20,27,13,32,0,81,73,7.4
Haloti Ngata,2957,DI,PHI,9,1,0,,0,1,24,59.7,59.8,83.4,52.6,63.8,33.0,2,3,0,,16.7,2,0,0,0.0,0,1,0,0,1,252,252,3,232,1,16,0,0,143,108,0,8,9,0,6,0,0,0,
Johnathan Joseph,2969,CB,HST,11,4,0,54.3,0,0,13,79.7,79.1,86.6,,65.5,29.9,0,0,2,48,18.9,10,4,1,74.3,38,0,44,533,391,606,1,0,0,1,0,0,605,0,215,28,15,39,70,0,2,494,155,13.0
Frostee Rucker,3036,ED,OAK,11,5,1,,0,0,23,61.1,61.1,89.1,50.6,63.9,43.3,4,7,0,,18.2,6,0,0,0.0,0,0,0,0,4,403,403,1,18,342,42,0,0,164,235,0,12,22,0,11,0,0,0,
Domata Peko Sr.,3068,DI,DEN,12,8,0,,0,0,10,84.4,64.1,24.9,56.1,69.3,46.1,1,5,0,,12.5,3,0,4,0.0,0,1,0,0,0,404,403,262,140,0,1,0,1,212,192,0,10,13,0,7,0,0,0,
Kyle Williams,3079,DI,BUF,12,5,1,,0,1,4,62.7,66.9,57.3,66.3,62.7,65.5,6,13,0,,12.5,2,0,2,0.0,0,8,0,0,3,491,491,15,349,1,126,0,0,324,164,0,12,9,0,27,0,0,0,
Antoine Bethea,3152,S,ARZ,12,15,0,78.1,0,1,1,76.2,69.6,24.9,57.0,61.3,74.4,2,4,0,21,8.7,9,2,3,102.2,25,2,334,16,453,853,108,0,0,108,0,266,745,32,368,129,27,80,32,8,1,193,126,7.7
Tom Johnson,3378,DI,MIN,10,2,0,,0,0,18,73.3,67.0,60.7,63.9,59.3,75.7,2,8,0,,0.0,0,0,1,0.0,0,4,0,0,1,270,270,10,219,1,40,0,0,177,92,0,9,15,0,14,0,0,0,
Tramon Williams,3558,S,GB,12,5,0,63.8,0,0,12,59.9,60.9,87.4,51.0,62.9,65.3,0,3,0,55,13.7,7,1,1,126.6,30,0,86,356,470,798,4,0,0,4,0,181,794,14,314,169,9,39,47,3,7,358,141,11.9
Brent Grimes,3589,CB,TB,9,3,0,68.8,1,1,30,60.0,59.6,85.0,,53.8,61.9,0,0,0,43,14.3,5,2,2,111.7,22,0,44,468,318,540,0,0,0,0,0,0,540,0,222,28,3,27,32,0,1,322,105,14.6
Leon Hall,3634,CB,OAK,10,3,1,88.0,0,0,23,57.1,63.3,83.1,57.8,83.4,62.8,1,0,0,59,11.5,3,2,0,118.8,22,0,23,9,209,366,8,0,0,8,0,2,358,13,144,324,9,20,25,1,0,333,224,15.1
Reggie Nelson,3637,S,OAK,11,2,0,58.3,0,1,23,63.4,63.2,83.3,55.4,60.4,55.5,0,1,2,49,20.7,6,0,0,95.1,7,0,160,5,214,370,20,0,0,20,0,155,350,15,141,30,4,21,12,1,2,128,31,18.3
Eric Weddle,3653,S,BLT,12,3,1,57.1,1,0,3,74.4,78.7,88.6,74.6,79.8,81.6,2,1,0,22,7.1,4,2,1,67.8,12,1,162,8,476,757,39,0,0,39,0,450,718,21,260,98,14,49,21,4,0,91,28,7.6
