player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
Matt Skura,11102,C,BLT,8,0,3,68.9,2,12,371,100.0,100.0,97.8,1,15,1,396,396,62.0,2,6,169,100.0,100.0,97.6,8,0,183,183
Mike Remmers,7431,G,MIN,8,1,18,56.2,3,23,377,100.0,100.0,95.8,2,29,3,392,392,52.4,3,16,167,100.0,100.0,92.5,22,3,174,174
Marshal Yanda,3702,G,BLT,8,0,3,82.2,3,6,366,100.0,100.0,98.8,0,9,0,391,391,68.7,2,5,166,100.0,100.0,97.9,7,0,180,180
Quenton Nelson,12954,G,IND,8,0,14,76.4,2,10,362,100.0,100.0,97.8,3,14,2,387,387,71.7,1,5,167,100.0,100.0,97.0,8,2,180,180
J.C. Tretter,7904,C,CLV,8,1,8,82.3,1,6,357,100.0,100.0,98.5,1,9,2,383,383,74.9,1,4,166,100.0,100.0,97.9,6,1,175,175
Chris Hubbard,8051,T,CLV,8,1,8,75.2,1,16,357,100.0,100.0,95.9,2,23,6,383,383,69.4,1,10,166,100.0,100.0,93.7,16,5,175,175
Desmond Harrison,15466,T,CLV,8,2,8,73.6,3,27,357,100.0,100.0,95.2,6,32,2,383,383,65.2,3,20,166,100.0,100.0,91.9,25,2,175,175
Joel Bitonio,8670,G,CLV,8,0,8,86.9,0,7,357,100.0,100.0,99.0,0,7,0,383,383,79.7,0,6,166,100.0,100.0,98.2,6,0,175,175
Kevin Zeitler,7032,G,CLV,8,1,8,92.9,1,2,357,100.0,100.0,99.0,1,5,2,383,383,89.2,1,2,166,100.0,100.0,98.5,4,1,175,175
Ryan Kelly,10652,C,IND,8,1,14,79.2,2,3,357,100.0,100.0,99.0,1,6,1,382,382,74.8,1,2,165,100.0,100.0,98.5,4,1,178,178
Jermey Parnell,5426,T,JAX,8,0,15,67.9,2,20,373,100.0,100.0,96.5,2,24,2,381,381,66.0,2,16,197,100.0,100.0,94.9,19,1,201,201
Andrew Norwell,9126,G,JAX,8,0,15,79.5,1,8,373,100.0,100.0,98.3,2,11,2,381,381,77.8,0,6,197,100.0,100.0,97.5,8,2,201,201
Ronnie Stanley,10640,T,BLT,8,0,3,84.5,2,9,347,100.0,100.0,98.1,0,12,1,370,370,79.7,2,6,154,100.0,100.0,96.8,9,1,168,168
Jason Kelce,6343,C,PHI,8,0,24,87.6,1,4,345,100.0,100.0,99.3,0,5,0,368,368,84.5,0,3,141,100.0,100.0,98.9,3,0,154,154
Brandon Brooks,7078,G,PHI,8,0,24,80.9,2,7,345,100.0,100.0,98.7,2,9,0,368,368,68.5,1,7,140,100.0,100.0,97.1,8,0,153,153
Nate Solder,6169,T,NYG,8,1,21,78.0,1,13,350,100.0,100.0,96.3,3,20,6,367,367,69.6,1,9,167,100.0,100.0,94.6,14,4,174,174
Will Hernandez,46180,G,NYG,8,0,21,74.6,0,8,350,100.0,100.0,97.4,0,13,5,367,367,65.8,0,7,167,100.0,100.0,96.1,10,3,174,174
Ali Marpet,9494,G,TB,7,0,30,84.9,3,6,338,100.0,100.0,98.4,0,10,1,359,359,85.0,2,5,174,100.0,100.0,98.0,7,0,187,187
Donovan Smith,9467,T,TB,7,0,30,63.7,4,14,338,100.0,100.0,96.7,2,20,2,359,359,61.8,3,11,174,100.0,100.0,94.8,16,2,187,187
Ryan Jensen,7985,C,TB,7,0,30,69.5,6,6,338,100.0,100.0,98.2,1,12,0,359,359,59.5,5,4,174,100.0,100.0,97.4,9,0,187,187
Demar Dotson,5410,T,TB,7,2,30,75.9,1,9,338,100.0,100.0,98.2,2,11,1,359,359,75.1,1,7,174,100.0,100.0,97.1,9,1,187,187
