player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Julius Peppers,1010,ED,CAR,15,3,4,50.0,1,2,5,71.0,73.7,63.3,65.6,70.9,79.5,6,16,0,18,0.0,0,1,2,81.3,1,4,2,0,10,471,469,2,25,403,39,0,2,324,137,0,10,8,2,26,0,18,11,18.0
Terrell Suggs,1326,ED,BLT,15,8,5,62.5,1,1,3,58.2,71.6,45.3,73.6,66.8,49.4,7,35,0,31,21.9,7,0,4,91.7,5,8,4,1,66,694,681,0,1,674,6,0,13,409,219,8,20,17,8,50,0,72,59,14.4
Mike Adams,1972,S,CAR,15,14,0,79.4,0,0,5,41.7,49.1,65.8,68.3,62.7,81.9,2,5,3,75,5.3,4,2,1,121.6,27,0,233,13,557,920,96,0,0,96,0,463,824,31,332,115,18,58,34,7,5,446,155,16.5
Adam Jones,2223,CB,DEN,6,1,0,66.7,0,0,10,62.8,64.2,81.3,,68.0,44.0,0,0,1,30,23.1,3,2,1,54.9,10,0,9,133,102,148,0,0,0,0,0,0,148,0,46,6,2,9,15,0,0,90,62,9.0
Thomas Davis Sr.,2231,LB,CAR,11,14,1,75.6,0,0,5,77.6,77.2,85.7,76.2,64.8,65.1,2,5,0,28,9.6,7,5,0,108.7,34,0,470,10,318,623,106,0,0,106,0,0,517,63,242,37,27,52,45,7,2,311,201,9.1
Derrick Johnson,2232,LB,OAK,6,1,0,100.0,0,0,23,68.6,65.2,79.6,46.7,60.1,42.6,0,1,0,11,21.1,4,0,0,106.9,3,0,130,3,89,152,2,0,0,2,0,3,150,12,51,14,6,14,3,1,0,29,3,9.7
Darren Sproles,2347,HB,PHI,1,0,0,,0,0,24,,60.0,60.0,,,,0,0,0,,,0,0,0,0.0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Lorenzo Alexander,2476,LB,BUF,15,12,3,76.9,0,1,4,80.8,87.4,87.9,71.6,82.1,89.4,4,25,2,22,1.8,1,3,0,57.2,20,7,259,1,108,568,294,0,1,293,0,0,274,227,233,13,29,44,26,36,0,144,117,7.2
Haloti Ngata,2957,DI,PHI,12,4,1,,0,1,24,59.7,64.3,84.7,52.8,69.4,42.4,2,5,0,,11.8,2,0,0,0.0,0,1,0,0,1,354,354,9,316,1,28,0,0,203,150,0,10,11,0,8,0,0,0,
Johnathan Joseph,2969,CB,HST,14,6,0,56.0,0,0,13,80.7,80.4,87.3,59.1,68.8,32.9,0,0,2,48,18.3,13,6,1,76.0,47,0,67,711,530,811,2,0,0,2,0,2,809,1,280,29,21,52,84,0,2,591,178,12.6
Frostee Rucker,3036,ED,OAK,14,5,2,0.0,0,0,23,61.9,59.3,90.1,49.1,62.4,30.1,4,10,0,,20.0,8,0,0,39.6,0,0,0,0,6,525,525,1,20,451,53,0,0,221,298,0,17,27,1,14,0,0,0,
Domata Peko Sr.,3068,DI,DEN,15,9,1,,0,0,10,86.3,70.3,23.0,58.4,74.0,43.3,2,5,0,,11.1,4,0,6,0.0,0,1,0,0,0,497,496,327,168,0,1,0,1,252,245,0,19,23,0,8,0,0,0,
Kyle Williams,3079,DI,BUF,15,7,1,,0,1,4,62.7,71.0,63.5,66.3,69.0,54.4,7,18,0,,13.0,3,0,2,0.0,0,8,0,0,4,621,620,24,449,2,145,0,1,389,228,0,15,13,0,33,0,0,0,
Antoine Bethea,3152,S,ARZ,15,17,0,74.5,0,1,1,72.7,62.8,35.9,59.5,50.3,61.5,3,6,0,21,12.7,17,3,4,99.8,35,2,410,19,542,1048,151,0,0,151,0,321,897,41,465,147,29,100,47,11,2,242,147,6.9
Tom Johnson,3378,DI,MIN,13,3,0,,0,0,18,73.3,61.5,66.5,61.8,53.1,76.2,3,14,0,,0.0,0,0,1,0.0,0,5,2,0,1,353,351,15,287,1,48,0,2,235,117,0,11,16,0,22,0,0,0,
Tramon Williams,3558,S,GB,15,7,0,62.7,0,0,12,61.5,62.2,88.6,50.3,62.2,65.2,0,3,0,55,14.0,8,2,1,125.6,32,0,107,358,589,990,4,0,0,4,0,330,986,15,386,188,9,42,51,3,8,387,166,12.1
Brent Grimes,3589,CB,TB,12,5,0,72.7,1,1,30,58.3,58.6,86.2,,56.1,69.4,0,0,0,43,10.6,5,2,3,117.7,32,0,65,607,403,716,10,0,0,10,0,0,706,0,313,34,4,37,44,0,2,421,128,13.2
Leon Hall,3634,CB,OAK,10,3,1,88.0,0,0,23,57.1,63.3,83.1,57.8,83.4,62.8,1,0,0,59,11.5,3,2,0,118.8,22,0,23,9,209,366,8,0,0,8,0,2,358,13,144,324,9,20,25,1,0,333,224,15.1
Reggie Nelson,3637,S,OAK,11,2,0,58.3,0,1,23,63.4,63.2,83.3,55.4,60.4,55.5,0,1,2,49,20.7,6,0,0,95.1,7,0,160,5,214,370,20,0,0,20,0,155,350,15,141,30,4,21,12,1,2,128,31,18.3
Eric Weddle,3653,S,BLT,15,7,1,58.6,1,0,3,78.4,80.7,89.4,77.7,78.0,82.3,3,2,0,22,7.1,5,3,1,67.0,17,1,236,10,604,956,47,0,0,47,0,535,909,28,324,128,19,58,29,6,0,112,42,6.6
Brandon Mebane,3701,DI,LAC,11,13,1,,0,1,27,62.6,62.1,54.3,59.7,62.7,64.8,2,4,0,,2.9,1,0,2,0.0,0,2,0,0,10,368,368,315,51,1,1,0,0,180,178,0,13,20,0,8,0,0,0,
Corey Graham,3784,S,PHI,12,9,1,70.6,0,0,24,60.2,62.8,84.6,56.9,68.4,76.2,0,3,1,27,9.1,5,2,2,78.1,12,0,96,3,419,610,17,0,0,17,0,429,593,14,177,65,8,41,17,3,1,90,33,7.5
Chris Long,4316,ED,PHI,15,6,0,100.0,0,2,24,51.6,74.3,77.2,71.5,67.2,49.7,15,28,0,2,27.3,6,0,1,79.2,1,8,0,0,6,578,578,0,5,565,8,0,0,425,147,0,12,10,1,51,0,2,2,2.0
Dominique Rodgers-Cromartie,4330,CB,OAK,5,1,0,60.0,0,0,23,75.1,67.0,80.2,,39.2,29.3,0,0,0,15,38.5,5,2,1,69.6,6,0,17,121,72,147,4,0,0,4,0,0,143,0,75,5,3,7,10,0,0,42,25,7.0
Aqib Talib,4334,CB,LA,7,1,0,62.1,1,1,26,78.4,77.9,83.1,,67.3,85.2,0,0,1,50,0.0,0,3,1,77.9,18,0,39,268,201,340,4,0,0,4,0,0,336,0,139,29,3,17,29,0,0,268,95,14.9
Calais Campbell,4364,ED,JAX,15,9,2,100.0,0,1,15,74.8,90.7,63.3,70.0,93.2,65.2,11,30,0,4,8.2,5,0,4,83.3,1,9,3,0,2,756,753,20,67,482,184,0,3,467,287,0,52,47,1,50,0,4,9,4.0
William Hayes,4417,ED,MIA,3,0,0,,0,0,17,,79.8,81.0,67.9,79.1,74.0,0,0,0,,0.0,0,0,0,0.0,0,2,0,0,0,64,64,3,11,40,10,0,0,47,17,0,4,2,0,2,0,0,0,
Brandon Carr,4454,CB,BLT,15,4,0,54.1,1,0,3,71.7,70.6,63.0,54.6,64.6,72.7,1,3,2,51,8.3,4,9,5,66.0,40,0,87,547,543,826,14,0,0,14,0,1,812,14,269,176,12,40,74,4,0,536,230,13.4
Orlando Scandrick,4457,CB,KC,14,3,0,52.2,3,1,16,69.8,69.6,35.3,,72.1,52.4,0,0,1,32,14.8,8,12,11,80.6,48,0,34,693,590,785,1,0,0,1,0,2,784,0,195,55,15,43,92,0,5,473,132,9.9
Wesley Woodyard,4583,LB,TEN,13,25,1,69.2,0,0,31,70.6,71.6,86.1,60.1,68.3,80.9,2,6,0,44,6.3,6,1,0,91.4,27,4,559,3,357,645,62,0,0,62,0,4,583,59,229,17,35,65,39,12,0,296,176,11.0
Danny Amendola,4717,WR,MIA,1,0,0,,0,0,17,,60.0,60.0,,60.0,,0,0,0,,,0,0,2,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
