player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_coverage_defense,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_overall_tackle,less_grades_pass,less_grades_pass_route,less_grades_pass_rush_defense,less_grades_run,less_grades_run_defense,less_grades_tackle,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_coverage_defense,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_overall_tackle,more_grades_pass,more_grades_pass_route,more_grades_pass_rush_defense,more_grades_run,more_grades_run_defense,more_grades_tackle,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Andrew Luck,7007,QB,IND,19,2.86,2.72,3.5,4.88,807,14,77.1,284,299,5.3,1.85,9,9,2.9,66.9,200,58,8.7,302,37.4,19,106,,,,,90.8,66.3,52.0,,65.9,,,,,,3,5,313,5.2,97.8,1.0,3,0,0,3,20,12,3.8,1767,5.9,69.8,398,437,12.0,3.46,6,37,7.8,57.2,250,240,10.1,505,62.6,28,184,,,,,46.5,84.2,87.2,,80.9,,,76.0,,,10,15,542,10.4,88.9,5.0,25,43,0,23,23,26,4.8,3762,8.6
Tom Brady,698,QB,NE,19,2.36,2.31,3.04,4.38,753,19,81.2,451,470,5.9,1.86,9,13,2.6,73.0,343,90,6.3,476,63.2,23,190,,,,,91.6,91.7,86.8,,90.6,,,,,,4,5,497,6.7,108.3,1.3,6,0,0,6,30,7,1.4,3221,6.9,64.2,218,247,13.4,3.23,1,15,5.5,49.8,123,123,12.1,277,36.8,17,90,,,,,67.2,65.9,84.8,,64.5,,,67.9,,,7,8,305,15.4,78.1,6.9,19,11,0,21,13,11,3.6,1808,7.3
Matthew Stafford,4924,QB,DET,17,2.66,2.51,3.7,5.27,708,11,79.4,340,353,4.5,1.92,6,8,2.2,70.0,247,56,8.5,358,50.6,23,131,,,,,83.9,74.6,85.6,,73.1,,,,,,4,3,374,8.9,94.4,1.4,5,0,0,3,11,4,1.1,2297,6.5,62.1,253,288,13.1,3.43,5,21,6.7,50.0,144,172,8.3,349,49.3,13,99,,,,,64.4,60.5,57.2,,60.9,,,56.9,,,3,10,373,25.0,76.1,12.3,43,18,0,27,12,14,3.8,2273,7.9
Drew Brees,802,QB,NO,16,2.63,2.55,3.4,4.83,696,20,85.8,296,309,4.4,1.88,8,9,2.8,75.7,234,43,7.9,310,44.5,20,110,,,,,90.8,85.8,85.1,,83.5,,,,,,1,5,323,2.3,104.3,0.3,1,0,0,4,18,6,1.9,1961,6.3,74.9,311,344,11.7,3.23,5,21,5.8,64.5,222,188,4.7,386,55.5,11,157,,,,,67.0,86.5,86.0,,85.5,,,52.9,,,8,12,410,14.9,92.1,7.3,28,14,0,20,15,22,5.4,2991,8.7
Ben Roethlisberger,1732,QB,PIT,17,2.51,2.44,3.31,4.65,692,25,79.5,366,372,6.0,1.77,5,11,2.8,72.6,270,52,7.2,381,55.1,21,142,,,,,77.6,85.0,85.9,,82.7,,,,,,0,4,398,17.3,98.6,2.4,9,0,0,1,14,8,2.0,2495,6.7,69.4,258,272,13.6,3.43,4,24,8.2,62.1,169,146,5.6,310,44.8,10,118,,,,,60.4,85.7,85.2,,83.8,,,59.7,,,5,7,333,20.5,109.3,9.7,30,8,0,5,19,10,3.0,2802,10.3
Matt Ryan,4317,QB,ATL,16,2.62,2.52,3.09,4.78,678,2,80.9,330,341,5.4,1.91,5,11,3.2,71.8,245,77,8.2,345,50.9,22,116,,,,,91.0,86.3,85.4,,83.9,,,,,,2,2,354,5.2,108.2,1.2,4,0,0,4,19,7,2.0,2463,7.2,70.5,258,282,11.8,3.36,3,22,7.1,60.3,170,164,6.6,333,49.1,12,126,,,,,48.0,77.2,85.5,,75.6,,,65.7,,,6,12,361,16.5,78.2,8.1,27,24,0,15,9,19,5.3,2231,7.9
Peyton Manning,327,QB,DEN,17,2.25,2.23,2.9,4.2,659,10,74.8,412,420,7.0,1.81,7,25,5.6,67.6,284,51,7.8,422,64.0,24,149,,,,,91.4,74.6,86.4,,73.1,,,,,,0,7,446,3.9,104.9,0.5,2,0,0,1,32,12,2.7,2821,6.7,68.2,211,220,12.8,3.03,3,17,7.1,62.3,137,91,4.9,237,36.0,7,87,,,,,90.4,75.6,45.5,,74.2,,,66.1,,,1,8,259,17.6,91.2,6.8,16,1,0,5,8,18,6.9,2123,9.7
Joe Flacco,4332,QB,BLT,18,2.69,2.6,3.66,5.82,653,3,79.4,320,334,7.7,1.94,4,14,3.9,68.9,230,67,9.4,337,51.6,24,134,,,,,83.6,90.5,85.5,,88.5,,,,,,4,6,362,4.5,109.6,0.9,3,0,0,6,25,9,2.5,2622,7.9,67.3,260,288,11.1,3.5,2,13,4.2,55.6,160,154,8.6,316,48.4,15,95,,,,,45.2,57.5,85.3,,56.9,,,64.5,,,9,8,341,11.0,73.8,5.4,17,11,0,17,8,20,5.9,1918,6.7
Aaron Rodgers,2241,QB,GB,18,2.86,2.66,3.91,5.59,650,12,81.0,305,313,5.8,1.79,5,10,3.1,72.5,227,27,8.1,318,48.9,20,128,,,,,90.8,90.2,85.1,,88.0,,,,,,0,4,327,18.5,109.1,1.6,5,0,0,3,20,4,1.2,2298,7.3,67.7,254,276,11.9,3.88,2,32,10.5,56.9,157,150,8.7,332,51.1,15,137,,,,,28.9,92.6,85.6,,90.4,,,90.5,,,1,3,366,17.3,110.4,7.8,26,30,0,19,22,15,4.1,2577,9.3
Ryan Tannehill,7014,QB,MIA,16,2.61,2.54,3.13,4.78,643,17,80.8,312,321,5.2,1.93,9,6,1.8,74.5,239,78,5.2,327,50.9,13,122,,,,,86.2,78.1,85.3,,76.4,,,,,,0,5,343,7.7,102.0,1.8,6,0,0,0,16,8,2.3,2139,6.7,69.5,243,268,11.8,3.32,8,15,5.2,57.1,153,170,9.5,316,49.1,16,105,,,,,32.7,68.4,54.5,,71.1,,,27.9,,,2,7,340,23.5,82.3,12.7,40,8,0,15,11,19,5.6,1920,7.2
