player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
Curtis Lofton,4351,LB,NO,4,4,,4.0,20,0,39.6,0,1,0,0,0,0.0
Terrence Brooks,8714,S,BLT,6,14,,7.0,3,0,39.6,0,2,0,0,0,0.0
Danny Trevathan,7177,LB,DEN,2,2,,2.0,10,0,39.6,0,1,0,0,0,0.0
Emmanuel Acho,7189,LB,PHI,2,4,,4.0,24,0,39.6,0,1,0,0,0,0.0
Brandon Carr,4454,CB,DAL,7,11,,5.5,9,0,39.6,0,2,0,0,0,0.0
Ryan Shazier,8650,LB,PIT,3,4,,4.0,25,0,39.6,0,1,0,0,0,0.0
Tyvon Branch,4414,S,OAK,3,9,,9.0,23,0,39.6,0,1,0,0,0,0.0
Rob Ninkovich,3080,ED,NE,9,8,,8.0,19,0,39.6,0,1,0,0,0,0.0
Philip Wheeler,4407,LB,MIA,7,11,,11.0,17,0,39.6,0,1,0,0,0,0.0
Rashaan Melvin,8334,CB,BLT,1,4,,4.0,3,0,39.6,0,1,0,0,0,0.0
Sean Richardson,7456,S,GB,5,5,,5.0,12,0,39.6,0,1,0,0,0,0.0
Brian Dixon,9146,CB,NO,2,5,,5.0,20,0,39.6,0,1,0,0,0,0.0
Josh Norman,7649,CB,CAR,6,6,,6.0,5,0,39.6,0,1,0,0,0,0.0
Brent Grimes,3589,CB,MIA,9,18,,9.0,17,0,39.6,0,2,0,0,0,0.0
Kemal Ishmael,8026,S,ATL,13,30,,30.0,2,0,39.6,0,1,0,0,0,0.0
Jelani Jenkins,7886,LB,MIA,8,19,,19.0,17,0,39.6,0,1,0,0,0,0.0
Usama Young,3682,S,OAK,2,8,,4.0,23,0,39.6,0,2,0,0,0,0.0
Leon McFadden,7849,CB,SF,2,20,,20.0,28,0,39.6,0,1,0,0,0,0.0
Henoc Muamba,9098,LB,IND,1,2,,2.0,14,0,39.6,0,1,0,0,0,0.0
C.J. Spillman,5370,S,DAL,2,4,,4.0,9,0,39.6,0,1,0,0,0,0.0
Pierre Warren,8996,S,NO,4,8,,8.0,20,0,39.6,0,1,0,0,0,0.0
