player,player_id,position,team_name,player_game_count,base_dropbacks,blitz_accuracy_percent,blitz_aimed_passes,blitz_attempts,blitz_avg_depth_of_target,blitz_avg_time_to_throw,blitz_bats,blitz_big_time_throws,blitz_btt_rate,blitz_completion_percent,blitz_completions,blitz_def_gen_pressures,blitz_drop_rate,blitz_dropbacks,blitz_dropbacks_percent,blitz_drops,blitz_first_downs,blitz_grades_coverage_defense,blitz_grades_defense,blitz_grades_defense_penalty,blitz_grades_hands_drop,blitz_grades_hands_fumble,blitz_grades_offense,blitz_grades_offense_penalty,blitz_grades_overall_tackle,blitz_grades_pass,blitz_grades_pass_route,blitz_grades_pass_rush_defense,blitz_grades_run,blitz_grades_tackle,blitz_hit_as_threw,blitz_interceptions,blitz_passing_snaps,blitz_pressure_to_sack_rate,blitz_qb_rating,blitz_sack_percent,blitz_sacks,blitz_scrambles,blitz_spikes,blitz_thrown_aways,blitz_touchdowns,blitz_turnover_worthy_plays,blitz_twp_rate,blitz_yards,blitz_ypa,declined_penalties,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,no_blitz_accuracy_percent,no_blitz_aimed_passes,no_blitz_attempts,no_blitz_avg_depth_of_target,no_blitz_avg_time_to_throw,no_blitz_bats,no_blitz_big_time_throws,no_blitz_btt_rate,no_blitz_completion_percent,no_blitz_completions,no_blitz_def_gen_pressures,no_blitz_drop_rate,no_blitz_dropbacks,no_blitz_dropbacks_percent,no_blitz_drops,no_blitz_first_downs,no_blitz_grades_coverage_defense,no_blitz_grades_defense,no_blitz_grades_defense_penalty,no_blitz_grades_hands_drop,no_blitz_grades_hands_fumble,no_blitz_grades_offense,no_blitz_grades_offense_penalty,no_blitz_grades_overall_tackle,no_blitz_grades_pass,no_blitz_grades_pass_route,no_blitz_grades_pass_rush_defense,no_blitz_grades_run,no_blitz_grades_tackle,no_blitz_hit_as_threw,no_blitz_interceptions,no_blitz_passing_snaps,no_blitz_pressure_to_sack_rate,no_blitz_qb_rating,no_blitz_sack_percent,no_blitz_sacks,no_blitz_scrambles,no_blitz_spikes,no_blitz_thrown_aways,no_blitz_touchdowns,no_blitz_turnover_worthy_plays,no_blitz_twp_rate,no_blitz_yards,no_blitz_ypa,no_pressure_accuracy_percent,no_pressure_aimed_passes,no_pressure_attempts,no_pressure_avg_depth_of_target,no_pressure_avg_time_to_throw,no_pressure_bats,no_pressure_big_time_throws,no_pressure_btt_rate,no_pressure_completion_percent,no_pressure_completions,no_pressure_def_gen_pressures,no_pressure_drop_rate,no_pressure_dropbacks,no_pressure_dropbacks_percent,no_pressure_drops,no_pressure_first_downs,no_pressure_grades_coverage_defense,no_pressure_grades_defense,no_pressure_grades_defense_penalty,no_pressure_grades_hands_drop,no_pressure_grades_hands_fumble,no_pressure_grades_offense,no_pressure_grades_offense_penalty,no_pressure_grades_overall_tackle,no_pressure_grades_pass,no_pressure_grades_pass_route,no_pressure_grades_pass_rush_defense,no_pressure_grades_run,no_pressure_grades_tackle,no_pressure_hit_as_threw,no_pressure_interceptions,no_pressure_passing_snaps,no_pressure_pressure_to_sack_rate,no_pressure_qb_rating,no_pressure_sack_percent,no_pressure_sacks,no_pressure_scrambles,no_pressure_spikes,no_pressure_thrown_aways,no_pressure_touchdowns,no_pressure_turnover_worthy_plays,no_pressure_twp_rate,no_pressure_yards,no_pressure_ypa,penalties,pressure_accuracy_percent,pressure_aimed_passes,pressure_attempts,pressure_avg_depth_of_target,pressure_avg_time_to_throw,pressure_bats,pressure_big_time_throws,pressure_btt_rate,pressure_completion_percent,pressure_completions,pressure_def_gen_pressures,pressure_drop_rate,pressure_dropbacks,pressure_dropbacks_percent,pressure_drops,pressure_first_downs,pressure_grades_coverage_defense,pressure_grades_defense,pressure_grades_defense_penalty,pressure_grades_hands_drop,pressure_grades_hands_fumble,pressure_grades_offense,pressure_grades_offense_penalty,pressure_grades_overall_tackle,pressure_grades_pass,pressure_grades_pass_route,pressure_grades_pass_rush_defense,pressure_grades_run,pressure_grades_tackle,pressure_hit_as_threw,pressure_interceptions,pressure_passing_snaps,pressure_pressure_to_sack_rate,pressure_qb_rating,pressure_sack_percent,pressure_sacks,pressure_scrambles,pressure_spikes,pressure_thrown_aways,pressure_touchdowns,pressure_turnover_worthy_plays,pressure_twp_rate,pressure_yards,pressure_ypa
Andrew Luck,7007,QB,IND,6,285,78.9,71,77,9.5,2.49,3,3,3.8,70.1,54,24,3.6,81,28.4,2,43,,,,,83.7,79.4,79.9,,76.5,,,65.9,,1,1,84,12.5,121.9,3.7,3,1,0,2,7,3,3.6,675,8.8,0,14,90.7,80.4,77.5,72.0,75.0,176,183,8.2,2.9,2,6,3.1,64.5,118,55,10.6,204,71.6,14,77,,,,,90.1,77.1,83.4,,74.2,,,73.1,,0,6,214,10.9,90.3,2.9,6,15,0,5,10,7,3.3,1313,7.2,78.9,190,197,7.9,2.49,5,6,2.9,69.5,137,0,8.7,206,72.3,13,94,,,,,90.1,80.2,83.5,,75.4,,,89.9,,0,5,216,,104.6,0.0,0,9,0,2,14,9,4.2,1486,7.5,0,66.7,57,63,11.0,3.55,0,3,4.5,55.6,35,79,7.9,79,27.7,3,26,,,,,83.6,73.2,79.8,,74.5,,,52.1,,1,2,82,11.4,84.2,11.4,9,7,0,5,3,1,1.2,502,8.0
Matt Ryan,4317,QB,ATL,6,253,74.5,55,58,9.1,2.29,1,4,6.6,55.2,32,31,22.0,65,25.7,9,23,,,,,82.3,75.3,79.1,,74.4,,,59.0,,2,2,68,16.1,104.0,7.7,5,2,0,0,6,2,2.9,499,8.6,0,2,90.5,84.7,82.7,62.6,75.9,162,176,9.0,2.81,4,5,2.7,66.5,117,58,4.9,188,74.3,6,68,,,,,90.0,83.9,83.2,,82.0,,,63.5,,2,5,200,8.6,89.0,2.7,5,7,3,5,6,2,1.0,1351,7.7,80.5,154,162,8.1,2.35,4,5,3.0,70.4,114,0,8.1,164,64.8,10,63,,,,,88.8,90.4,82.5,,88.3,,,64.1,,0,4,169,,107.5,0.0,0,2,3,1,11,3,1.8,1340,8.3,0,63.5,63,72,11.4,3.27,1,4,4.9,48.6,35,89,12.5,89,35.2,5,28,,,,,84.9,65.4,80.5,,65.1,,,60.0,,4,3,99,11.2,59.4,11.2,10,7,0,4,1,1,1.0,510,7.1
Jay Cutler,2956,QB,CHI,6,253,79.2,48,52,7.2,2.43,2,2,3.5,69.2,36,23,5.3,62,24.5,2,25,,,,,41.6,60.6,79.0,,58.2,,,72.5,,1,3,67,34.8,86.1,12.9,8,2,0,1,3,3,4.5,388,7.5,0,6,51.7,72.8,69.8,72.4,74.7,170,177,7.5,2.55,1,8,4.2,67.8,120,49,5.5,191,75.5,7,62,,,,,72.6,75.3,83.3,,72.9,,,71.2,,1,3,205,12.2,100.7,3.1,6,7,0,5,10,8,3.9,1288,7.3,76.0,171,175,7.1,2.33,2,8,4.3,70.3,123,0,5.4,181,71.5,7,64,,,,,71.4,71.0,83.0,,68.4,,,76.5,,0,5,193,,95.2,0.0,0,5,0,2,8,8,4.1,1309,7.5,1,74.5,47,54,8.9,3.0,1,2,3.3,61.1,33,72,5.7,72,28.5,2,23,,,,,47.2,70.3,79.7,,68.4,,,67.0,,2,1,79,19.4,104.5,19.4,14,4,0,4,5,3,3.8,367,6.8
Nick Foles,7089,QB,PHI,6,252,63.9,36,41,11.6,2.65,0,1,2.2,56.1,23,19,0.0,42,16.7,0,17,,,,,29.9,59.4,77.7,,65.6,,,39.9,,2,0,47,0.0,100.2,0.0,0,1,0,3,2,3,6.4,345,8.4,0,24,50.6,60.9,62.2,39.8,68.3,186,196,10.1,2.84,0,10,4.8,60.2,118,64,7.1,210,83.3,9,64,,,,,57.5,60.9,83.6,,60.8,,,58.2,,3,7,225,10.9,78.3,3.3,7,5,1,6,8,12,5.3,1283,6.5,72.8,162,165,9.0,2.38,0,6,3.5,67.3,111,0,5.9,169,67.1,7,64,,,,,89.0,72.3,82.7,,70.2,,,72.5,,0,4,175,,95.2,0.0,0,2,1,2,8,4,2.3,1227,7.4,0,53.3,60,72,13.8,3.68,0,5,6.0,41.7,30,83,6.3,83,32.9,2,17,,,,,24.1,42.0,80.4,,48.4,,,28.8,,5,3,97,8.4,51.9,8.4,7,4,0,7,2,11,11.3,401,5.6
Matthew Stafford,4924,QB,DET,6,243,78.4,37,39,9.2,2.36,1,3,7.0,69.2,27,17,6.9,44,18.1,2,19,,,,,80.1,78.3,77.8,,75.6,,,64.0,,0,0,48,23.5,117.8,9.1,4,1,0,1,2,0,0.0,383,9.8,0,11,54.3,67.4,67.9,52.0,74.5,157,173,8.1,2.69,2,6,3.3,60.7,105,57,10.3,199,81.9,12,57,,,,,43.6,62.2,83.4,,63.9,,,43.3,,1,4,210,29.8,81.5,8.5,17,8,0,13,5,6,2.9,1199,6.9,78.8,160,162,7.6,2.3,1,7,4.1,71.6,116,0,7.9,169,69.5,10,63,,,,,89.1,78.6,82.7,,78.4,,,50.8,,0,3,176,,98.5,0.0,0,6,0,1,5,4,2.3,1327,8.2,2,58.8,34,50,12.0,3.39,2,2,3.4,32.0,16,74,20.0,74,30.5,4,13,,,,,24.0,40.5,79.8,,42.3,,,52.7,,1,1,82,28.4,55.0,28.4,21,3,0,13,2,2,2.4,255,5.1
Ben Roethlisberger,1732,QB,PIT,6,242,68.2,22,23,10.5,2.53,0,2,8.3,65.2,15,11,0.0,26,10.7,0,10,,,,,76.8,77.1,75.8,,75.6,,,,,0,1,27,27.3,98.1,11.5,3,0,0,1,1,1,3.7,250,10.9,0,25,42.1,81.0,80.9,42.9,75.3,186,196,8.1,2.44,2,8,3.8,65.3,128,46,8.6,216,89.3,12,69,,,,,35.5,79.8,83.7,,79.5,58.4,,44.1,,1,2,230,32.6,92.9,6.9,15,4,5,2,7,4,1.7,1354,6.9,75.7,173,181,7.4,2.17,2,7,3.7,66.3,120,0,8.4,185,76.4,11,64,,,,,77.0,85.4,83.1,,84.7,58.4,,45.1,,0,3,195,,89.1,0.0,0,3,5,1,5,3,1.5,1281,7.1,0,68.6,35,38,13.3,3.37,0,3,7.1,60.5,23,57,4.2,57,23.6,1,15,,,,,21.6,61.3,78.8,,61.5,,,58.3,,1,0,62,31.6,114.3,31.6,18,1,0,2,3,2,3.2,323,8.5
Joe Flacco,4332,QB,BLT,6,229,71.2,73,76,10.0,2.41,1,4,4.8,59.2,45,29,13.5,80,34.9,7,36,,,,,84.0,69.6,80.1,,67.8,,,64.4,,1,3,88,10.3,91.5,3.8,3,1,0,1,5,4,4.5,631,8.3,0,3,77.2,75.8,75.4,51.6,81.4,129,143,7.9,2.58,4,7,4.7,66.4,95,33,9.5,149,65.1,10,38,,,,,66.5,78.5,82.2,,76.8,,,62.0,,0,0,155,12.1,102.0,2.7,4,2,4,6,7,5,3.2,968,6.8,81.0,158,166,7.3,2.21,3,7,4.0,69.9,116,0,9.4,167,72.9,12,56,,,,,69.2,74.1,82.7,,72.4,,,63.1,,0,2,175,,104.9,0.0,0,1,4,1,10,6,3.4,1177,7.1,0,65.9,44,53,13.6,3.34,2,4,6.8,45.3,24,62,17.2,62,27.1,5,18,,,,,82.3,76.9,79.1,,75.0,,,64.1,,1,1,68,11.3,77.7,11.3,7,2,0,6,2,3,4.4,422,8.0
Drew Brees,802,QB,NO,5,225,73.2,41,45,7.3,2.26,2,0,0.0,62.2,28,18,6.7,48,21.3,2,16,,,,,80.9,68.3,78.3,,67.4,,,,,2,0,54,16.7,105.3,6.3,3,0,0,0,3,3,5.6,315,7.0,0,20,75.8,77.5,77.5,46.0,80.4,163,173,7.4,2.67,3,11,6.1,70.5,122,51,6.9,177,78.7,9,68,,,,,89.5,79.5,82.9,,78.2,,,56.7,,2,6,185,2.0,88.3,0.6,1,3,1,4,6,12,6.5,1259,7.3,80.9,152,155,7.2,2.31,2,8,5.0,74.2,115,0,6.5,156,69.3,8,60,,,,,88.4,81.5,82.3,,80.1,,,55.9,,0,2,161,,106.5,0.0,0,1,1,0,8,9,5.6,1144,7.4,1,73.1,52,63,7.8,3.21,3,3,4.3,55.6,35,69,7.9,69,30.7,3,24,,,,,83.2,66.2,79.6,,65.2,,,62.1,,4,4,78,5.8,55.7,5.8,4,2,0,4,1,6,7.7,430,6.8
Tom Brady,698,QB,NE,6,224,74.4,39,43,9.0,2.01,1,3,6.1,65.1,28,17,3.4,45,20.1,1,18,,,,,32.5,78.0,78.0,,76.4,,,,,2,0,51,11.8,102.7,4.4,2,0,0,1,2,1,2.0,318,7.4,0,19,62.3,72.7,71.4,56.6,69.2,156,166,9.0,2.41,0,5,2.8,62.0,103,51,4.6,179,79.9,5,54,,,,,71.2,67.6,83.1,,67.4,,,52.3,,3,2,194,19.6,93.1,5.6,10,3,0,7,8,6,3.1,1125,6.8,73.9,153,155,8.2,2.13,1,4,2.4,70.3,109,0,3.5,156,69.6,4,61,,,,,88.8,75.4,82.5,,74.2,,,58.3,,0,2,169,,106.0,0.0,0,1,0,1,8,5,3.0,1244,8.0,1,57.1,42,54,11.7,2.8,0,4,6.5,40.7,22,68,8.3,68,30.4,2,11,,,,,26.3,60.5,79.5,,61.1,,,54.6,,5,0,76,17.6,63.7,17.6,12,2,0,7,2,2,2.6,199,3.7
Philip Rivers,1725,QB,SD,6,219,77.6,58,61,11.7,2.6,0,7,10.9,67.2,41,27,8.9,67,30.6,4,32,,,,,82.6,87.2,79.3,,84.3,,,63.3,,1,1,71,14.8,122.0,6.0,4,1,0,2,5,2,2.8,635,10.4,0,27,45.4,85.8,86.5,47.5,78.3,129,138,8.3,2.84,1,4,2.7,70.3,97,50,4.0,152,69.4,4,55,,,,,88.4,85.4,82.3,,81.5,,,77.6,,1,1,161,10.0,115.6,3.3,5,9,0,7,10,0,0.0,1121,8.1,82.1,134,136,8.1,2.46,0,5,3.5,77.9,106,0,3.6,142,64.8,4,64,,,,,87.8,91.6,82.0,,90.5,,,68.6,,0,1,149,,130.1,0.0,0,5,0,2,11,1,0.7,1289,9.5,0,67.9,53,63,12.6,3.32,1,6,8.8,50.8,32,77,11.1,77,35.2,4,23,,,,,83.7,72.4,79.8,,68.2,,,78.7,,2,1,83,11.7,89.8,11.7,9,5,0,7,4,1,1.2,467,7.4
