player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_coverage_defense,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_overall_tackle,less_grades_pass,less_grades_pass_route,less_grades_pass_rush_defense,less_grades_run,less_grades_run_defense,less_grades_tackle,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_coverage_defense,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_overall_tackle,more_grades_pass,more_grades_pass_route,more_grades_pass_rush_defense,more_grades_run,more_grades_run_defense,more_grades_tackle,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Andrew Luck,7007,QB,IND,9,2.76,2.63,3.4,4.98,427,14,79.9,169,178,5.1,1.82,6,5,2.8,68.5,122,30,9.6,179,41.9,13,69,,,,,89.3,63.5,30.7,,63.6,,,,,,1,2,181,3.3,107.7,0.6,1,0,0,2,14,7,3.9,1154,6.5,71.8,195,215,11.5,3.44,3,17,7.2,59.5,128,111,8.6,248,58.1,12,100,,,,,63.4,84.4,84.4,,80.1,,,81.0,,,4,7,270,11.7,94.2,5.2,13,20,0,13,12,12,4.4,1932,9.0
Ben Roethlisberger,1732,QB,PIT,9,2.49,2.42,3.2,4.28,362,25,79.7,192,195,5.4,1.77,3,7,3.5,71.8,140,29,8.5,202,55.8,13,69,,,,,60.8,81.3,83.4,,79.4,,,,,,0,2,209,24.1,97.7,3.5,7,0,0,0,8,3,1.4,1234,6.3,72.2,133,138,13.4,3.41,0,19,12.6,65.9,91,68,5.2,159,43.9,5,62,,,,,33.9,91.4,82.6,,91.1,,,44.1,,,1,1,173,25.0,133.0,10.7,17,4,0,4,14,4,2.3,1497,10.8
Tom Brady,698,QB,NE,9,2.37,2.32,3.15,3.97,351,19,78.3,207,216,5.9,1.85,2,5,2.2,71.3,154,43,4.9,219,62.4,8,83,,,,,90.2,88.2,83.8,,85.7,,,,,,3,1,233,7.0,105.5,1.4,3,0,0,4,12,3,1.3,1419,6.6,66.3,104,118,14.8,3.23,0,9,6.7,50.8,60,59,13.0,132,37.6,9,46,,,,,42.7,72.8,82.0,,72.4,,,52.3,,,4,2,148,18.6,100.0,8.3,11,3,0,10,10,5,3.4,972,8.2
Drew Brees,802,QB,NO,8,2.6,2.52,3.4,5.35,343,20,85.4,144,149,4.5,1.83,3,7,4.5,76.5,114,20,7.3,149,43.4,9,52,,,,,88.1,81.0,82.2,,79.1,,,,,,0,3,155,0.0,105.4,0.0,0,0,0,2,9,4,2.6,993,6.7,76.4,157,177,10.9,3.19,3,11,5.8,65.0,115,94,4.2,194,56.6,5,81,,,,,72.5,86.5,83.4,,84.5,,,62.4,,,7,5,209,11.7,91.8,5.7,11,6,0,10,6,13,6.2,1531,8.6
Joe Flacco,4332,QB,BLT,9,2.63,2.54,3.99,5.44,336,3,80.0,175,184,7.8,1.94,4,8,4.1,67.9,125,30,10.7,186,55.4,15,73,,,,,71.8,80.5,83.1,,78.6,,,,,,2,3,197,6.7,109.2,1.1,2,0,0,3,14,6,3.0,1412,7.7,69.2,120,134,10.0,3.49,1,5,3.4,58.2,78,73,6.0,150,44.6,5,43,,,,,88.5,53.8,82.4,,51.9,,,77.3,,,3,5,164,15.1,69.3,7.3,11,5,0,10,2,9,5.5,943,7.0
Matthew Stafford,4924,QB,DET,8,2.62,2.44,3.67,5.28,332,11,83.0,165,172,4.2,1.91,2,2,1.1,70.9,122,24,10.9,175,52.7,15,60,,,,,89.4,74.7,82.8,,73.3,,,,,,2,2,183,12.5,91.0,1.7,3,0,0,3,4,0,0.0,1111,6.5,62.9,105,124,13.9,3.43,3,9,6.6,49.2,61,73,7.6,156,47.0,5,46,,,,,33.8,57.5,82.5,,58.5,,,52.6,,,1,5,169,28.8,81.9,13.5,21,11,0,15,7,8,4.7,1095,8.8
Matt Ryan,4317,QB,ATL,8,2.66,2.57,2.82,4.68,330,2,83.4,151,157,4.4,1.9,4,4,2.5,72.6,114,37,9.5,161,48.8,12,53,,,,,88.6,84.8,82.4,,82.7,,,,,,1,0,165,10.8,112.5,2.5,4,0,0,1,9,2,1.2,1160,7.4,68.1,135,145,12.9,3.37,1,11,6.8,57.9,84,88,8.7,169,51.2,8,65,,,,,31.9,75.6,82.9,,75.2,,,57.1,,,4,8,185,14.8,74.1,7.7,13,11,0,5,6,8,4.3,1146,7.9
Nick Foles,7089,QB,PHI,8,2.78,2.73,3.83,4.61,329,24,77.9,140,142,5.7,1.87,0,6,3.9,73.2,104,26,4.6,143,43.5,5,48,,,,,88.0,77.6,82.2,,76.0,,,,,,1,1,154,3.8,104.4,0.7,1,0,0,1,7,2,1.3,947,6.7,60.0,145,169,14.7,3.52,0,8,4.4,49.1,83,86,4.6,184,55.9,4,59,,,,,35.3,53.5,83.1,,55.5,,,44.0,,,7,9,198,9.3,62.7,4.3,8,7,0,17,6,18,9.1,1220,7.2
Jay Cutler,2956,QB,CHI,8,2.59,2.46,3.42,4.83,325,6,82.0,139,144,4.3,1.85,3,5,3.3,72.9,105,24,7.9,146,44.9,9,46,,,,,65.6,67.2,82.1,,66.4,,,,,,0,5,153,8.3,101.2,1.4,2,0,0,2,11,5,3.3,945,6.6,68.3,139,149,11.6,3.21,1,6,3.6,61.7,92,71,3.2,178,54.8,3,65,,,,,34.0,65.4,83.1,,62.5,,,76.5,,,3,3,196,25.4,90.7,10.1,18,11,0,6,6,10,5.1,1148,7.7
Philip Rivers,1725,QB,SD,9,2.73,2.62,3.39,4.92,323,27,83.5,127,127,5.3,1.97,0,6,4.5,78.0,99,19,6.6,127,39.3,7,49,,,,,87.0,79.0,81.6,,77.3,,,,,,0,2,134,0.0,126.9,0.0,0,0,0,0,15,2,1.5,836,6.6,68.4,152,167,14.1,3.24,1,9,5.0,58.7,98,99,5.8,195,60.4,6,72,,,,,90.0,83.3,83.3,,79.8,,,76.4,,,3,6,208,16.2,83.8,8.2,16,12,0,11,5,5,2.4,1515,9.1
Peyton Manning,327,QB,DEN,8,2.32,2.3,2.86,4.2,316,10,74.6,193,194,6.8,1.81,1,13,6.4,68.0,132,23,8.3,195,61.7,12,72,,,,,90.0,76.8,83.3,,75.2,,,,,,0,3,205,4.3,112.4,0.5,1,0,0,0,18,6,2.9,1355,7.0,72.5,109,113,12.9,3.14,1,7,5.7,67.3,76,49,3.8,121,38.3,3,52,,,,,86.9,85.6,81.6,,82.9,,,66.1,,,0,2,132,14.3,113.5,5.8,7,1,0,3,6,6,4.5,1222,10.8
