player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_run,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_run,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Andrew Luck,7007,QB,IND,5,2.76,2.6,3.23,5.18,235,14,82.7,98,100,4.5,1.8,1,1,1.0,75.0,75,8,7.4,101,43.0,6,42,,85.1,72.2,80.6,71.0,,,0,1,102,12.5,112.6,1.0,1,0,0,1,8,2,2.0,612,6.1,70.9,110,116,11.6,3.49,1,5,4.0,62.1,72,52,7.7,134,57.0,6,58,,87.4,81.7,81.9,78.4,,73.2,1,5,142,9.6,89.2,3.7,5,13,0,4,6,6,4.2,1006,8.7
Drew Brees,802,QB,NO,5,2.6,2.54,3.23,5.63,224,20,84.7,98,100,4.8,1.82,2,5,4.8,75.0,75,12,9.6,100,44.6,8,31,,85.3,75.0,80.7,73.6,,,0,2,105,0.0,103.7,0.0,0,0,0,0,6,4,3.8,659,6.6,73.6,106,117,9.7,3.22,3,6,4.8,64.1,75,57,3.8,124,55.4,3,53,,87.0,76.9,81.6,76.0,,56.7,4,4,133,7.0,82.4,3.2,4,3,0,4,3,11,8.3,915,7.8
Nick Foles,7089,QB,PHI,5,2.76,2.72,3.77,4.42,215,24,72.0,93,93,6.8,1.89,0,5,5.0,68.8,64,15,4.5,94,43.7,3,32,,85.0,72.7,80.6,71.5,,,0,1,102,6.7,101.9,1.1,1,0,0,0,5,2,2.0,649,7.0,60.8,97,109,14.3,3.49,0,5,4.2,51.4,56,56,5.1,119,55.3,3,36,,26.8,52.6,81.5,55.3,,41.6,5,4,130,8.9,66.7,4.2,5,5,0,7,3,11,8.5,731,6.7
Jay Cutler,2956,QB,CHI,5,2.49,2.36,3.2,5.11,211,6,81.9,105,108,4.6,1.85,2,4,3.5,74.1,80,16,7.0,110,52.1,6,40,,58.3,67.8,81.1,67.0,,,0,4,115,12.5,108.4,1.8,2,0,0,1,10,4,3.5,756,7.0,64.6,79,83,10.5,3.22,0,3,3.2,60.2,50,37,2.0,100,47.4,1,31,,58.1,57.4,80.9,54.2,,77.6,2,2,111,27.0,77.3,10.0,10,7,0,2,2,7,6.3,539,6.5
Matt Ryan,4317,QB,ATL,5,2.72,2.62,2.88,4.74,209,2,84.4,90,92,4.3,1.85,1,0,0.0,76.1,70,18,7.9,93,44.5,6,31,,84.6,74.5,80.3,73.2,,,0,0,95,5.6,117.5,1.1,1,0,0,1,5,1,1.1,749,8.1,67.0,94,102,13.0,3.42,1,7,6.2,58.8,60,56,4.8,116,55.5,3,50,,86.6,78.8,81.4,77.5,,62.5,3,6,127,8.9,80.1,4.3,5,9,0,4,6,3,2.4,830,8.1
Matthew Stafford,4924,QB,DET,5,2.69,2.48,3.89,5.16,205,11,83.3,96,100,4.5,1.89,2,2,1.9,72.0,72,13,10.0,101,49.3,8,36,,85.2,77.7,80.7,76.1,,,0,1,104,7.7,93.0,1.0,1,0,0,2,2,0,0.0,681,6.8,65.7,67,79,14.7,3.51,1,7,8.0,51.9,41,51,6.8,103,50.2,3,31,,26.6,62.6,80.9,64.0,,51.5,1,3,111,31.4,84.2,15.5,16,8,0,10,4,5,4.5,716,9.1
Joe Flacco,4332,QB,BLT,5,2.58,2.47,4.26,5.97,198,3,81.9,105,110,6.8,1.94,4,6,5.2,68.2,75,15,12.8,111,56.1,11,40,,59.5,75.3,81.1,73.8,,,0,0,117,6.7,107.0,0.9,1,0,0,1,6,3,2.6,790,7.2,69.0,71,78,10.9,3.41,1,4,4.8,56.4,44,41,10.2,87,43.9,5,21,,84.3,59.2,80.2,57.8,,68.3,1,3,92,14.6,64.2,6.9,6,3,0,5,1,6,6.5,503,6.4
Ben Roethlisberger,1732,QB,PIT,5,2.43,2.33,3.26,4.43,192,25,81.7,109,111,4.7,1.79,2,4,3.5,73.0,81,14,9.0,116,60.4,8,39,,41.7,78.5,81.2,76.8,,,0,1,120,35.7,96.4,4.3,5,0,0,0,3,2,1.7,752,6.8,75.4,57,61,13.1,3.46,0,4,5.8,67.2,41,32,4.7,75,39.1,2,28,,29.1,77.0,79.9,78.2,,45.0,1,1,84,34.4,115.7,14.7,11,3,0,3,4,3,3.6,624,10.2
Alex Smith,2218,QB,KC,5,2.71,2.43,3.18,5.47,186,16,81.7,93,98,4.5,1.85,5,1,1.0,70.4,69,13,9.2,100,53.8,7,45,,55.5,64.8,80.7,64.2,,,0,2,104,15.4,106.5,2.0,2,0,0,0,8,4,3.8,635,6.5,76.5,51,61,11.0,3.71,1,4,5.9,52.5,32,47,17.9,86,46.2,7,29,,84.4,71.2,0.0,75.6,,50.9,2,2,93,23.4,67.0,12.8,11,14,0,7,1,3,3.2,431,7.1
Tom Brady,698,QB,NE,5,2.31,2.27,2.87,3.55,184,19,75.2,109,114,6.9,1.85,1,2,1.7,69.3,79,22,3.7,116,63.0,3,43,,86.3,80.2,81.3,78.3,,,2,0,123,9.1,100.8,1.7,2,0,0,2,5,2,1.6,721,6.3,54.9,51,58,13.4,3.1,0,3,4.5,43.1,25,37,10.7,68,37.0,3,16,,26.6,41.9,79.6,43.7,,54.5,3,2,77,21.6,55.3,11.8,8,2,0,4,1,5,6.5,361,6.2
