player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
Kyle Fuller,8649,CB,CHI,5,6,,6.0,6,0,39.6,0,1,0,0,0,0.0
Bradley McDougald,8220,S,TB,5,6,,6.0,30,0,39.6,0,1,0,0,0,0.0
Davon House,6283,CB,GB,3,3,,3.0,12,0,39.6,0,1,0,0,0,0.0
Henoc Muamba,9098,LB,IND,1,2,,2.0,14,0,39.6,0,1,0,0,0,0.0
Josh Thomas,6295,CB,NYJ,2,6,,6.0,22,0,39.6,0,1,0,0,0,0.0
Vinnie Sunseri,8802,S,NO,1,1,,1.0,20,0,39.6,0,1,0,0,0,0.0
Connor Barwin,4969,ED,PHI,8,9,,9.0,24,0,39.6,0,1,0,0,0,0.0
Will Hill III,6999,S,BLT,4,13,,6.5,3,0,39.6,0,2,0,0,0,0.0
Daryl Smith,1760,LB,BLT,1,2,,2.0,3,0,39.6,0,1,0,0,0,0.0
Courtney Upshaw,7039,ED,BLT,7,11,,11.0,3,0,39.6,0,1,0,0,0,0.0
Wesley Woodyard,4583,LB,TEN,8,14,,7.0,31,0,39.6,0,2,0,0,0,0.0
Bruce Carter,6192,LB,DAL,5,8,,8.0,9,0,39.6,0,1,0,0,0,0.0
Adam Jones,2223,CB,CIN,7,9,,9.0,7,0,39.6,0,1,0,0,0,0.0
Tahir Whitehead,7135,LB,DET,3,5,,2.5,11,0,39.6,0,2,0,0,0,0.0
Emmanuel Acho,7189,LB,PHI,2,4,,4.0,24,0,39.6,0,1,0,0,0,0.0
Brandon Carr,4454,CB,DAL,5,7,,7.0,9,0,39.6,0,1,0,0,0,0.0
Anthony Hitchens,8754,LB,DAL,4,6,,6.0,9,0,39.6,0,1,0,0,0,0.0
Jim Leonhard,2694,S,CLV,8,11,,11.0,8,0,39.6,0,1,0,0,0,0.0
Tyvon Branch,4414,S,OAK,3,9,,9.0,23,0,39.6,0,1,0,0,0,0.0
Terrence Brooks,8714,S,BLT,6,14,,7.0,3,0,39.6,0,2,0,0,0,0.0
Kamerion Wimbley,2958,ED,TEN,6,9,,9.0,31,0,39.6,0,1,0,0,0,0.0
Philip Wheeler,4407,LB,MIA,5,8,,8.0,17,0,39.6,0,1,0,0,0,0.0
Johnathan Joseph,2969,CB,HST,7,12,,6.0,13,0,39.6,0,2,0,0,0,0.0
Curtis Lofton,4351,LB,NO,4,4,,4.0,20,0,39.6,0,1,0,0,0,0.0
Dezmen Southward,8703,S,ATL,7,9,,9.0,2,0,39.6,0,1,0,0,0,0.0
Sean Richardson,7456,S,GB,5,5,,5.0,12,0,39.6,0,1,0,0,0,0.0
Josh Norman,7649,CB,CAR,5,5,,5.0,5,0,39.6,0,1,0,0,0,0.0
Usama Young,3682,S,OAK,2,8,,4.0,23,0,39.6,0,2,0,0,0,0.0
Blidi Wreh-Wilson,7851,CB,TEN,7,13,,6.5,31,0,39.6,0,2,0,0,0,0.0
Jelani Jenkins,7886,LB,MIA,7,16,,16.0,17,0,39.6,0,1,0,0,0,0.0
Michael Griffin,3635,S,TEN,11,32,,32.0,31,0,39.6,0,1,0,0,0,0.0
Ryan Shazier,8650,LB,PIT,3,4,,4.0,25,0,39.6,0,1,0,0,0,0.0
Rob Ninkovich,3080,ED,NE,7,6,,6.0,19,0,39.6,0,1,0,0,0,0.0
Josh Evans,7951,S,JAX,10,33,33.0,16.5,15,0,56.3,1,2,0,6,7,0.18
Eric Berry,5530,S,KC,6,29,29.0,5.8,16,0,39.6,1,5,0,7,2,0.24
George Wilson,2210,S,TEN,9,29,29.0,9.7,31,0,42.4,1,3,0,1,1,0.03
Shareece Wright,6241,CB,SD,7,29,29.0,7.3,27,0,55.2,1,4,0,27,0,0.93
Eric Reid,7799,S,SF,10,28,28.0,9.3,28,0,47.9,1,3,0,13,10,0.46
Alec Ogletree,7811,LB,SL,9,25,25.0,8.3,26,0,45.1,1,3,0,11,4,0.44
Stevie Brown,5773,S,NYG,6,24,24.0,24.0,21,0,118.8,1,1,0,18,1,0.75
Kurt Coleman,5767,S,KC,10,24,24.0,24.0,16,0,91.7,1,1,0,6,2,0.25
Sergio Brown,5803,S,IND,7,23,23.0,11.5,14,0,58.3,1,2,0,7,3,0.3
Kendrick Lewis,5659,S,HST,11,45,22.5,15.0,13,0,70.1,2,3,0,8,3,0.18
