player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
Tyvon Branch,4414,S,OAK,3,9,,9.0,23,0,39.6,0,1,0,0,0,0.0
Brandon Carr,4454,CB,DAL,10,26,,6.5,9,0,39.6,0,4,0,0,0,0.0
Brian Dixon,9146,CB,NO,2,5,,5.0,20,0,39.6,0,1,0,0,0,0.0
Henoc Muamba,9098,LB,IND,1,2,,2.0,14,0,39.6,0,1,0,0,0,0.0
Aldon Smith,6159,ED,SF,3,3,,3.0,28,0,39.6,0,1,0,0,0,0.0
Jason Babin,1748,ED,NYJ,5,5,,5.0,22,0,39.6,0,1,0,0,0,0.0
Daryl Smith,1760,LB,BLT,3,6,,6.0,3,0,39.6,0,1,0,0,0,0.0
Pierre Warren,8996,S,NO,5,11,,11.0,20,0,39.6,0,1,0,0,0,0.0
Jamell Fleming,7082,CB,KC,2,9,,9.0,16,0,39.6,0,1,0,0,0,0.0
Kamerion Wimbley,2958,ED,TEN,6,9,,9.0,31,0,39.6,0,1,0,0,0,0.0
Brandon Dixon,8830,CB,TB,3,3,,3.0,30,0,39.6,0,1,0,0,0,0.0
Larry Asante,5683,S,OAK,4,5,,5.0,23,0,39.6,0,1,0,0,0,0.0
Vinnie Sunseri,8802,S,NO,1,1,,1.0,20,0,39.6,0,1,0,0,0,0.0
Jelani Jenkins,7886,LB,MIA,9,20,,10.0,17,0,39.6,0,2,0,0,0,0.0
Josh Robinson,7068,CB,MIN,4,5,,5.0,18,0,39.6,0,1,0,0,0,0.0
Danny Trevathan,7177,LB,DEN,2,2,,2.0,10,0,39.6,0,1,0,0,0,0.0
Kemal Ishmael,8026,S,ATL,14,33,,33.0,2,0,39.6,0,1,0,0,0,0.0
Bruce Carter,6192,LB,DAL,9,15,,7.5,9,0,39.6,0,2,0,0,0,0.0
Brent Grimes,3589,CB,MIA,9,18,,9.0,17,0,39.6,0,2,0,0,0,0.0
C.J. Spillman,5370,S,DAL,2,4,,4.0,9,0,39.6,0,1,0,0,0,0.0
Emmanuel Acho,7189,LB,PHI,2,4,,4.0,24,0,39.6,0,1,0,0,0,0.0
Jamarca Sanford,5155,S,NO,2,6,,6.0,20,0,39.6,0,1,0,0,0,0.0
Josh Thomas,6295,CB,DET,2,6,,6.0,11,0,39.6,0,1,0,0,0,0.0
Pierre Desir,8762,CB,CLV,2,4,,4.0,8,0,39.6,0,1,0,0,0,0.0
Rashaan Melvin,8334,CB,BLT,3,9,,9.0,3,0,39.6,0,1,0,0,0,0.0
Connor Barwin,4969,ED,PHI,11,12,,12.0,24,0,39.6,0,1,0,0,0,0.0
Usama Young,3682,S,OAK,2,8,,4.0,23,0,39.6,0,2,0,0,0,0.0
Josh Norman,7649,CB,CAR,7,7,,3.5,5,0,39.6,0,2,0,0,0,0.0
Ryan Shazier,8650,LB,PIT,3,4,,4.0,25,0,39.6,0,1,0,0,0,0.0
