player,player_id,position,team_name,player_game_count,base_dropbacks,blitz_accuracy_percent,blitz_aimed_passes,blitz_attempts,blitz_avg_depth_of_target,blitz_avg_time_to_throw,blitz_bats,blitz_big_time_throws,blitz_btt_rate,blitz_completion_percent,blitz_completions,blitz_def_gen_pressures,blitz_drop_rate,blitz_dropbacks,blitz_dropbacks_percent,blitz_drops,blitz_first_downs,blitz_grades_coverage_defense,blitz_grades_defense,blitz_grades_defense_penalty,blitz_grades_hands_drop,blitz_grades_hands_fumble,blitz_grades_offense,blitz_grades_offense_penalty,blitz_grades_overall_tackle,blitz_grades_pass,blitz_grades_pass_route,blitz_grades_pass_rush_defense,blitz_grades_run,blitz_grades_tackle,blitz_hit_as_threw,blitz_interceptions,blitz_passing_snaps,blitz_pressure_to_sack_rate,blitz_qb_rating,blitz_sack_percent,blitz_sacks,blitz_scrambles,blitz_spikes,blitz_thrown_aways,blitz_touchdowns,blitz_turnover_worthy_plays,blitz_twp_rate,blitz_yards,blitz_ypa,declined_penalties,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,no_blitz_accuracy_percent,no_blitz_aimed_passes,no_blitz_attempts,no_blitz_avg_depth_of_target,no_blitz_avg_time_to_throw,no_blitz_bats,no_blitz_big_time_throws,no_blitz_btt_rate,no_blitz_completion_percent,no_blitz_completions,no_blitz_def_gen_pressures,no_blitz_drop_rate,no_blitz_dropbacks,no_blitz_dropbacks_percent,no_blitz_drops,no_blitz_first_downs,no_blitz_grades_coverage_defense,no_blitz_grades_defense,no_blitz_grades_defense_penalty,no_blitz_grades_hands_drop,no_blitz_grades_hands_fumble,no_blitz_grades_offense,no_blitz_grades_offense_penalty,no_blitz_grades_overall_tackle,no_blitz_grades_pass,no_blitz_grades_pass_route,no_blitz_grades_pass_rush_defense,no_blitz_grades_run,no_blitz_grades_tackle,no_blitz_hit_as_threw,no_blitz_interceptions,no_blitz_passing_snaps,no_blitz_pressure_to_sack_rate,no_blitz_qb_rating,no_blitz_sack_percent,no_blitz_sacks,no_blitz_scrambles,no_blitz_spikes,no_blitz_thrown_aways,no_blitz_touchdowns,no_blitz_turnover_worthy_plays,no_blitz_twp_rate,no_blitz_yards,no_blitz_ypa,no_pressure_accuracy_percent,no_pressure_aimed_passes,no_pressure_attempts,no_pressure_avg_depth_of_target,no_pressure_avg_time_to_throw,no_pressure_bats,no_pressure_big_time_throws,no_pressure_btt_rate,no_pressure_completion_percent,no_pressure_completions,no_pressure_def_gen_pressures,no_pressure_drop_rate,no_pressure_dropbacks,no_pressure_dropbacks_percent,no_pressure_drops,no_pressure_first_downs,no_pressure_grades_coverage_defense,no_pressure_grades_defense,no_pressure_grades_defense_penalty,no_pressure_grades_hands_drop,no_pressure_grades_hands_fumble,no_pressure_grades_offense,no_pressure_grades_offense_penalty,no_pressure_grades_overall_tackle,no_pressure_grades_pass,no_pressure_grades_pass_route,no_pressure_grades_pass_rush_defense,no_pressure_grades_run,no_pressure_grades_tackle,no_pressure_hit_as_threw,no_pressure_interceptions,no_pressure_passing_snaps,no_pressure_pressure_to_sack_rate,no_pressure_qb_rating,no_pressure_sack_percent,no_pressure_sacks,no_pressure_scrambles,no_pressure_spikes,no_pressure_thrown_aways,no_pressure_touchdowns,no_pressure_turnover_worthy_plays,no_pressure_twp_rate,no_pressure_yards,no_pressure_ypa,penalties,pressure_accuracy_percent,pressure_aimed_passes,pressure_attempts,pressure_avg_depth_of_target,pressure_avg_time_to_throw,pressure_bats,pressure_big_time_throws,pressure_btt_rate,pressure_completion_percent,pressure_completions,pressure_def_gen_pressures,pressure_drop_rate,pressure_dropbacks,pressure_dropbacks_percent,pressure_drops,pressure_first_downs,pressure_grades_coverage_defense,pressure_grades_defense,pressure_grades_defense_penalty,pressure_grades_hands_drop,pressure_grades_hands_fumble,pressure_grades_offense,pressure_grades_offense_penalty,pressure_grades_overall_tackle,pressure_grades_pass,pressure_grades_pass_route,pressure_grades_pass_rush_defense,pressure_grades_run,pressure_grades_tackle,pressure_hit_as_threw,pressure_interceptions,pressure_passing_snaps,pressure_pressure_to_sack_rate,pressure_qb_rating,pressure_sack_percent,pressure_sacks,pressure_scrambles,pressure_spikes,pressure_thrown_aways,pressure_touchdowns,pressure_turnover_worthy_plays,pressure_twp_rate,pressure_yards,pressure_ypa
Andrew Luck,7007,QB,IND,10,470,76.1,117,130,9.8,2.53,4,10,7.3,65.4,85,59,4.5,138,29.4,4,65,,,,,64.9,83.2,81.9,,79.7,,,77.9,,4,1,145,10.2,115.9,4.3,6,2,0,5,10,5,3.4,1150,8.8,0,14,74.0,79.7,78.5,64.2,74.8,282,302,8.3,2.9,6,15,4.7,62.3,188,99,10.9,332,70.6,23,118,,,,,82.6,75.6,55.3,,73.8,,,69.7,,3,9,349,9.1,92.3,2.7,9,21,0,11,18,14,4.0,2239,7.4,79.6,289,302,7.9,2.5,9,15,4.8,68.5,207,0,10.0,312,66.4,23,141,,,,,90.8,86.8,53.1,,82.3,,,90.8,,0,7,325,,108.9,0.0,0,10,0,4,23,13,4.0,2459,8.1,2,63.6,110,130,11.0,3.38,1,10,7.1,50.8,66,158,5.7,158,33.6,4,42,,,,,47.6,63.3,82.5,,64.4,,,52.9,,7,3,169,9.5,77.4,9.5,15,13,0,12,5,6,3.6,930,7.2
Ben Roethlisberger,1732,QB,PIT,11,450,74.7,99,100,9.8,2.29,0,9,8.7,72.0,72,45,2.7,110,24.4,2,46,,,,,85.8,90.4,81.0,,88.1,,,63.3,,0,2,113,20.0,109.9,8.2,9,1,0,1,6,3,2.7,867,8.7,0,25,41.3,89.6,90.3,29.0,76.6,299,313,8.8,2.53,3,20,6.0,67.1,210,80,8.3,340,75.6,19,115,,,,,43.1,87.5,85.5,,86.2,58.4,,44.1,,1,4,360,27.5,104.0,6.5,22,4,7,3,18,6,1.7,2414,7.7,75.8,310,321,8.4,2.16,3,20,6.0,67.3,216,0,8.1,325,72.2,19,118,,,,,86.0,90.8,85.3,,90.2,58.4,,45.1,,0,6,338,,96.8,0.0,0,3,7,1,16,5,1.5,2296,7.2,2,77.3,88,92,11.4,3.28,0,9,9.0,71.7,66,125,2.9,125,27.8,2,43,,,,,24.7,80.1,81.7,,78.3,,,62.1,,1,0,135,24.8,135.5,24.8,31,2,0,3,8,4,3.0,985,10.7
Drew Brees,802,QB,NO,10,438,76.7,90,101,8.6,2.35,5,5,4.6,63.4,64,46,7.2,107,24.4,5,39,,,,,85.9,85.1,81.1,,82.9,,,,,3,1,115,13.0,109.1,5.6,6,0,0,3,9,5,4.3,695,6.9,0,20,78.3,88.6,87.6,58.8,82.1,290,316,7.6,2.67,3,17,5.1,71.5,226,101,5.0,331,75.6,12,127,,,,,82.6,86.2,85.4,,84.4,,,59.8,,5,9,350,6.9,91.7,2.1,7,8,4,14,10,15,4.3,2376,7.5,82.4,278,288,7.4,2.32,4,14,4.7,76.0,219,0,4.4,291,66.4,10,122,,,,,90.7,90.9,84.8,,90.0,,,56.8,,0,4,304,,111.9,0.0,0,3,4,2,17,11,3.6,2250,7.8,3,76.5,102,129,9.2,3.13,4,8,5.7,55.0,71,147,9.0,147,33.6,7,44,,,,,66.5,73.5,82.3,,72.4,,,62.2,,8,6,161,8.8,60.3,8.8,13,5,0,15,2,9,5.6,821,6.4
Peyton Manning,327,QB,DEN,10,418,65.0,103,105,9.3,2.14,1,3,2.8,58.1,61,33,9.0,108,25.8,6,40,,,,,85.6,48.9,2.7,,50.4,,,,,0,5,110,9.1,91.1,2.8,3,0,0,1,9,9,8.2,802,7.6,2,10,91.5,79.0,78.0,60.9,77.9,290,302,8.2,2.32,7,20,6.2,70.2,212,61,6.2,310,74.2,14,120,,,,,90.9,89.9,85.2,,87.1,,,66.1,,0,4,334,11.5,112.8,2.3,7,1,2,3,21,10,3.0,2504,8.3,79.1,316,324,8.0,2.11,6,20,5.8,71.9,233,0,6.8,324,77.5,17,137,,,,,90.9,90.9,85.3,,89.7,,,,,0,6,346,,114.1,0.0,0,0,2,0,23,10,2.9,2811,8.7,4,55.8,77,83,10.5,2.84,2,3,3.5,48.2,40,94,7.0,94,22.5,3,23,,,,,84.8,37.7,0.0,,39.1,,,66.1,,0,3,98,10.6,80.1,10.6,10,1,0,4,7,9,9.2,495,6.0
Matt Ryan,4317,QB,ATL,10,415,73.6,91,94,8.8,2.38,1,7,7.1,60.6,57,51,14.9,106,25.5,10,42,,,,,57.1,75.5,80.9,,73.8,,,64.6,,2,2,110,15.7,109.7,7.5,8,4,0,0,9,5,4.5,767,8.2,1,2,66.9,86.2,84.4,59.4,77.8,266,287,8.0,2.69,4,9,2.9,66.9,192,104,7.2,309,74.5,15,104,,,,,69.6,85.9,85.2,,84.5,,,56.0,,3,6,331,11.5,87.8,3.9,12,10,5,9,8,5,1.5,2026,7.1,80.8,245,256,7.5,2.28,4,10,3.7,70.7,181,0,8.6,260,62.7,17,99,,,,,90.5,92.9,84.4,,91.7,,,69.1,,0,4,273,,106.3,0.0,0,4,5,2,15,4,1.5,1980,7.7,1,67.9,112,125,9.7,3.16,1,6,4.4,54.4,68,155,10.5,155,37.3,8,47,,,,,29.4,58.4,82.5,,59.3,,,53.2,,5,4,168,12.9,66.5,12.9,20,10,0,7,2,6,3.6,813,6.5
Matthew Stafford,4924,QB,DET,10,412,74.2,62,66,8.6,2.37,1,4,5.3,65.2,43,33,6.5,74,18.0,3,29,,,,,83.7,71.5,79.8,,69.6,,,64.0,,1,0,83,21.2,102.5,9.5,7,1,0,2,2,1,1.2,570,8.6,0,11,71.2,63.5,63.2,54.2,73.2,276,303,8.2,2.64,4,11,3.4,60.4,183,100,9.4,338,82.0,19,97,,,,,63.2,59.7,85.5,,60.4,,,48.8,,2,9,356,24.0,81.0,7.1,24,10,3,18,11,11,3.1,2099,6.9,77.0,265,272,6.8,2.25,2,7,2.5,68.8,187,0,8.3,279,67.7,17,100,,,,,90.6,70.8,84.7,,70.5,,,50.8,,0,7,292,,88.3,0.0,0,6,3,2,7,6,2.1,2025,7.4,2,60.3,73,97,13.6,3.31,3,8,7.2,40.2,39,133,11.4,133,32.3,5,26,,,,,29.3,47.9,82.0,,48.3,,,59.0,,3,2,147,23.3,75.3,23.3,31,5,0,18,6,6,4.1,644,6.6
Jay Cutler,2956,QB,CHI,10,412,73.3,86,92,8.8,2.41,3,4,3.9,65.2,60,44,4.8,107,26.0,3,46,,,,,31.5,54.1,7.3,,53.9,,,69.2,,2,4,118,27.3,99.4,11.2,12,3,0,1,7,8,6.8,788,8.6,0,6,29.9,63.3,62.9,57.7,75.0,268,281,7.6,2.61,3,9,3.0,67.6,190,80,5.5,305,74.0,11,94,,,,,56.1,67.9,85.1,,66.7,,,65.4,,2,8,324,13.8,91.5,3.6,11,12,0,8,14,13,4.0,1907,6.8,75.3,271,279,7.3,2.33,4,8,2.7,69.2,193,0,5.4,288,69.9,11,100,,,,,80.7,65.3,84.9,,64.0,,,68.1,,0,8,309,,92.2,0.0,0,8,0,4,12,12,3.9,2012,7.2,3,72.3,83,94,9.8,3.09,2,5,4.9,60.6,57,124,5.0,124,30.1,3,40,,,,,23.7,59.9,14.6,,59.6,,,65.2,,4,4,133,18.5,97.1,18.5,23,7,0,5,9,9,6.8,683,7.3
Eli Manning,1722,QB,NYG,10,392,69.3,114,126,9.7,2.23,3,3,2.2,57.9,73,39,7.6,133,33.9,6,46,,,,,63.8,64.4,81.9,,63.9,,,59.1,,1,2,143,12.8,89.1,3.8,5,2,0,8,8,5,3.5,732,5.8,0,21,67.9,67.1,66.1,57.9,73.5,226,240,9.1,2.63,1,5,2.0,62.9,151,75,9.0,259,66.1,15,88,,,,,67.9,66.6,84.4,,66.0,,,57.5,,1,9,275,20.0,83.4,5.8,15,4,1,11,10,11,4.0,1763,7.3,77.5,267,273,9.0,2.27,3,6,2.1,70.0,191,0,7.7,278,70.9,16,109,,,,,83.6,85.4,84.6,,83.6,,,55.0,,0,6,291,,98.7,0.4,1,4,1,2,13,4,1.4,2068,7.6,2,52.1,73,93,10.2,3.02,1,2,1.9,35.5,33,114,13.2,114,29.1,5,25,,,,,34.2,28.1,81.4,,28.7,,,62.0,,2,5,127,16.7,46.3,16.7,19,2,0,17,5,12,9.4,427,4.6
Derek Carr,8671,QB,OAK,10,390,63.0,100,111,8.7,2.46,7,5,4.2,49.5,55,53,12.7,118,30.3,8,28,,,,,86.6,49.8,11.8,,51.7,,,53.8,,1,4,127,9.4,60.3,4.2,5,2,0,3,4,8,6.3,531,4.8,1,23,57.5,56.2,58.2,38.6,74.7,237,260,8.1,2.65,4,5,1.9,64.2,167,75,5.6,272,69.7,10,80,,,,,55.3,61.7,84.6,,62.3,59.9,,48.3,,4,5,283,8.0,83.9,2.2,6,6,5,10,9,11,3.9,1544,5.9,75.4,244,258,7.4,2.3,6,6,2.2,65.1,168,0,8.7,262,67.2,16,76,,,,,78.3,68.5,84.4,,67.7,,,58.6,,0,5,272,,82.9,0.4,1,3,5,3,8,9,3.3,1506,5.8,7,60.2,93,113,10.7,3.18,5,4,3.3,47.8,54,128,3.6,128,32.8,2,32,,,,,46.8,38.6,17.2,,42.3,59.9,,43.7,,5,4,138,7.8,62.9,7.8,10,5,0,10,5,10,7.2,569,5.0
Ryan Tannehill,7014,QB,MIA,10,386,74.2,97,108,7.1,2.49,4,3,2.7,62.0,67,56,6.9,116,30.1,5,41,,,,,86.4,66.0,9.9,,66.6,,,57.9,,1,1,123,12.5,102.1,6.0,7,1,0,6,8,5,4.1,712,6.6,0,17,60.0,71.2,73.3,42.9,76.7,232,245,8.3,2.67,7,8,3.1,66.9,164,80,7.9,270,69.9,14,97,,,,,41.0,71.5,84.6,,74.0,58.4,,27.7,,1,6,285,22.5,88.0,6.7,18,7,1,4,9,12,4.2,1653,6.7,81.8,236,247,6.7,2.28,10,4,1.6,72.1,178,0,7.8,250,64.8,15,102,,,,,81.7,80.3,84.2,,79.3,58.4,,50.2,,0,5,259,,99.3,0.0,0,3,1,0,12,7,2.7,1742,7.1,2,61.3,93,106,11.1,3.24,1,7,6.0,50.0,53,136,7.0,136,35.2,4,36,,,,,28.1,52.4,20.9,,58.5,,,27.5,,2,2,149,18.4,76.1,18.4,25,5,0,10,5,10,6.7,623,5.9
