player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
Khari Willis,51304,S,IND,7,23,,11.5,14,0,39.6,0,2,0,0,0,0.0
Breon Borders,39398,CB,ARZ,2,5,,5.0,1,0,39.6,0,1,0,0,0,0.0
Greedy Williams,43254,CB,CLV,2,4,,2.0,8,0,39.6,0,2,0,0,0,0.0
Damar Hamlin,43291,S,BUF,3,6,,3.0,4,0,39.6,0,2,0,0,0,0.0
Robert Quinn,6166,ED,CHI,7,8,,8.0,6,0,39.6,0,1,0,0,0,0.0
Jaycee Horn,83375,CB,CAR,3,28,,14.0,5,1,0.0,0,2,0,0,0,0.0
Robert Jackson,28990,CB,BLT,1,4,,4.0,3,0,39.6,0,1,0,0,0,0.0
Jermaine Carter,28838,LB,CAR,7,17,,17.0,5,0,39.6,0,1,0,0,0,0.0
Anthony Nelson,48405,ED,TB,6,4,,4.0,30,0,39.6,0,1,0,0,0,0.0
Jackrabbit Jenkins,7043,CB,TEN,8,19,,9.5,31,0,39.6,0,2,0,0,0,0.0
Zaven Collins,77190,LB,ARZ,3,5,,2.5,1,0,39.6,0,2,0,0,0,0.0
Kevin Minter,7826,LB,TB,3,7,,3.5,30,0,39.6,0,2,0,0,0,0.0
Mykal Walker,57834,LB,ATL,2,7,,7.0,2,0,39.6,0,1,0,0,0,0.0
Teez Tabor,11808,S,CHI,2,3,,3.0,6,0,39.6,0,1,0,0,0,0.0
Rashaan Melvin,8334,CB,CAR,5,6,,6.0,5,0,39.6,0,1,0,0,0,0.0
Tony Jefferson,8361,S,BLT,1,6,,6.0,3,0,39.6,0,1,0,0,0,0.0
Jason McCourty,5127,S,MIA,6,22,,11.0,17,0,39.6,0,2,0,0,0,0.0
Sharrod Neasman,11050,S,NYJ,4,18,,18.0,22,0,39.6,0,1,0,0,0,0.0
Matthias Farley,10953,S,TEN,2,4,,4.0,31,0,39.6,0,1,0,0,0,0.0
Terrence Brooks,8714,S,HST,4,5,,5.0,13,0,39.6,0,1,0,0,0,0.0
Kevon Seymour,10852,CB,BLT,3,26,,13.0,3,0,39.6,0,2,0,0,0,0.0
Thomas Graham Jr.,55685,CB,CHI,1,2,,2.0,6,0,39.6,0,1,0,0,0,0.0
Tre Brown,55677,CB,SEA,2,4,,4.0,29,0,39.6,0,1,0,0,0,0.0
Terrance Mitchell,8888,CB,HST,7,10,,10.0,13,0,39.6,0,1,0,0,0,0.0
Robert Spillane,50918,LB,PIT,4,6,,3.0,25,0,39.6,0,2,0,0,0,0.0
Shaquille Quarterman,51048,LB,JAX,2,2,,2.0,15,0,39.6,0,1,0,0,0,0.0
Karl Joseph,10648,S,PIT,1,6,,6.0,25,0,39.6,0,1,0,0,0,0.0
Steven Parker,51220,S,NYG,2,5,,5.0,21,0,39.6,0,1,0,0,0,0.0
Anthony Chesley,54369,CB,IND,2,6,,6.0,14,0,39.6,0,1,0,0,0,0.0
Roderic Teamer,51405,S,LV,4,5,,2.5,23,0,39.6,0,2,0,0,0,0.0
Markus Golden,9491,ED,ARZ,4,5,,5.0,1,0,39.6,0,1,0,0,0,0.0
David Long Jr.,27377,CB,LA,4,47,47.0,11.8,26,0,44.8,1,4,0,17,20,0.36
Buster Skrine,6289,CB,TEN,3,46,46.0,7.7,31,1,0.0,1,6,0,3,3,0.07
Jaylinn Hawkins,51423,S,ATL,11,42,42.0,21.0,2,0,135.4,1,2,1,27,17,0.64
Sean Chandler,51315,S,CAR,12,41,41.0,41.0,5,0,104.2,1,1,0,9,5,0.22
Dean Marlowe,9966,S,DET,7,40,40.0,13.3,11,0,42.4,1,3,0,1,1,0.03
Rodney McLeod,7271,S,PHI,9,34,34.0,11.3,24,0,42.4,1,3,0,7,0,0.21
Devin McCourty,5552,S,NE,11,31,31.0,10.3,19,0,47.9,1,3,0,13,3,0.42
Juston Burris,10752,S,CAR,8,59,29.5,19.7,5,0,99.3,2,3,0,30,12,0.51
Darious Williams,55724,CB,LA,6,59,29.5,11.8,26,0,50.4,2,5,0,18,5,0.31
Anthony Brown,10823,CB,DAL,14,54,27.0,10.8,9,0,47.9,2,5,0,14,8,0.26
K.J. Wright,6251,LB,LV,12,27,27.0,27.0,23,0,95.8,1,1,0,7,15,0.26
Budda Baker,11791,S,ARZ,13,53,26.5,17.7,1,0,103.5,2,3,0,33,4,0.62
Jevon Holland,83873,S,MIA,11,25,25.0,8.3,17,0,42.4,1,3,0,3,5,0.12
Ernest Jones,81399,LB,LA,9,25,25.0,8.3,26,0,49.3,1,3,0,14,8,0.56
Cameron Lewis,49395,CB,BUF,2,23,23.0,11.5,4,0,56.3,1,2,0,3,6,0.13
Cameron Dantzler,42472,CB,MIN,8,23,23.0,5.8,18,1,0.0,1,4,0,2,0,0.09
