player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
Orlando Brown Jr.,46227,T,KC,7,3,16,66.5,10,9,336,100.0,100.0,96.3,3,22,3,361,361,54.1,7,7,147,100.0,100.0,93.2,17,3,164,164
Creed Humphrey,59996,C,KC,7,1,16,67.6,1,3,336,100.0,100.0,99.1,1,5,1,361,361,57.0,0,3,147,100.0,100.0,98.3,4,1,164,164
Trey Smith,62960,G,KC,7,0,16,62.9,1,13,336,100.0,100.0,96.7,0,18,4,361,361,54.6,0,10,147,100.0,100.0,93.9,14,4,164,164
Joe Thuney,10712,G,KC,7,1,16,79.1,0,9,336,100.0,100.0,98.7,2,9,0,361,361,73.9,0,8,147,100.0,100.0,97.3,8,0,164,164
Tristan Wirfs,64818,T,TB,7,1,30,79.5,1,6,322,100.0,100.0,98.9,1,7,0,336,336,78.2,0,4,129,100.0,100.0,98.4,4,0,133,133
Alex Cappa,66578,G,TB,7,0,30,65.2,4,9,322,100.0,100.0,97.7,0,14,1,336,336,52.3,2,9,129,100.0,100.0,95.7,11,0,133,133
Robert Hunt,46139,G,MIA,7,1,17,63.4,2,15,312,100.0,100.0,97.0,2,18,1,333,333,62.3,0,10,125,100.0,100.0,95.2,11,1,136,136
Ryan Jensen,7985,C,TB,7,1,30,55.9,2,6,319,100.0,100.0,98.4,2,9,1,331,331,44.4,1,5,128,100.0,100.0,96.9,7,1,132,132
Ali Marpet,9494,G,TB,7,0,30,71.0,0,10,317,100.0,100.0,98.4,0,10,0,329,329,63.1,0,7,127,100.0,100.0,97.2,7,0,131,131
Donovan Smith,9467,T,TB,7,0,30,83.6,2,10,317,100.0,100.0,97.8,1,13,1,329,329,72.2,2,8,127,100.0,100.0,96.1,10,0,131,131
Will Hernandez,46180,G,NYG,7,1,21,66.6,0,10,299,100.0,100.0,97.7,2,12,2,325,325,54.4,0,7,126,100.0,100.0,95.6,9,2,136,136
