player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
Joe Thuney,10712,G,KC,6,1,16,81.2,0,7,275,100.0,100.0,98.7,2,7,0,297,297,78.1,0,6,110,100.0,100.0,97.3,6,0,124,124
Creed Humphrey,59996,C,KC,6,1,16,68.2,1,2,275,100.0,100.0,99.1,1,4,1,297,297,53.2,0,2,110,100.0,100.0,98.2,3,1,124,124
Orlando Brown Jr.,46227,T,KC,6,3,16,64.1,7,9,275,100.0,100.0,96.7,3,17,1,297,297,51.4,4,7,110,100.0,100.0,94.1,12,1,124,124
Trey Smith,62960,G,KC,6,0,16,60.5,1,11,275,100.0,100.0,97.1,0,14,2,297,297,49.8,0,8,110,100.0,100.0,94.5,10,2,124,124
Tristan Wirfs,64818,T,TB,6,1,30,79.9,1,5,283,100.0,100.0,98.9,1,6,0,295,295,75.8,0,4,111,100.0,100.0,98.2,4,0,114,114
Alex Cappa,66578,G,TB,6,0,30,61.4,4,9,283,100.0,100.0,97.3,0,14,1,295,295,45.5,2,9,111,100.0,100.0,95.0,11,0,114,114
Ryan Jensen,7985,C,TB,6,1,30,60.7,1,6,280,100.0,100.0,98.4,2,8,1,290,290,47.5,1,5,110,100.0,100.0,96.4,7,1,113,113
Donovan Smith,9467,T,TB,6,0,30,82.7,2,9,280,100.0,100.0,97.7,1,12,1,290,290,72.1,2,7,110,100.0,100.0,95.9,9,0,113,113
Ali Marpet,9494,G,TB,6,0,30,71.7,0,9,280,100.0,100.0,98.4,0,9,0,290,290,59.9,0,6,110,100.0,100.0,97.3,6,0,113,113
Matt Feiler,9289,G,LAC,6,0,27,51.3,4,5,266,100.0,100.0,97.2,0,12,3,288,288,35.2,2,3,103,100.0,100.0,96.6,6,1,114,114
