team_name,franchise_id,player_game_count,attempts,hits_allowed,hurries_allowed,pass_snaps,pbe,pressures_allowed,sacks_allowed
TB,30,18,803,20,96,803,90.3,136,20
DAL,9,18,757,26,110,757,89.0,151,15
PIT,25,18,751,28,93,751,88.5,147,26
NE,19,18,621,26,79,621,88.3,125,20
LAC,27,17,740,31,109,740,87.7,161,21
KC,16,18,799,31,128,799,87.7,178,19
GB,12,17,645,26,102,645,87.3,146,18
JAX,15,17,667,29,107,667,87.1,154,18
ARZ,1,18,704,10,132,704,86.8,164,22
LA,26,18,669,24,94,669,86.7,148,30
SF,28,18,588,26,92,588,86.7,137,19
BUF,4,18,765,34,139,765,86.7,188,15
BLT,3,17,737,22,132,737,86.4,177,23
HST,13,17,612,18,106,612,86.3,146,22
CLV,8,17,597,14,103,597,86.2,141,24
PHI,24,18,626,22,132,626,85.8,166,12
DET,11,17,635,38,123,635,84.5,179,18
NO,20,17,579,26,119,579,84.5,162,17
MIN,18,17,652,36,138,652,84.4,189,15
WAS,32,17,635,25,122,635,84.0,175,28
CIN,7,18,664,33,119,664,84.0,182,30
DEN,10,17,602,32,105,602,84.0,165,28
NYJ,22,17,680,30,151,680,83.7,201,20
NYG,21,17,662,35,127,662,83.5,190,28
LV,23,18,743,43,151,743,83.2,222,28
CHI,6,17,658,24,143,658,83.2,194,27
SEA,29,17,571,31,120,571,82.6,175,24
CAR,5,17,679,35,151,679,82.3,213,27
ATL,2,17,629,50,123,629,82.0,200,27
IND,14,17,580,43,130,580,81.5,194,21
TEN,31,17,600,43,110,600,81.4,188,35
MIA,17,17,688,30,181,688,81.2,235,24
