player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
DeSean Jackson,4363,WR,LV,1,0,,0,0,23,,60.0,60.0,,60.0,,,0,0,1,1,0.0,0,0
Calais Campbell,4364,DI,BLT,10,10,1.9,1,0,3,70.4,85.5,86.5,73.2,81.0,44.7,8.8,3,1,133,134,12.0,16,21
Malcolm Jenkins,4937,S,NO,10,9,5.9,0,0,20,66.5,70.4,86.7,59.1,74.8,63.7,11.1,3,1,237,243,3.0,7,15
Jason McCourty,5127,S,MIA,6,3,12.4,0,0,17,73.5,72.1,81.7,54.5,59.2,60.8,28.6,4,0,114,118,0.0,0,7
Steve McLendon,5232,DI,TB,7,0,4.0,0,0,30,65.2,58.2,81.0,55.3,53.1,27.9,50.0,1,0,39,41,2.6,1,1
Ndamukong Suh,5527,DI,TB,10,4,0.6,0,0,30,57.6,51.2,53.0,54.4,54.8,46.9,18.2,2,2,101,104,5.0,5,5
Gerald McCoy,5528,DI,LV,1,0,,0,0,23,,48.2,73.2,55.2,53.3,,,0,0,4,4,0.0,0,0
Joe Haden,5532,CB,PIT,8,5,8.2,0,0,25,66.8,64.2,84.2,,48.3,31.3,31.3,5,0,171,174,1.2,2,6
Tyson Alualu,5535,DI,PIT,2,2,2.7,0,0,25,,59.7,78.7,59.4,58.2,40.8,16.7,1,0,17,17,5.9,1,3
Brandon Graham,5538,ED,PHI,2,0,0.5,0,0,24,,62.6,79.9,60.6,61.0,25.6,50.0,2,0,18,18,5.6,1,2
Jason Pierre-Paul,5540,ED,TB,8,4,0.0,0,0,30,69.0,52.0,39.0,55.4,48.0,64.2,0.0,0,3,112,113,4.5,5,5
Kareem Jackson,5545,S,DEN,10,8,6.2,0,0,10,57.1,59.5,92.5,61.0,62.3,54.3,18.4,7,0,220,231,3.6,8,23
Devin McCourty,5552,S,NE,11,4,12.7,0,0,19,69.9,70.8,85.9,52.4,68.2,72.0,12.5,2,0,246,252,0.0,0,10
Jerry Hughes,5556,ED,BUF,10,0,1.0,1,1,4,57.0,81.6,35.8,90.1,57.8,26.7,40.0,2,3,107,108,2.8,3,3
Linval Joseph,5571,DI,LAC,9,9,3.2,1,0,27,60.0,64.9,68.3,85.8,50.3,62.2,4.5,2,1,213,220,9.4,20,33
Carlos Dunlap,5579,ED,SEA,10,3,3.2,0,0,29,53.7,67.5,71.1,62.7,76.3,80.2,0.0,0,1,89,91,7.9,7,13
Corey Peters,5607,DI,ARZ,8,1,2.8,0,0,1,57.2,51.5,83.6,69.6,42.2,73.4,0.0,0,0,91,95,5.5,5,8
Everson Griffen,5624,ED,MIN,9,3,5.0,0,0,18,60.9,63.7,4.7,79.0,46.0,28.0,40.0,4,7,135,140,1.5,2,3
Al Woods,5646,DI,SEA,10,8,1.8,0,0,29,59.0,74.9,67.9,64.7,75.7,48.6,10.3,3,1,190,196,7.9,15,18
Anthony Levine,6013,S,BLT,1,0,,0,0,3,,60.0,60.0,,60.0,,,0,0,1,1,0.0,0,0
