player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
DeAndre Hopkins,7808,WR,HST,15,14.0,4,58.5,31.3,15,48,1,5.0,5,69,13,1,80.4,57.1,90.2,,90.3,0.0,0,6,72,0.0,0,631,6,96,91.3,576,15.7,99,97.1,164,13,84.0,530,1378,346,3.6,14.4,2.39
Antonio Brown,5718,WR,PIT,14,14.4,12,65.2,51.2,22,43,0,4.7,5,69,25,3,77.4,28.2,91.2,,91.3,0.2,1,6,57,0.0,0,575,6,101,92.9,534,13.4,77,100.8,155,9,86.4,497,1533,475,4.7,15.2,2.87
Jarvis Landry,8698,WR,MIA,15,6.4,16,70.5,44.4,12,27,1,5.5,6,53,17,3,78.2,28.4,78.4,62.2,78.9,0.7,4,4,49,0.2,1,592,5,103,95.6,566,64.5,382,93.3,146,8,34.3,203,895,462,4.5,8.7,1.58
Larry Fitzgerald,1724,WR,ARZ,15,8.7,9,71.6,48.6,17,35,1,3.8,4,62,1,1,90.1,58.5,79.1,72.6,78.3,1.2,8,1,37,0.3,2,664,2,101,92.8,616,61.7,410,105.5,141,6,36.7,244,1101,400,4.0,10.9,1.79
Keenan Allen,7857,WR,LAC,15,9.9,12,68.9,50.0,13,26,2,9.7,10,68,27,1,54.2,56.2,88.2,67.4,87.8,0.2,1,2,51,0.4,2,545,5,93,93.8,511,49.7,271,104.6,135,5,49.5,270,1260,461,5.0,13.5,2.47
Julio Jones,6158,WR,ATL,15,14.8,12,62.4,35.9,14,39,1,7.8,7,62,2,0,62.0,82.5,91.8,,91.7,0.0,0,3,53,0.0,0,449,2,83,95.3,428,22.7,102,94.9,133,3,77.3,347,1364,448,5.4,16.4,3.19
Michael Thomas,10681,WR,NO,15,10.0,13,74.8,56.3,18,32,1,2.0,2,67,20,0,90.6,83.5,90.2,,90.5,0.0,0,3,35,0.0,0,515,4,98,95.1,490,22.9,118,104.2,131,5,77.1,397,1151,413,4.2,11.7,2.35
Adam Thielen,8288,WR,MIN,15,11.3,7,66.4,51.9,14,27,0,5.6,5,54,18,3,76.5,26.0,82.8,66.8,80.5,0.9,5,1,65,0.4,2,559,4,85,92.5,517,50.6,283,104.1,128,4,48.3,270,1215,412,4.8,14.3,2.35
Demaryius Thomas,5547,WR,DEN,15,10.7,8,60.2,60.7,17,28,0,11.5,10,48,10,1,41.6,51.1,72.6,,71.5,0.2,1,9,40,0.0,0,561,3,77,93.2,523,17.6,99,62.4,128,4,81.8,459,892,266,3.5,11.6,1.71
A.J. Green,6156,WR,CIN,15,14.3,8,58.9,47.5,19,40,0,6.4,5,54,7,2,70.9,27.6,84.2,,84.7,0.0,0,7,77,0.0,0,496,4,73,95.6,474,13.7,68,84.8,124,8,86.1,427,1061,285,3.9,14.5,2.24
Mike Evans,8642,WR,TB,14,14.4,2,55.5,44.4,20,45,2,4.3,3,52,30,1,80.5,81.2,79.6,,79.2,0.0,0,3,42,0.0,0,575,6,66,93.7,539,21.0,121,84.9,119,5,79.0,454,946,107,1.6,14.3,1.76
Dez Bryant,5549,WR,DAL,15,12.3,13,55.9,36.8,14,38,0,14.3,11,42,9,1,29.1,46.4,72.6,,71.6,0.0,0,5,50,0.0,0,535,1,66,91.4,489,22.8,122,76.7,118,6,77.2,413,814,269,4.1,12.3,1.66
Travis Kelce,7844,TE,KC,15,9.5,16,70.9,40.0,6,15,0,7.8,7,55,16,0,64.4,82.7,82.5,49.7,86.3,28.6,163,3,44,5.6,32,569,5,83,89.8,511,46.4,264,110.3,117,8,23.7,135,1038,420,5.1,12.5,2.03
Alshon Jeffery,7048,WR,PHI,15,14.8,2,50.5,40.4,19,47,2,5.1,3,44,24,0,76.6,80.4,74.6,,75.4,0.0,0,0,53,0.0,0,574,7,56,93.9,539,16.0,92,100.5,111,9,84.0,482,781,200,3.6,13.9,1.45
Golden Tate,5585,WR,DET,15,6.4,21,77.3,57.1,8,14,0,4.5,4,40,11,1,80.9,56.8,81.4,,80.9,0.2,1,5,45,0.0,0,542,2,85,92.6,502,78.6,426,93.7,110,4,21.2,115,899,546,6.4,10.6,1.79
Davante Adams,8688,WR,GB,14,10.0,14,68.5,45.5,10,22,0,6.3,5,45,12,0,65.0,81.6,80.5,,79.4,0.4,2,1,55,0.0,0,538,0,74,93.7,504,19.1,103,120.3,108,10,80.5,433,885,345,4.7,12.0,1.76
Evan Engram,11778,TE,NYG,15,9.0,9,59.3,41.9,13,31,1,14.7,11,37,21,0,29.8,81.2,62.1,77.4,65.7,61.2,335,4,35,3.5,19,547,7,64,91.0,498,25.0,137,82.4,108,6,12.8,70,722,303,4.7,11.3,1.45
Robby Anderson,11254,WR,NYJ,15,13.8,5,57.4,32.0,8,25,0,8.8,6,36,22,0,59.7,80.8,72.0,,73.6,0.0,0,5,69,0.0,0,500,2,62,94.4,472,28.2,141,88.5,108,7,71.4,357,939,285,4.6,15.1,1.99
Doug Baldwin,6615,WR,SEA,15,12.9,8,66.4,22.7,5,22,0,1.4,1,40,29,0,90.4,81.5,82.4,79.6,81.4,4.1,23,4,54,0.9,5,565,2,71,90.1,509,72.7,411,95.6,107,6,22.8,129,901,255,3.6,12.7,1.77
