player,player_id,position,team_name,player_game_count,base_dropbacks,blitz_accuracy_percent,blitz_aimed_passes,blitz_attempts,blitz_avg_depth_of_target,blitz_avg_time_to_throw,blitz_bats,blitz_big_time_throws,blitz_btt_rate,blitz_completion_percent,blitz_completions,blitz_def_gen_pressures,blitz_drop_rate,blitz_dropbacks,blitz_dropbacks_percent,blitz_drops,blitz_first_downs,blitz_grades_coverage_defense,blitz_grades_defense,blitz_grades_defense_penalty,blitz_grades_hands_drop,blitz_grades_hands_fumble,blitz_grades_offense,blitz_grades_offense_penalty,blitz_grades_overall_tackle,blitz_grades_pass,blitz_grades_pass_route,blitz_grades_run,blitz_grades_tackle,blitz_hit_as_threw,blitz_interceptions,blitz_passing_snaps,blitz_pressure_to_sack_rate,blitz_qb_rating,blitz_sack_percent,blitz_sacks,blitz_scrambles,blitz_spikes,blitz_thrown_aways,blitz_touchdowns,blitz_turnover_worthy_plays,blitz_twp_rate,blitz_yards,blitz_ypa,declined_penalties,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,no_blitz_accuracy_percent,no_blitz_aimed_passes,no_blitz_attempts,no_blitz_avg_depth_of_target,no_blitz_avg_time_to_throw,no_blitz_bats,no_blitz_big_time_throws,no_blitz_btt_rate,no_blitz_completion_percent,no_blitz_completions,no_blitz_def_gen_pressures,no_blitz_drop_rate,no_blitz_dropbacks,no_blitz_dropbacks_percent,no_blitz_drops,no_blitz_first_downs,no_blitz_grades_coverage_defense,no_blitz_grades_defense,no_blitz_grades_defense_penalty,no_blitz_grades_hands_drop,no_blitz_grades_hands_fumble,no_blitz_grades_offense,no_blitz_grades_offense_penalty,no_blitz_grades_overall_tackle,no_blitz_grades_pass,no_blitz_grades_pass_route,no_blitz_grades_run,no_blitz_grades_tackle,no_blitz_hit_as_threw,no_blitz_interceptions,no_blitz_passing_snaps,no_blitz_pressure_to_sack_rate,no_blitz_qb_rating,no_blitz_sack_percent,no_blitz_sacks,no_blitz_scrambles,no_blitz_spikes,no_blitz_thrown_aways,no_blitz_touchdowns,no_blitz_turnover_worthy_plays,no_blitz_twp_rate,no_blitz_yards,no_blitz_ypa,no_pressure_accuracy_percent,no_pressure_aimed_passes,no_pressure_attempts,no_pressure_avg_depth_of_target,no_pressure_avg_time_to_throw,no_pressure_bats,no_pressure_big_time_throws,no_pressure_btt_rate,no_pressure_completion_percent,no_pressure_completions,no_pressure_def_gen_pressures,no_pressure_drop_rate,no_pressure_dropbacks,no_pressure_dropbacks_percent,no_pressure_drops,no_pressure_first_downs,no_pressure_grades_coverage_defense,no_pressure_grades_defense,no_pressure_grades_defense_penalty,no_pressure_grades_hands_drop,no_pressure_grades_hands_fumble,no_pressure_grades_offense,no_pressure_grades_offense_penalty,no_pressure_grades_overall_tackle,no_pressure_grades_pass,no_pressure_grades_pass_route,no_pressure_grades_run,no_pressure_grades_tackle,no_pressure_hit_as_threw,no_pressure_interceptions,no_pressure_passing_snaps,no_pressure_pressure_to_sack_rate,no_pressure_qb_rating,no_pressure_sack_percent,no_pressure_sacks,no_pressure_scrambles,no_pressure_spikes,no_pressure_thrown_aways,no_pressure_touchdowns,no_pressure_turnover_worthy_plays,no_pressure_twp_rate,no_pressure_yards,no_pressure_ypa,penalties,pressure_accuracy_percent,pressure_aimed_passes,pressure_attempts,pressure_avg_depth_of_target,pressure_avg_time_to_throw,pressure_bats,pressure_big_time_throws,pressure_btt_rate,pressure_completion_percent,pressure_completions,pressure_def_gen_pressures,pressure_drop_rate,pressure_dropbacks,pressure_dropbacks_percent,pressure_drops,pressure_first_downs,pressure_grades_coverage_defense,pressure_grades_defense,pressure_grades_defense_penalty,pressure_grades_hands_drop,pressure_grades_hands_fumble,pressure_grades_offense,pressure_grades_offense_penalty,pressure_grades_overall_tackle,pressure_grades_pass,pressure_grades_pass_route,pressure_grades_run,pressure_grades_tackle,pressure_hit_as_threw,pressure_interceptions,pressure_passing_snaps,pressure_pressure_to_sack_rate,pressure_qb_rating,pressure_sack_percent,pressure_sacks,pressure_scrambles,pressure_spikes,pressure_thrown_aways,pressure_touchdowns,pressure_turnover_worthy_plays,pressure_twp_rate,pressure_yards,pressure_ypa
Andy Dalton,6187,QB,CIN,11,454,63.8,130,139,10.0,2.29,3,8,5.6,54.7,76,54,8.4,153,33.7,7,55,,,,,44.5,50.8,82.3,,51.0,57.6,62.1,,2,6,157,22.2,79.7,7.8,12,2,0,4,9,11,7.0,948,6.8,0,7,79.8,64.6,67.0,41.3,76.4,254,271,8.6,2.57,8,20,7.1,64.9,176,70,9.3,301,66.3,18,90,,,,,90.7,75.9,84.9,,75.5,,56.0,,1,9,313,20.0,88.0,4.7,14,16,1,7,12,10,3.2,2006,7.4,75.4,309,322,8.4,2.2,10,20,6.0,67.1,216,0,7.3,330,72.7,17,120,,,,,90.9,73.9,85.3,,72.8,57.6,60.5,,0,11,339,,94.7,0.0,0,8,1,2,18,14,4.1,2499,7.8,1,58.7,75,88,11.9,3.2,1,8,8.5,40.9,36,124,18.2,124,27.3,8,25,,,,,36.6,49.7,81.6,,50.5,,55.4,,3,4,131,21.0,50.1,21.0,26,10,0,9,3,7,5.3,455,5.2
Matthew Stafford,4924,QB,DET,10,438,63.1,103,112,8.4,2.01,3,4,3.4,50.9,57,40,12.3,116,26.5,8,33,,,,,86.3,62.3,8.8,,62.7,,,,1,3,121,10.0,80.7,3.4,4,0,1,4,8,3,2.5,634,5.7,0,11,78.8,85.1,86.7,41.2,76.0,292,307,9.3,2.59,9,19,6.0,62.2,191,88,14.0,322,73.5,31,121,,,,,90.9,92.5,55.7,,91.0,,83.2,,0,5,333,9.1,96.1,2.5,8,7,1,5,13,7,2.1,2564,8.4,76.0,296,307,8.2,2.23,8,14,4.4,64.2,197,0,12.4,310,70.8,28,114,,,,,90.8,92.2,85.0,,90.9,,70.4,,0,6,320,,100.7,0.0,0,3,2,1,18,5,1.6,2483,8.1,4,62.6,99,112,11.6,2.92,4,9,7.7,45.5,51,128,17.7,128,29.2,11,40,,,,,86.9,65.4,0.0,,63.7,,80.5,,1,2,134,9.4,68.1,9.4,12,4,0,8,3,5,3.7,715,6.4
Drew Brees,802,QB,NO,10,435,79.8,94,99,8.3,2.54,1,8,7.6,71.7,71,44,5.3,112,25.7,4,44,,,,,59.7,84.4,81.2,,82.1,,64.1,,1,1,118,25.0,127.4,9.8,11,2,0,3,9,5,4.2,937,9.5,0,20,75.4,82.9,85.1,45.7,76.0,288,307,8.9,2.81,2,21,6.4,67.1,206,84,5.9,323,74.3,13,114,,,,,77.7,83.1,54.9,,81.6,,60.6,,1,7,344,13.1,100.0,3.4,11,5,1,15,17,14,4.1,2432,7.9,79.0,300,304,8.2,2.48,2,20,6.4,74.7,227,0,4.2,307,70.6,10,130,,,,,90.8,93.6,52.4,,92.6,,59.5,,0,4,317,,118.3,0.0,0,3,1,1,20,8,2.5,2740,9.0,7,69.5,82,102,10.9,3.37,1,9,7.6,49.0,50,128,12.3,128,29.4,7,28,,,,,32.8,49.9,81.9,,49.6,,64.3,,2,4,145,17.2,71.9,17.2,22,4,0,17,6,11,7.6,629,6.2
Matt Ryan,4317,QB,ATL,10,428,71.0,107,117,8.4,2.47,1,5,4.0,60.7,71,62,6.6,126,29.4,5,53,,,,,87.0,73.9,15.0,,72.4,,70.3,,3,6,134,11.3,74.6,5.6,7,2,0,6,3,6,4.5,975,8.3,0,2,91.4,77.2,76.5,52.8,79.0,272,287,6.1,2.61,7,12,3.9,68.3,196,110,8.8,302,70.6,19,94,,,,,90.8,76.4,85.0,,75.1,,57.0,,0,6,319,10.9,95.2,4.0,12,3,1,7,15,7,2.2,1893,6.6,82.2,247,254,6.0,2.27,6,11,4.1,74.4,189,0,6.9,256,59.8,14,99,,,,,90.5,82.0,84.4,,79.9,,63.0,,0,5,271,,105.0,0.0,0,2,1,0,13,7,2.6,1952,7.7,2,66.7,132,150,8.1,3.02,2,6,3.8,52.0,78,172,11.4,172,40.2,10,48,,,,,89.3,66.3,30.9,,65.9,,63.9,,3,7,182,11.0,62.5,11.0,19,3,0,13,5,6,3.3,916,6.1
Ben Roethlisberger,1732,QB,PIT,10,427,71.7,99,105,10.4,2.59,3,8,7.3,61.0,64,56,9.9,123,28.8,7,38,,,,,35.9,76.3,11.8,,74.8,,69.4,,1,3,127,28.6,94.1,13.0,16,2,0,2,7,8,6.3,779,7.4,0,25,45.4,80.9,81.1,47.7,76.7,258,278,8.0,2.65,4,12,4.1,65.8,183,94,7.6,304,71.2,15,101,,,,,51.9,80.7,85.0,,80.0,,48.3,,1,7,316,21.3,90.2,6.6,20,6,5,10,10,9,2.8,2122,7.6,79.0,262,275,7.6,2.12,6,15,5.3,69.8,192,0,7.2,277,64.9,15,99,,,,,90.6,92.2,84.6,,91.0,,65.6,,0,4,283,,99.3,0.0,0,2,5,2,11,4,1.4,2097,7.6,1,65.3,95,108,11.4,3.58,1,5,4.2,50.9,55,150,11.3,150,35.1,7,40,,,,,22.4,51.3,25.0,,53.3,,51.0,,2,6,160,24.0,70.9,24.0,36,6,0,10,6,13,8.1,804,7.4
Alex Smith,2218,QB,KC,10,424,64.2,123,133,6.7,2.71,2,3,2.1,54.1,72,65,8.9,150,35.4,7,39,,,,,88.2,60.0,82.2,,59.7,,60.7,,1,2,157,20.0,63.9,8.7,13,4,0,7,0,2,1.3,732,5.5,0,16,81.7,64.7,67.0,51.2,76.0,208,227,6.4,3.01,7,10,4.2,60.4,137,81,13.3,274,64.6,21,83,,,,,79.4,72.0,84.6,,70.2,,67.3,,2,2,288,19.8,90.9,5.8,16,31,3,7,11,6,2.1,1417,6.2,75.0,244,256,6.0,2.58,5,7,2.6,62.9,161,0,12.0,278,65.6,22,88,,,,,90.6,74.0,84.6,,73.6,,58.7,,0,3,291,,86.6,0.0,0,22,3,4,8,4,1.4,1633,6.4,5,62.1,87,104,8.1,3.52,4,6,5.4,46.2,48,146,11.1,146,34.4,6,34,,,,,66.3,55.9,82.2,,52.2,,74.2,,3,1,154,19.9,66.8,19.9,29,13,0,10,3,4,2.6,516,5.0
Peyton Manning,327,QB,DEN,10,422,79.1,86,87,7.2,2.04,0,4,4.3,67.8,59,21,13.2,87,20.6,9,41,,,,,84.5,85.1,80.3,,82.9,,,,0,1,94,0.0,127.8,0.0,0,0,0,1,12,3,3.2,718,8.3,0,10,81.3,90.8,91.9,27.7,78.3,313,322,8.1,2.41,4,20,5.9,70.5,227,75,7.3,335,79.4,18,144,,,,,90.9,92.6,85.4,,91.4,,,,0,5,352,17.3,114.1,3.9,13,0,0,5,22,4,1.1,2854,8.9,80.9,319,326,7.4,2.16,4,19,5.5,72.4,236,0,8.5,326,77.3,22,145,,,,,90.9,93.3,85.3,,92.2,,,,0,5,345,,123.0,0.0,0,0,0,3,30,5,1.4,2839,8.7,2,68.8,80,83,10.0,2.9,0,5,5.7,60.2,50,96,9.1,96,22.7,5,40,,,,,84.7,79.0,80.6,,77.3,,,,0,1,101,13.5,100.1,13.5,13,0,0,3,4,2,2.0,733,8.8
Joe Flacco,4332,QB,BLT,10,421,62.0,121,131,10.5,2.76,3,7,5.0,53.4,70,71,6.7,153,36.3,5,42,,,,,67.6,61.2,82.4,,59.3,,77.5,,3,3,164,28.2,75.8,13.1,20,2,0,4,6,6,3.7,737,5.6,0,3,70.7,65.4,65.0,54.4,69.7,238,246,9.0,2.87,1,16,6.1,61.4,151,78,9.0,268,63.7,15,80,,,,,69.1,68.0,84.5,,67.5,,57.7,,3,10,283,16.7,75.1,4.9,13,9,0,4,7,15,5.3,1732,7.0,70.7,259,266,9.1,2.5,4,16,5.7,62.8,167,0,8.7,272,64.6,16,86,,,,,90.6,75.4,84.6,,73.6,,67.5,,0,7,286,,85.3,0.0,0,6,0,3,11,11,3.8,1794,6.7,1,58.0,100,111,10.5,3.43,0,7,5.8,48.6,54,149,6.9,149,35.4,4,36,,,,,30.5,48.0,82.3,,48.0,,62.5,,6,6,161,22.1,51.4,22.1,33,5,0,5,2,10,6.2,675,6.1
Robert Griffin III,7008,QB,WAS,10,419,70.1,117,128,9.2,2.66,5,3,2.2,54.7,70,62,14.6,143,34.1,12,55,,,,,87.6,70.0,82.0,,69.4,,56.3,,1,2,149,19.4,86.0,8.4,12,3,0,5,5,2,1.3,977,7.6,0,32,79.6,68.6,68.8,60.2,73.3,232,244,8.6,3.05,4,8,3.1,62.3,152,94,10.6,276,65.9,18,88,,,,,65.5,67.3,84.6,,66.2,,63.7,,1,8,287,10.6,82.3,3.6,10,22,1,6,9,9,3.1,1737,7.1,75.9,245,255,7.9,2.44,9,7,2.7,65.5,167,0,10.2,263,62.8,19,101,,,,,90.5,78.2,84.4,,76.2,,67.4,,0,6,272,,91.4,0.0,0,8,1,0,9,5,1.8,2004,7.9,5,63.5,104,117,11.1,3.73,0,4,3.2,47.0,55,156,16.7,156,37.2,11,42,,,,,46.0,53.0,82.4,,53.1,,58.1,,2,4,164,14.1,66.5,14.1,22,17,0,11,5,6,3.7,710,6.1
Ryan Tannehill,7014,QB,MIA,10,414,71.3,115,124,10.8,2.61,3,7,5.5,59.7,74,61,9.8,147,35.5,8,52,,,,,64.9,83.5,25.5,,81.3,,72.1,,1,1,152,32.8,86.9,13.6,20,3,0,5,2,3,2.0,984,7.9,0,17,56.8,78.0,80.3,37.2,72.6,230,242,8.5,2.49,2,9,3.6,62.0,150,72,10.2,267,64.5,17,78,,,,,63.5,74.6,84.4,,74.8,,40.0,,1,10,274,29.2,78.7,7.9,21,4,2,7,12,10,3.6,1490,6.2,76.9,268,279,7.9,2.18,5,11,3.8,66.3,185,0,10.2,281,67.9,21,98,,,,,79.1,90.0,84.6,,89.4,,30.0,,0,5,289,,91.2,0.0,0,2,2,4,11,5,1.7,1889,6.8,1,55.8,77,87,13.8,3.28,0,5,5.6,44.8,39,133,9.3,133,32.1,4,32,,,,,37.6,55.0,20.1,,53.6,,75.2,,2,6,137,30.8,50.2,30.8,41,5,0,8,3,8,5.8,585,6.7
