player,player_id,position,team_name,player_game_count,base_snap_counts_coverage,declined_penalties,franchise_id,man_assists,man_avg_depth_of_target,man_catch_rate,man_coverage_percent,man_coverage_snaps_per_reception,man_coverage_snaps_per_target,man_dropped_ints,man_forced_incompletes,man_forced_incompletion_rate,man_grades_coverage_defense,man_interceptions,man_longest,man_missed_tackle_rate,man_missed_tackles,man_pass_break_ups,man_qb_rating_against,man_receptions,man_snap_counts_coverage,man_snap_counts_coverage_percent,man_snap_counts_pass_play,man_stops,man_tackles,man_targets,man_touchdowns,man_yards,man_yards_after_catch,man_yards_per_coverage_snap,man_yards_per_reception,penalties,zone_assists,zone_avg_depth_of_target,zone_catch_rate,zone_coverage_percent,zone_coverage_snaps_per_reception,zone_coverage_snaps_per_target,zone_dropped_ints,zone_forced_incompletes,zone_forced_incompletion_rate,zone_grades_coverage_defense,zone_interceptions,zone_longest,zone_missed_tackle_rate,zone_missed_tackles,zone_pass_break_ups,zone_qb_rating_against,zone_receptions,zone_snap_counts_coverage,zone_snap_counts_coverage_percent,zone_snap_counts_pass_play,zone_stops,zone_tackles,zone_targets,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_per_coverage_snap,zone_yards_per_reception
Charles Woodson,330,S,OAK,8,398,0,23,0,8.3,33.3,99.3,120.0,40.0,1,2,66.7,73.2,1,7,22.2,2,2,2.8,1,140,35.2,141,1,7,3,0,7,3,0.1,7.0,0,2,13.3,70.0,99.6,31.4,22.0,0,1,10.0,84.8,3,40,15.0,3,1,63.8,7,230,57.8,231,4,15,10,0,103,39,0.5,14.7
Julius Peppers,1010,ED,GB,8,25,0,12,1,,,8.9,,,0,0,,75.7,0,,0.0,0,0,0.0,0,9,36.0,101,1,0,0,0,0,0,0.0,,0,0,0.0,100.0,10.9,15.0,15.0,0,0,0.0,51.9,0,14,50.0,2,0,118.8,1,15,60.0,137,5,2,1,0,14,14,0.9,14.0
Dwight Freeney,1019,ED,ARZ,3,4,0,1,0,,,5.0,,,0,0,,60.0,0,,,0,0,0.0,0,1,25.0,20,0,0,0,0,0,0,0.0,,0,0,,,8.1,,,0,0,,59.9,0,,,0,0,0.0,0,3,75.0,37,2,0,0,0,0,0,0.0,
James Harrison,1251,ED,PIT,9,52,0,25,0,,,7.7,,,0,0,,61.5,0,,,0,0,0.0,0,4,7.7,52,0,0,0,0,0,0,0.0,,0,1,4.2,83.3,29.1,9.0,7.5,0,0,0.0,73.4,0,15,20.0,1,0,86.8,5,46,88.5,158,4,3,6,0,29,34,0.6,5.8
Terence Newman,1321,CB,MIN,8,304,0,18,0,9.0,44.4,100.0,17.8,7.9,0,1,11.1,70.0,0,9,0.0,0,1,51.6,4,76,25.0,76,0,3,9,0,26,11,0.4,6.5,0,2,12.2,66.7,100.0,9.5,6.3,0,3,9.1,54.5,0,55,9.1,2,2,93.2,22,221,72.7,221,3,18,33,0,282,81,1.4,12.8
Terrell Suggs,1326,ED,BLT,1,7,0,3,0,,,0.0,,,0,0,,,0,,,0,0,0.0,0,0,0.0,5,0,0,0,0,0,0,,,0,0,,,25.9,,,0,0,,75.1,0,,,0,0,0.0,0,7,100.0,27,0,0,0,0,0,0,0.0,
Calvin Pace,1334,ED,NYJ,8,33,0,22,0,5.5,50.0,7.7,6.0,3.0,0,0,0.0,65.8,0,12,,0,0,68.8,1,7,21.2,91,1,0,2,0,12,5,2.0,12.0,0,0,1.0,66.7,27.8,12.5,8.3,0,1,33.3,74.0,0,6,0.0,0,1,74.3,2,25,75.8,90,1,1,3,0,12,10,0.5,6.0
Charles Tillman,1351,CB,CAR,8,349,0,5,0,12.5,53.3,98.8,9.8,5.2,0,0,0.0,38.6,0,21,0.0,0,0,78.5,8,83,23.8,84,0,6,15,0,115,35,1.5,14.4,0,0,14.5,53.1,98.3,13.1,7.0,1,4,12.5,65.5,1,48,6.3,1,4,64.5,17,235,67.3,239,4,15,32,0,239,49,1.1,14.1
Rashean Mathis,1355,CB,DET,7,248,0,11,1,7.3,92.9,100.0,5.6,5.2,0,1,7.1,55.3,0,50,0.0,0,1,118.8,13,78,31.5,78,3,7,14,0,194,96,2.7,14.9,0,1,7.8,70.8,98.7,8.7,6.2,0,2,8.3,67.6,1,20,12.5,2,1,75.0,17,151,60.9,153,4,13,24,0,180,77,1.2,10.6
Robert Mathis,1447,ED,IND,8,26,0,14,0,2.0,100.0,6.8,6.0,6.0,0,0,0.0,52.4,0,40,,0,0,118.8,1,6,23.1,88,3,0,1,0,40,38,6.7,40.0,0,0,,,18.4,,,0,0,,65.1,0,,,0,0,0.0,0,14,53.8,76,1,0,0,0,0,0,0.0,
Chris Clemons,1585,ED,JAX,8,8,0,15,0,,,0.0,,,0,0,,,0,,100.0,1,0,0.0,0,0,0.0,64,0,0,0,0,0,0,,,0,0,1.0,100.0,4.7,4.0,4.0,0,0,0.0,53.8,0,14,0.0,0,0,116.7,2,8,100.0,170,2,1,2,0,24,22,3.0,12.0
Cullen Jenkins,1637,DI,NYG,9,9,0,21,0,,,2.1,,,0,0,,70.7,0,,50.0,1,0,0.0,0,2,22.2,95,2,1,0,0,0,0,0.0,,0,1,,,3.4,,,0,0,,54.3,0,,0.0,0,0,0.0,0,6,66.7,174,1,1,0,0,0,0,0.0,
DeAngelo Hall,1729,CB,WAS,3,90,0,32,0,26.0,100.0,100.0,17.0,17.0,0,0,0.0,63.0,0,30,0.0,0,0,118.8,1,18,20.0,18,0,3,1,0,30,4,1.8,30.0,0,1,17.2,66.7,100.0,10.2,6.8,0,0,0.0,61.2,0,40,0.0,0,0,132.2,6,65,72.2,65,3,7,9,1,81,6,1.3,13.5
Jason Babin,1748,ED,BLT,2,3,0,3,0,,,12.5,,,0,0,,60.0,0,,,0,0,0.0,0,1,33.3,8,0,0,0,0,0,0,0.0,,0,0,-3.0,100.0,10.5,2.0,2.0,0,0,0.0,41.5,0,16,100.0,1,0,118.8,1,2,66.7,19,0,0,1,0,16,19,8.0,16.0
Karlos Dansby,1754,LB,CLV,9,290,0,8,1,0.8,83.3,77.8,12.3,10.3,0,0,0.0,71.3,1,19,0.0,0,0,64.9,10,130,44.8,167,3,5,12,0,95,103,0.8,9.5,0,0,3.4,76.9,91.6,12.6,9.7,0,0,0.0,71.3,1,16,0.0,0,0,61.1,10,131,45.2,143,8,13,13,0,84,59,0.7,8.4
Daryl Smith,1760,LB,BLT,8,294,0,3,0,3.6,85.7,71.3,14.2,12.1,0,1,14.3,67.2,0,35,14.3,1,1,100.6,6,92,31.3,129,5,6,7,0,57,39,0.7,9.5,0,3,4.7,84.6,91.4,7.7,6.5,1,1,3.8,60.6,0,26,16.0,4,1,98.2,22,181,61.6,198,5,18,26,0,197,105,1.2,9.0
