team_name,franchise_id,player_game_count,attempts,hits_allowed,hurries_allowed,pass_snaps,pbe,pressures_allowed,sacks_allowed
DAL,9,16,578,13,86,578,89.9,108,9
OAK,23,16,655,17,100,655,88.2,136,19
NO,20,16,700,30,102,700,87.7,152,20
ATL,2,16,666,21,133,666,86.6,166,12
CAR,5,17,584,9,121,584,85.8,148,18
BUF,4,16,563,24,110,563,85.8,147,13
CIN,7,17,620,12,133,620,85.6,162,17
BLT,3,16,703,33,148,703,85.1,195,14
HST,13,17,702,36,120,702,84.8,185,29
WAS,32,17,639,32,129,639,84.6,179,18
GB,12,18,746,15,154,747,84.2,202,33
CHI,6,16,574,15,130,574,84.2,163,18
DEN,10,17,694,38,143,694,84.1,201,20
NYJ,22,16,662,35,154,662,83.9,201,12
CLV,8,16,704,29,163,704,83.8,210,18
TB,30,16,595,44,126,595,83.7,182,12
PHI,24,16,671,43,123,671,83.6,193,27
PIT,25,18,715,22,162,715,83.5,210,26
DET,11,16,702,32,153,702,83.5,208,23
JAX,15,16,683,27,152,683,83.4,203,24
SL,26,16,495,53,94,496,82.9,158,11
IND,14,16,688,46,152,688,82.8,217,19
NYG,21,16,657,32,159,657,82.7,209,18
SF,28,16,625,28,131,625,82.5,189,30
KC,16,18,659,16,164,659,82.4,206,26
NE,19,17,716,48,153,716,82.3,227,26
SEA,29,18,676,41,160,676,81.6,225,24
MIA,17,16,638,39,141,638,80.9,212,32
TEN,31,16,619,30,133,619,80.9,200,37
ARZ,1,17,634,46,158,634,80.1,228,24
MIN,18,17,555,27,156,555,79.5,205,22
SD,27,16,716,36,228,716,77.0,297,33
