player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Charles Woodson,330,S,OAK,5,0,11.0,0,0,23,89.9,85.2,81.2,60.0,43.5,43.6,28.6,4,0,108,109,1.9,2,10
Julius Peppers,1010,ED,GB,6,4,2.3,0,0,12,55.0,64.8,61.6,71.6,50.8,48.5,0.0,0,1,82,83,3.7,3,4
Dwight Freeney,1019,ED,ARZ,1,0,,0,0,1,60.0,50.8,78.2,54.8,52.2,,,0,0,6,6,0.0,0,0
James Harrison,1251,ED,PIT,6,3,1.8,0,0,25,73.3,78.2,25.2,81.3,64.4,81.8,0.0,0,2,88,90,8.0,7,9
Terence Newman,1321,CB,MIN,5,3,4.5,0,0,18,62.6,66.2,82.8,,77.8,68.3,0.0,0,1,102,107,1.0,1,4
Kevin Williams,1325,DI,NO,6,1,1.0,0,1,20,,64.6,50.9,61.3,65.5,44.8,14.3,1,1,94,98,4.3,4,5
Terrell Suggs,1326,ED,BLT,1,0,,0,0,3,75.1,62.5,77.6,64.3,44.8,,,0,0,14,14,0.0,0,0
Calvin Pace,1334,ED,NYJ,5,0,4.0,0,0,22,67.5,56.7,85.3,53.7,54.6,32.6,33.3,1,0,66,69,1.5,1,2
Charles Tillman,1351,CB,CAR,5,3,3.7,0,0,5,59.7,63.1,85.6,54.7,77.9,75.5,0.0,0,0,86,89,2.3,2,3
Rashean Mathis,1355,CB,DET,6,0,4.4,0,0,11,68.2,68.5,85.4,54.7,65.1,68.2,12.5,1,0,154,161,1.9,3,7
Cory Redding,1381,DI,ARZ,6,2,2.0,1,0,1,67.3,67.2,0.1,55.2,70.5,27.8,0.0,0,2,35,36,5.7,2,2
Robert Mathis,1447,ED,IND,4,0,3.5,0,0,14,66.1,61.4,0.0,66.3,56.9,72.6,0.0,0,2,14,15,14.3,2,2
Chris Clemons,1585,ED,JAX,6,1,1.0,0,1,15,52.5,44.3,45.0,53.4,44.9,29.9,33.3,2,2,70,72,4.3,3,3
Colin Cole,1589,DI,CAR,2,1,,0,0,5,,57.9,78.4,56.8,58.6,67.3,0.0,0,0,15,15,0.0,0,0
Cullen Jenkins,1637,DI,NYG,6,2,4.5,0,0,21,55.6,63.9,63.3,66.2,58.5,52.8,0.0,0,2,67,67,1.5,1,2
DeAngelo Hall,1729,CB,WAS,3,1,11.0,0,0,32,66.9,68.7,80.4,,71.7,84.8,0.0,0,0,43,44,2.3,1,2
Vince Wilfork,1742,DI,HST,6,3,-0.2,0,0,13,60.0,72.1,56.9,54.4,79.0,74.7,0.0,0,1,118,121,4.2,5,5
Jason Babin,1748,ED,BLT,1,0,,0,0,3,40.1,28.1,0.0,53.5,61.2,27.7,,0,3,1,2,0.0,0,0
Karlos Dansby,1754,LB,CLV,6,4,3.6,0,0,8,69.1,73.2,86.8,62.3,70.2,66.2,11.4,4,0,177,182,7.9,14,27
Daryl Smith,1760,LB,BLT,6,4,4.6,0,0,3,66.9,65.9,87.1,60.9,59.3,53.0,12.5,3,0,144,148,3.5,5,17
Dwan Edwards,1772,DI,CAR,5,1,4.0,0,0,5,64.6,47.9,82.6,54.4,36.2,71.9,0.0,0,0,44,46,4.5,2,2
Randy Starks,1792,DI,CLV,6,1,1.5,1,0,8,49.6,52.4,57.1,52.3,60.6,33.7,7.7,1,1,90,94,11.1,10,11
Will Allen,1832,S,PIT,5,0,6.6,0,0,25,65.6,65.0,25.8,71.8,60.4,28.3,29.2,7,1,106,112,6.6,7,17
Jared Allen,1847,ED,CAR,4,1,3.3,0,0,5,62.4,56.7,41.7,61.1,54.2,76.0,0.0,0,1,62,63,1.6,1,3
Antonio Smith,1856,DI,DEN,6,0,0.3,1,0,10,60.0,58.8,51.2,62.9,57.1,45.3,0.0,0,1,37,39,10.8,4,4
Mike Adams,1972,S,IND,6,1,15.8,0,0,14,63.3,60.4,35.8,52.1,55.7,56.2,40.0,4,1,144,152,0.0,0,5
Adam Jones,2223,CB,CIN,6,1,4.4,1,0,7,82.8,83.4,34.6,83.1,77.0,63.1,9.1,1,1,115,122,4.3,5,9
Antrel Rolle,2225,S,CHI,4,2,7.7,0,0,6,67.7,73.1,77.6,60.0,75.4,68.9,8.3,1,0,85,88,5.9,5,9
DeMarcus Ware,2228,ED,DEN,5,2,7.0,1,0,10,72.8,79.9,10.1,86.6,60.9,80.7,0.0,0,3,67,73,1.5,1,3
